,ACOR
2011-06-23,195.72000122070312
2011-06-24,196.86000061035156
2011-06-27,194.52000427246094
2011-06-28,197.10000610351562
2011-06-29,194.52000427246094
2011-06-30,193.86000061035156
2011-07-01,193.32000732421875
2011-07-05,189.66000366210938
2011-07-06,192.89999389648438
2011-07-07,193.6199951171875
2011-07-08,194.6999969482422
2011-07-11,187.67999267578125
2011-07-12,185.6999969482422
2011-07-13,186.5399932861328
2011-07-14,180.83999633789062
2011-07-15,177.77999877929688
2011-07-18,173.39999389648438
2011-07-19,177.89999389648438
2011-07-20,175.8000030517578
2011-07-21,179.10000610351562
2011-07-22,178.02000427246094
2011-07-25,173.82000732421875
2011-07-26,172.0800018310547
2011-07-27,166.25999450683594
2011-07-28,169.6199951171875
2011-07-29,170.39999389648438
2011-08-01,163.74000549316406
2011-08-02,159.1199951171875
2011-08-03,156.5399932861328
2011-08-04,143.33999633789062
2011-08-05,146.10000610351562
2011-08-08,137.16000366210938
2011-08-09,153.17999267578125
2011-08-10,153.36000061035156
2011-08-11,160.9199981689453
2011-08-12,160.6199951171875
2011-08-15,161.63999938964844
2011-08-16,159.83999633789062
2011-08-17,155.63999938964844
2011-08-18,149.33999633789062
2011-08-19,150.89999389648438
2011-08-22,147.05999755859375
2011-08-23,151.25999450683594
2011-08-24,155.8800048828125
2011-08-25,151.97999572753906
2011-08-26,156.1199951171875
2011-08-29,156.0
2011-08-30,156.36000061035156
2011-08-31,156.3000030517578
2011-09-01,150.05999755859375
2011-09-02,145.8000030517578
2011-09-06,149.10000610351562
2011-09-07,154.55999755859375
2011-09-08,147.89999389648438
2011-09-09,140.82000732421875
2011-09-12,139.02000427246094
2011-09-13,138.36000061035156
2011-09-14,138.24000549316406
2011-09-15,138.47999572753906
2011-09-16,140.6999969482422
2011-09-19,137.0399932861328
2011-09-20,131.82000732421875
2011-09-21,129.17999267578125
2011-09-22,125.63999938964844
2011-09-23,128.22000122070312
2011-09-26,128.0399932861328
2011-09-27,131.39999389648438
2011-09-28,123.36000061035156
2011-09-29,121.62000274658203
2011-09-30,119.76000213623047
2011-10-03,112.26000213623047
2011-10-04,115.26000213623047
2011-10-05,122.04000091552734
2011-10-06,131.4600067138672
2011-10-07,127.55999755859375
2011-10-10,132.05999755859375
2011-10-11,130.3800048828125
2011-10-12,126.05999755859375
2011-10-13,127.80000305175781
2011-10-14,130.5
2011-10-17,129.1199951171875
2011-10-18,130.5
2011-10-19,127.9800033569336
2011-10-20,128.52000427246094
2011-10-21,131.82000732421875
2011-10-24,136.3800048828125
2011-10-25,134.33999633789062
2011-10-26,132.3000030517578
2011-10-27,139.55999755859375
2011-10-28,138.47999572753906
2011-10-31,131.0399932861328
2011-11-01,124.86000061035156
2011-11-02,123.9000015258789
2011-11-03,122.69999694824219
2011-11-04,138.47999572753906
2011-11-07,138.4199981689453
2011-11-08,139.13999938964844
2011-11-09,136.25999450683594
2011-11-10,134.75999450683594
2011-11-11,140.0399932861328
2011-11-14,135.89999389648438
2011-11-15,138.1199951171875
2011-11-16,135.77999877929688
2011-11-17,131.52000427246094
2011-11-18,132.17999267578125
2011-11-21,129.0
2011-11-22,128.6999969482422
2011-11-23,129.1199951171875
2011-11-25,125.4000015258789
2011-11-28,133.67999267578125
2011-11-29,132.5399932861328
2011-11-30,138.89999389648438
2011-12-01,139.0800018310547
2011-12-02,135.17999267578125
2011-12-05,136.02000427246094
2011-12-06,134.10000610351562
2011-12-07,134.94000244140625
2011-12-08,136.1999969482422
2011-12-09,139.32000732421875
2011-12-12,135.17999267578125
2011-12-13,132.24000549316406
2011-12-14,129.9600067138672
2011-12-15,130.25999450683594
2011-12-16,130.32000732421875
2011-12-19,131.5800018310547
2011-12-20,136.9199981689453
2011-12-21,138.66000366210938
2011-12-22,141.60000610351562
2011-12-23,140.6999969482422
2011-12-27,143.27999877929688
2011-12-28,140.52000427246094
2011-12-29,141.4199981689453
2011-12-30,143.0399932861328
2012-01-03,146.75999450683594
2012-01-04,149.10000610351562
2012-01-05,155.27999877929688
2012-01-06,154.0800018310547
2012-01-09,159.24000549316406
2012-01-10,161.94000244140625
2012-01-11,162.0
2012-01-12,160.25999450683594
2012-01-13,159.66000366210938
2012-01-17,156.77999877929688
2012-01-18,155.10000610351562
2012-01-19,152.33999633789062
2012-01-20,152.52000427246094
2012-01-23,152.0399932861328
2012-01-24,153.1199951171875
2012-01-25,154.13999938964844
2012-01-26,154.6199951171875
2012-01-27,157.74000549316406
2012-01-30,153.5399932861328
2012-01-31,153.17999267578125
2012-02-01,155.16000366210938
2012-02-02,157.74000549316406
2012-02-03,158.5800018310547
2012-02-06,163.5
2012-02-07,158.63999938964844
2012-02-08,158.4600067138672
2012-02-09,154.9199981689453
2012-02-10,152.63999938964844
2012-02-13,158.75999450683594
2012-02-14,159.0
2012-02-15,158.8800048828125
2012-02-16,162.77999877929688
2012-02-17,154.3800048828125
2012-02-21,150.47999572753906
2012-02-22,150.4199981689453
2012-02-23,157.6199951171875
2012-02-24,162.3000030517578
2012-02-27,160.86000061035156
2012-02-28,164.94000244140625
2012-02-29,156.9600067138672
2012-03-01,162.4199981689453
2012-03-02,159.47999572753906
2012-03-05,159.24000549316406
2012-03-06,154.25999450683594
2012-03-07,152.82000732421875
2012-03-08,154.13999938964844
2012-03-09,155.0399932861328
2012-03-12,152.33999633789062
2012-03-13,152.94000244140625
2012-03-14,153.1199951171875
2012-03-15,158.10000610351562
2012-03-16,161.10000610351562
2012-03-19,162.36000061035156
2012-03-20,160.55999755859375
2012-03-21,161.6999969482422
2012-03-22,159.4199981689453
2012-03-23,159.24000549316406
2012-03-26,163.67999267578125
2012-03-27,161.94000244140625
2012-03-28,165.72000122070312
2012-03-29,160.32000732421875
2012-03-30,159.3000030517578
2012-04-02,162.0
2012-04-03,159.24000549316406
2012-04-04,156.17999267578125
2012-04-05,157.9199981689453
2012-04-09,149.8800048828125
2012-04-10,147.66000366210938
2012-04-11,147.72000122070312
2012-04-12,147.83999633789062
2012-04-13,145.5
2012-04-16,145.6199951171875
2012-04-17,145.97999572753906
2012-04-18,146.27999877929688
2012-04-19,145.86000061035156
2012-04-20,149.10000610351562
2012-04-23,147.1199951171875
