,ACHV
1998-09-22,287100.0
1998-09-23,297000.0
1998-09-24,287100.0
1998-09-25,306900.0
1998-09-28,287100.0
1998-09-29,267300.0
1998-09-30,287100.0
1998-10-01,277200.0
1998-10-02,277200.0
1998-10-05,274725.0
1998-10-06,237600.0
1998-10-07,242550.0
1998-10-08,198000.0
1998-10-09,185625.0
1998-10-12,207900.0
1998-10-13,193050.0
1998-10-14,230175.0
1998-10-15,262350.0
1998-10-16,170775.0
1998-10-19,160875.0
1998-10-20,150975.0
1998-10-21,150975.0
1998-10-22,150975.0
1998-10-23,160875.0
1998-10-26,158400.0
1998-10-27,158400.0
1998-10-28,173250.0
1998-10-29,178200.0
1998-10-30,173250.0
1998-11-02,200475.0
1998-11-03,237600.0
1998-11-04,235125.0
1998-11-05,272250.0
1998-11-06,309375.0
1998-11-09,358875.0
1998-11-10,465300.0
1998-11-11,391050.0
1998-11-12,366300.0
1998-11-13,351450.0
1998-11-16,341550.0
1998-11-17,356400.0
1998-11-18,326700.0
1998-11-19,326700.0
1998-11-20,341550.0
1998-11-23,311850.0
1998-11-24,311850.0
1998-11-25,306900.0
1998-11-27,304425.0
1998-11-30,301950.0
1998-12-01,309375.0
1998-12-02,297000.0
1998-12-03,301950.0
1998-12-04,321750.0
1998-12-07,314325.0
1998-12-08,306900.0
1998-12-09,297000.0
1998-12-10,277200.0
1998-12-11,277200.0
1998-12-14,247500.0
1998-12-15,277200.0
1998-12-16,262350.0
1998-12-17,267300.0
1998-12-18,252450.0
1998-12-21,237600.0
1998-12-22,240075.0
1998-12-23,237600.0
1998-12-24,247500.0
1998-12-28,242550.0
1998-12-29,257400.0
1998-12-30,257400.0
1998-12-31,267300.0
1999-01-04,292050.0
1999-01-05,351450.0
1999-01-06,376200.0
1999-01-07,361350.0
1999-01-08,336600.0
1999-01-11,301950.0
1999-01-12,316800.0
1999-01-13,326700.0
1999-01-14,326700.0
1999-01-15,299475.0
1999-01-19,316800.0
1999-01-20,287100.0
1999-01-21,267300.0
1999-01-22,267300.0
1999-01-25,267300.0
1999-01-26,282150.0
1999-01-27,297000.0
1999-01-28,297000.0
1999-01-29,272250.0
1999-02-01,257400.0
1999-02-02,242550.0
1999-02-03,247500.0
1999-02-04,240075.0
1999-02-05,240075.0
1999-02-08,242550.0
1999-02-09,237600.0
1999-02-10,232650.0
1999-02-11,235125.0
1999-02-12,237600.0
1999-02-16,225225.0
1999-02-17,195525.0
1999-02-18,198000.0
1999-02-19,198000.0
1999-02-22,211612.5
1999-02-23,262350.0
1999-02-24,269775.0
1999-02-25,287100.0
1999-02-26,292050.0
1999-03-01,289575.0
1999-03-02,287100.0
1999-03-03,289575.0
1999-03-04,287100.0
1999-03-05,287100.0
1999-03-08,292050.0
1999-03-09,282150.0
1999-03-10,282150.0
1999-03-11,269775.0
1999-03-12,259875.0
1999-03-15,249975.0
1999-03-16,257400.0
1999-03-17,246262.5
1999-03-18,247500.0
1999-03-19,240075.0
1999-03-22,232650.0
1999-03-23,220275.0
1999-03-24,217800.0
1999-03-25,215325.0
1999-03-26,214087.5
1999-03-29,257400.0
1999-03-30,294525.0
1999-03-31,297000.0
1999-04-01,297000.0
1999-04-05,311850.0
1999-04-06,314325.0
1999-04-07,301950.0
1999-04-08,287100.0
1999-04-09,297000.0
1999-04-12,277200.0
1999-04-13,242550.0
1999-04-14,237600.0
1999-04-15,297000.0
1999-04-16,289575.0
1999-04-19,263587.5
1999-04-20,274725.0
1999-04-21,304425.0
1999-04-22,299475.0
1999-04-23,294525.0
1999-04-26,306900.0
1999-04-27,301950.0
1999-04-28,292050.0
1999-04-29,274725.0
1999-04-30,277200.0
1999-05-03,274725.0
1999-05-04,262350.0
1999-05-05,259875.0
1999-05-06,227700.0
1999-05-07,247500.0
1999-05-10,240075.0
1999-05-11,245025.0
1999-05-12,242550.0
1999-05-13,264825.0
1999-05-14,252450.0
1999-05-17,249975.0
1999-05-18,241312.5
1999-05-19,247500.0
1999-05-20,238837.5
1999-05-21,237600.0
1999-05-24,230175.0
1999-05-25,232650.0
1999-05-26,231412.5
1999-05-27,225225.0
1999-05-28,232650.0
