,FIVE
2017-03-10,38.47999954223633
2017-03-13,37.58000183105469
2017-03-14,38.31999969482422
2017-03-15,38.970001220703125
2017-03-16,39.25
2017-03-17,39.31999969482422
2017-03-20,39.119998931884766
2017-03-21,38.849998474121094
2017-03-22,38.130001068115234
2017-03-23,42.25
2017-03-24,42.619998931884766
2017-03-27,42.58000183105469
2017-03-28,43.18000030517578
2017-03-29,44.36000061035156
2017-03-30,43.869998931884766
2017-03-31,43.310001373291016
2017-04-03,42.4900016784668
2017-04-04,43.31999969482422
2017-04-05,42.529998779296875
2017-04-06,44.189998626708984
2017-04-07,44.099998474121094
2017-04-10,44.779998779296875
2017-04-11,45.5
2017-04-12,45.09000015258789
2017-04-13,45.119998931884766
2017-04-17,45.9900016784668
2017-04-18,45.5
2017-04-19,46.16999816894531
2017-04-20,47.099998474121094
2017-04-21,47.65999984741211
2017-04-24,48.27000045776367
2017-04-25,48.369998931884766
2017-04-26,49.18000030517578
2017-04-27,49.380001068115234
2017-04-28,49.119998931884766
2017-05-01,49.349998474121094
2017-05-02,49.81999969482422
2017-05-03,49.529998779296875
2017-05-04,49.709999084472656
2017-05-05,51.150001525878906
2017-05-08,51.040000915527344
2017-05-09,51.650001525878906
2017-05-10,52.2599983215332
2017-05-11,51.29999923706055
2017-05-12,51.7400016784668
2017-05-15,51.70000076293945
2017-05-16,51.97999954223633
2017-05-17,51.779998779296875
2017-05-18,52.75
2017-05-19,52.630001068115234
2017-05-22,52.72999954223633
2017-05-23,51.310001373291016
2017-05-24,51.5
2017-05-25,52.20000076293945
2017-05-26,52.630001068115234
2017-05-30,52.220001220703125
2017-05-31,51.29999923706055
2017-06-01,51.95000076293945
2017-06-02,52.209999084472656
2017-06-05,52.290000915527344
2017-06-06,51.970001220703125
2017-06-07,52.63999938964844
2017-06-08,52.939998626708984
2017-06-09,50.9900016784668
2017-06-12,50.939998626708984
2017-06-13,51.0099983215332
2017-06-14,48.650001525878906
2017-06-15,48.189998626708984
2017-06-16,48.02000045776367
2017-06-19,48.95000076293945
2017-06-20,48.11000061035156
2017-06-21,48.31999969482422
2017-06-22,48.47999954223633
2017-06-23,47.91999816894531
2017-06-26,48.34000015258789
2017-06-27,47.790000915527344
2017-06-28,48.61000061035156
2017-06-29,48.0
2017-06-30,49.369998931884766
2017-07-03,49.20000076293945
2017-07-05,48.310001373291016
2017-07-06,48.11000061035156
2017-07-07,47.869998931884766
2017-07-10,45.349998474121094
2017-07-11,45.060001373291016
2017-07-12,45.36000061035156
2017-07-13,46.630001068115234
2017-07-14,47.099998474121094
2017-07-17,48.349998474121094
2017-07-18,48.099998474121094
2017-07-19,47.869998931884766
2017-07-20,47.02000045776367
2017-07-21,46.869998931884766
2017-07-24,45.61000061035156
2017-07-25,46.7599983215332
2017-07-26,47.25
2017-07-27,47.83000183105469
2017-07-28,47.40999984741211
2017-07-31,48.310001373291016
2017-08-01,49.38999938964844
2017-08-02,49.369998931884766
2017-08-03,49.310001373291016
2017-08-04,49.970001220703125
2017-08-07,50.27000045776367
2017-08-08,49.70000076293945
2017-08-09,49.25
2017-08-10,48.290000915527344
2017-08-11,48.5
2017-08-14,49.77000045776367
2017-08-15,47.75
2017-08-16,47.900001525878906
2017-08-17,47.849998474121094
2017-08-18,47.130001068115234
2017-08-21,48.599998474121094
2017-08-22,48.72999954223633
2017-08-23,49.81999969482422
2017-08-24,50.13999938964844
2017-08-25,50.34000015258789
2017-08-28,49.72999954223633
2017-08-29,48.56999969482422
2017-08-30,49.27000045776367
2017-08-31,47.56999969482422
2017-09-01,48.0
2017-09-05,48.7400016784668
2017-09-06,49.0099983215332
2017-09-07,49.439998626708984
2017-09-08,49.279998779296875
2017-09-11,49.959999084472656
2017-09-12,50.31999969482422
2017-09-13,50.470001220703125
2017-09-14,49.630001068115234
2017-09-15,49.59000015258789
2017-09-18,49.43000030517578
2017-09-19,49.470001220703125
2017-09-20,50.09000015258789
2017-09-21,49.470001220703125
2017-09-22,50.369998931884766
2017-09-25,52.33000183105469
2017-09-26,52.9900016784668
2017-09-27,54.349998474121094
2017-09-28,54.65999984741211
2017-09-29,54.880001068115234
2017-10-02,54.95000076293945
2017-10-03,55.540000915527344
2017-10-04,54.540000915527344
2017-10-05,55.40999984741211
2017-10-06,57.279998779296875
2017-10-09,56.38999938964844
2017-10-10,56.189998626708984
2017-10-11,55.97999954223633
2017-10-12,54.9900016784668
2017-10-13,55.279998779296875
2017-10-16,55.29999923706055
2017-10-17,56.470001220703125
2017-10-18,56.7599983215332
2017-10-19,57.029998779296875
2017-10-20,57.4900016784668
2017-10-23,57.0
2017-10-24,56.61000061035156
2017-10-25,55.79999923706055
2017-10-26,55.630001068115234
2017-10-27,55.45000076293945
2017-10-30,55.459999084472656
2017-10-31,55.25
2017-11-01,55.41999816894531
2017-11-02,56.900001525878906
2017-11-03,57.0099983215332
2017-11-06,57.2400016784668
2017-11-07,57.380001068115234
2017-11-08,58.13999938964844
2017-11-09,57.38999938964844
2017-11-10,57.529998779296875
2017-11-13,58.029998779296875
2017-11-14,58.349998474121094
2017-11-15,57.93000030517578
2017-11-16,59.150001525878906
2017-11-17,59.900001525878906
2017-11-20,59.4900016784668
2017-11-21,59.06999969482422
2017-11-22,59.0
2017-11-24,59.459999084472656
2017-11-27,58.79999923706055
2017-11-28,60.25
2017-11-29,61.2400016784668
2017-11-30,61.79999923706055
2017-12-01,61.5099983215332
2017-12-04,65.0
2017-12-05,64.13999938964844
2017-12-06,65.52999877929688
2017-12-07,67.0
2017-12-08,67.12000274658203
2017-12-11,65.1500015258789
2017-12-12,66.11000061035156
2017-12-13,67.04000091552734
2017-12-14,65.55000305175781
2017-12-15,66.72000122070312
2017-12-18,68.29000091552734
2017-12-19,66.87000274658203
2017-12-20,65.86000061035156
2017-12-21,66.0
2017-12-22,65.4800033569336
2017-12-26,67.47000122070312
2017-12-27,67.83999633789062
2017-12-28,68.02999877929688
2017-12-29,66.31999969482422
2018-01-02,69.16000366210938
2018-01-03,70.80000305175781
2018-01-04,72.63999938964844
2018-01-05,72.37000274658203
2018-01-08,66.94999694824219
2018-01-09,67.9000015258789
2018-01-10,65.76000213623047
2018-01-11,68.12000274658203
2018-01-12,66.93000030517578
2018-01-16,66.7699966430664
2018-01-17,66.80000305175781
2018-01-18,66.79000091552734
2018-01-19,67.5199966430664
2018-01-22,66.76000213623047
2018-01-23,67.1500015258789
2018-01-24,66.73999786376953
2018-01-25,67.2699966430664
2018-01-26,66.98999786376953
2018-01-29,65.94000244140625
2018-01-30,65.37999725341797
2018-01-31,64.93000030517578
2018-02-01,64.97000122070312
2018-02-02,62.939998626708984
2018-02-05,61.939998626708984
2018-02-06,63.63999938964844
2018-02-07,64.25
2018-02-08,62.52000045776367
2018-02-09,63.66999816894531
2018-02-12,64.66999816894531
2018-02-13,64.3499984741211
2018-02-14,64.95999908447266
2018-02-15,64.5199966430664
2018-02-16,66.91999816894531
2018-02-20,65.41000366210938
2018-02-21,66.43000030517578
2018-02-22,67.37000274658203
2018-02-23,67.5
2018-02-26,66.80000305175781
2018-02-27,66.55000305175781
2018-02-28,66.8499984741211
2018-03-01,67.13999938964844
2018-03-02,68.66000366210938
2018-03-05,69.69999694824219
2018-03-06,71.55000305175781
2018-03-07,68.97000122070312
2018-03-08,68.0199966430664
2018-03-09,68.58000183105469
2018-03-12,67.36000061035156
2018-03-13,68.25
2018-03-14,68.36000061035156
2018-03-15,68.66999816894531
2018-03-16,68.95999908447266
2018-03-19,69.05000305175781
2018-03-20,68.9800033569336
2018-03-21,67.13999938964844
2018-03-22,69.95999908447266
2018-03-23,69.02999877929688
2018-03-26,71.70999908447266
2018-03-27,69.72000122070312
2018-03-28,70.7699966430664
2018-03-29,73.33999633789062
2018-04-02,72.2699966430664
2018-04-03,71.9000015258789
2018-04-04,71.9000015258789
2018-04-05,72.52999877929688
2018-04-06,70.69999694824219
2018-04-09,71.44000244140625
2018-04-10,74.08999633789062
2018-04-11,76.48999786376953
2018-04-12,75.98999786376953
2018-04-13,75.23999786376953
2018-04-16,76.38999938964844
2018-04-17,76.8499984741211
2018-04-18,76.05999755859375
2018-04-19,74.79000091552734
2018-04-20,73.83999633789062
2018-04-23,73.4000015258789
2018-04-24,72.63999938964844
2018-04-25,72.6500015258789
2018-04-26,73.26000213623047
2018-04-27,73.58000183105469
2018-04-30,70.61000061035156
2018-05-01,70.5
2018-05-02,70.9000015258789
2018-05-03,71.98999786376953
2018-05-04,71.2699966430664
2018-05-07,71.80000305175781
2018-05-08,71.31999969482422
2018-05-09,71.05999755859375
2018-05-10,71.13999938964844
2018-05-11,71.01000213623047
2018-05-14,72.29000091552734
2018-05-15,73.56999969482422
2018-05-16,74.6500015258789
2018-05-17,75.52999877929688
2018-05-18,74.83000183105469
2018-05-21,73.22000122070312
2018-05-22,71.80999755859375
2018-05-23,72.68000030517578
