,ACGLO
2020-06-03,25.399999618530273
2020-06-04,25.270000457763672
2020-06-05,25.270000457763672
2020-06-08,25.489999771118164
2020-06-09,25.520000457763672
2020-06-10,25.475000381469727
2020-06-11,25.0
2020-06-12,24.68000030517578
2020-06-15,24.68000030517578
2020-06-16,25.100000381469727
2020-06-17,25.100000381469727
2020-06-18,25.06999969482422
2020-06-19,24.889999389648438
2020-06-22,24.860000610351562
2020-06-23,25.049999237060547
2020-06-24,24.850000381469727
2020-06-25,24.825000762939453
2020-06-26,24.649999618530273
2020-06-29,24.75
2020-06-30,24.489999771118164
2020-07-01,24.579999923706055
2020-07-02,24.850000381469727
2020-07-06,25.040000915527344
2020-07-07,25.030000686645508
2020-07-08,25.489999771118164
2020-07-09,25.350000381469727
2020-07-10,25.30500030517578
2020-07-13,25.239999771118164
2020-07-14,25.31999969482422
2020-07-15,25.31999969482422
2020-07-16,25.600000381469727
2020-07-17,25.6299991607666
2020-07-20,25.75
2020-07-21,25.700000762939453
2020-07-22,25.59000015258789
2020-07-23,25.649999618530273
2020-07-24,25.610000610351562
2020-07-27,25.420000076293945
2020-07-28,25.700000762939453
2020-07-29,25.950000762939453
2020-07-30,25.989999771118164
2020-07-31,26.34000015258789
2020-08-03,26.479999542236328
2020-08-04,26.229999542236328
2020-08-05,26.270000457763672
2020-08-06,26.229999542236328
2020-08-07,26.299999237060547
2020-08-10,26.1200008392334
2020-08-11,26.149999618530273
2020-08-12,26.149999618530273
2020-08-13,26.18000030517578
2020-08-14,26.100000381469727
2020-08-17,26.17799949645996
2020-08-18,26.299999237060547
2020-08-19,26.350000381469727
2020-08-20,26.31999969482422
2020-08-21,26.270000457763672
2020-08-24,26.280000686645508
2020-08-25,26.190000534057617
2020-08-26,26.420000076293945
2020-08-27,26.440000534057617
2020-08-28,26.33799934387207
2020-08-31,26.309999465942383
2020-09-01,26.40999984741211
2020-09-02,26.56999969482422
2020-09-03,26.59000015258789
2020-09-04,26.280000686645508
2020-09-08,26.18000030517578
2020-09-09,26.40999984741211
2020-09-10,26.579999923706055
2020-09-11,26.260000228881836
2020-09-14,26.15999984741211
2020-09-15,26.459999084472656
2020-09-16,26.1200008392334
2020-09-17,25.989999771118164
2020-09-18,26.1299991607666
2020-09-21,25.790000915527344
2020-09-22,26.1299991607666
2020-09-23,25.725000381469727
2020-09-24,25.610000610351562
2020-09-25,26.1299991607666
2020-09-28,26.030000686645508
2020-09-29,26.139999389648438
2020-09-30,25.860000610351562
2020-10-01,26.15999984741211
2020-10-02,26.1299991607666
2020-10-05,26.280000686645508
2020-10-06,26.260000228881836
2020-10-07,26.420000076293945
2020-10-08,26.440000534057617
2020-10-09,26.469999313354492
2020-10-12,26.469999313354492
2020-10-13,26.469999313354492
2020-10-14,26.40999984741211
2020-10-15,26.549999237060547
2020-10-16,26.229999542236328
2020-10-19,26.360000610351562
2020-10-20,26.25
2020-10-21,26.170000076293945
2020-10-22,26.43000030517578
2020-10-23,26.43000030517578
2020-10-26,26.459999084472656
2020-10-27,26.389999389648438
2020-10-28,26.049999237060547
2020-10-29,25.8799991607666
2020-10-30,26.100000381469727
2020-11-02,26.399999618530273
2020-11-03,26.209999084472656
2020-11-04,26.56999969482422
2020-11-05,26.450000762939453
2020-11-06,26.309999465942383
2020-11-09,26.540000915527344
2020-11-10,26.469999313354492
2020-11-11,26.440000534057617
2020-11-12,26.44099998474121
2020-11-13,26.43600082397461
2020-11-16,26.93000030517578
2020-11-17,26.93000030517578
2020-11-18,26.940000534057617
2020-11-19,26.850000381469727
2020-11-20,26.889999389648438
2020-11-23,26.790000915527344
2020-11-24,26.670000076293945
