,FEYE
2018-06-25,15.800000190734863
2018-06-26,15.699999809265137
2018-06-27,15.5
2018-06-28,15.5
2018-06-29,15.390000343322754
2018-07-02,15.739999771118164
2018-07-03,15.600000381469727
2018-07-05,15.699999809265137
2018-07-06,15.979999542236328
2018-07-09,16.469999313354492
2018-07-10,16.760000228881836
2018-07-11,16.899999618530273
2018-07-12,17.350000381469727
2018-07-13,17.290000915527344
2018-07-16,16.760000228881836
2018-07-17,16.93000030517578
2018-07-18,16.989999771118164
2018-07-19,17.030000686645508
2018-07-20,17.0
2018-07-23,17.0
2018-07-24,16.43000030517578
2018-07-25,16.639999389648438
2018-07-26,16.690000534057617
2018-07-27,16.15999984741211
2018-07-30,15.5
2018-07-31,15.529999732971191
2018-08-01,15.6899995803833
2018-08-02,15.390000343322754
2018-08-03,14.960000038146973
2018-08-06,15.220000267028809
2018-08-07,15.25
2018-08-08,15.390000343322754
2018-08-09,15.229999542236328
2018-08-10,15.079999923706055
2018-08-13,14.859999656677246
2018-08-14,14.649999618530273
2018-08-15,14.380000114440918
2018-08-16,14.460000038146973
2018-08-17,14.430000305175781
2018-08-20,14.420000076293945
2018-08-21,14.569999694824219
2018-08-22,14.899999618530273
2018-08-23,15.760000228881836
2018-08-24,16.3700008392334
2018-08-27,16.1200008392334
2018-08-28,16.18000030517578
2018-08-29,16.440000534057617
2018-08-30,16.3700008392334
2018-08-31,16.600000381469727
2018-09-04,16.43000030517578
2018-09-05,15.460000038146973
2018-09-06,15.220000267028809
2018-09-07,15.420000076293945
2018-09-10,15.4399995803833
2018-09-11,15.569999694824219
2018-09-12,15.859999656677246
2018-09-13,16.219999313354492
2018-09-14,16.68000030517578
2018-09-17,16.020000457763672
2018-09-18,16.360000610351562
2018-09-19,16.559999465942383
2018-09-20,16.59000015258789
2018-09-21,16.81999969482422
2018-09-24,16.520000457763672
2018-09-25,17.209999084472656
2018-09-26,16.889999389648438
2018-09-27,16.81999969482422
2018-09-28,17.0
2018-10-01,16.8700008392334
2018-10-02,16.739999771118164
2018-10-03,16.959999084472656
2018-10-04,17.350000381469727
2018-10-05,17.3700008392334
2018-10-08,16.43000030517578
2018-10-09,16.690000534057617
2018-10-10,16.25
2018-10-11,16.18000030517578
2018-10-12,16.68000030517578
2018-10-15,16.93000030517578
2018-10-16,17.809999465942383
2018-10-17,17.84000015258789
2018-10-18,17.690000534057617
2018-10-19,16.969999313354492
2018-10-22,17.6200008392334
2018-10-23,17.75
2018-10-24,16.790000915527344
2018-10-25,17.3700008392334
2018-10-26,16.969999313354492
2018-10-29,16.40999984741211
2018-10-30,16.850000381469727
2018-10-31,18.489999771118164
2018-11-01,19.40999984741211
2018-11-02,18.670000076293945
2018-11-05,18.670000076293945
2018-11-06,18.770000457763672
2018-11-07,19.8700008392334
2018-11-08,19.899999618530273
2018-11-09,19.350000381469727
2018-11-12,18.950000762939453
2018-11-13,18.969999313354492
2018-11-14,18.520000457763672
2018-11-15,18.799999237060547
2018-11-16,18.760000228881836
2018-11-19,17.670000076293945
2018-11-20,17.610000610351562
2018-11-21,17.90999984741211
2018-11-23,18.5
2018-11-26,19.06999969482422
2018-11-27,19.079999923706055
2018-11-28,19.700000762939453
2018-11-29,19.850000381469727
2018-11-30,20.010000228881836
