,CATB
2017-11-21,17.399999618530273
2017-11-22,17.899999618530273
2017-11-24,18.5
2017-11-27,18.5
2017-11-28,17.799999237060547
2017-11-29,17.799999237060547
2017-11-30,17.700000762939453
2017-12-01,17.5
2017-12-04,16.799999237060547
2017-12-05,17.200000762939453
2017-12-06,17.100000381469727
2017-12-07,17.600000381469727
2017-12-08,17.899999618530273
2017-12-11,17.399999618530273
2017-12-12,17.0
2017-12-13,17.399999618530273
2017-12-14,17.200000762939453
2017-12-15,16.5
2017-12-18,16.200000762939453
2017-12-19,16.700000762939453
2017-12-20,16.5
2017-12-21,16.600000381469727
2017-12-22,16.600000381469727
2017-12-26,15.699999809265137
2017-12-27,15.399999618530273
2017-12-28,14.899999618530273
2017-12-29,14.899999618530273
2018-01-02,15.199999809265137
2018-01-03,15.699999809265137
2018-01-04,16.100000381469727
2018-01-05,15.699999809265137
2018-01-08,15.5
2018-01-09,15.5
2018-01-10,15.5
2018-01-11,15.600000381469727
2018-01-12,15.399999618530273
2018-01-16,14.899999618530273
2018-01-17,15.0
2018-01-18,15.300000190734863
2018-01-19,15.300000190734863
2018-01-22,15.5
2018-01-23,15.5
2018-01-24,15.0
2018-01-25,15.0
2018-01-26,15.0
2018-01-29,15.100000381469727
2018-01-30,14.800000190734863
2018-01-31,14.899999618530273
2018-02-01,14.699999809265137
2018-02-02,14.199999809265137
2018-02-05,13.399999618530273
2018-02-06,13.100000381469727
2018-02-07,13.100000381469727
2018-02-08,12.800000190734863
2018-02-09,12.300000190734863
2018-02-12,12.5
2018-02-13,15.600000381469727
2018-02-14,13.899999618530273
2018-02-15,13.899999618530273
2018-02-16,16.0
2018-02-20,15.600000381469727
2018-02-21,15.399999618530273
2018-02-22,16.75
2018-02-23,17.399999618530273
2018-02-26,17.5
2018-02-27,17.0
2018-02-28,17.200000762939453
2018-03-01,19.899999618530273
2018-03-02,19.5
2018-03-05,19.600000381469727
2018-03-06,20.299999237060547
2018-03-07,20.399999618530273
2018-03-08,20.299999237060547
2018-03-09,20.5
2018-03-12,20.5
2018-03-13,19.799999237060547
2018-03-14,19.200000762939453
2018-03-15,19.399999618530273
2018-03-16,19.600000381469727
2018-03-19,19.399999618530273
2018-03-20,20.0
2018-03-21,20.5
2018-03-22,20.299999237060547
2018-03-23,19.200000762939453
2018-03-26,19.5
2018-03-27,18.600000381469727
2018-03-28,18.0
2018-03-29,18.100000381469727
2018-04-02,17.600000381469727
2018-04-03,17.600000381469727
2018-04-04,18.0
2018-04-05,17.600000381469727
2018-04-06,17.700000762939453
2018-04-09,17.600000381469727
2018-04-10,18.200000762939453
2018-04-11,17.899999618530273
2018-04-12,18.5
2018-04-13,18.200000762939453
2018-04-16,17.899999618530273
2018-04-17,17.799999237060547
2018-04-18,18.100000381469727
2018-04-19,17.200000762939453
2018-04-20,16.600000381469727
2018-04-23,16.5
2018-04-24,16.399999618530273
2018-04-25,16.100000381469727
2018-04-26,16.100000381469727
2018-04-27,16.5
2018-04-30,16.200000762939453
