,ARCT
2016-03-23,26.600000381469727
2016-03-24,26.670000076293945
2016-03-28,25.40999984741211
2016-03-29,25.760000228881836
2016-03-30,25.34000015258789
2016-03-31,26.530000686645508
2016-04-01,27.510000228881836
2016-04-04,29.469999313354492
2016-04-05,29.260000228881836
2016-04-06,30.65999984741211
2016-04-07,31.920000076293945
2016-04-08,31.5
2016-04-11,29.75
2016-04-12,29.889999389648438
2016-04-13,30.59000015258789
2016-04-14,30.729999542236328
2016-04-15,30.729999542236328
2016-04-18,30.729999542236328
2016-04-19,31.219999313354492
2016-04-20,31.010000228881836
2016-04-21,31.290000915527344
2016-04-22,32.900001525878906
2016-04-25,32.619998931884766
2016-04-26,30.59000015258789
2016-04-27,29.1200008392334
2016-04-28,29.329999923706055
2016-04-29,28.06999969482422
2016-05-02,28.489999771118164
2016-05-03,29.329999923706055
2016-05-04,27.020000457763672
2016-05-05,28.84000015258789
2016-05-06,29.049999237060547
2016-05-09,29.610000610351562
2016-05-10,28.559999465942383
2016-05-11,26.8799991607666
2016-05-12,25.690000534057617
2016-05-13,28.209999084472656
2016-05-16,29.190000534057617
2016-05-17,30.799999237060547
2016-05-18,29.959999084472656
2016-05-19,31.850000381469727
2016-05-20,32.20000076293945
2016-05-23,34.09000015258789
2016-05-24,35.97999954223633
2016-05-25,36.33000183105469
2016-05-26,35.13999938964844
2016-05-27,35.84000015258789
2016-05-31,37.2400016784668
2016-06-01,38.779998779296875
2016-06-02,38.5
2016-06-03,38.08000183105469
2016-06-06,38.709999084472656
2016-06-07,38.56999969482422
2016-06-08,38.779998779296875
2016-06-09,36.61000061035156
2016-06-10,35.70000076293945
2016-06-13,33.810001373291016
2016-06-14,32.619998931884766
2016-06-15,31.709999084472656
2016-06-16,30.520000457763672
2016-06-17,29.75
2016-06-20,30.100000381469727
2016-06-21,28.700000762939453
2016-06-22,29.329999923706055
2016-06-23,28.700000762939453
2016-06-24,29.049999237060547
2016-06-27,28.700000762939453
2016-06-28,29.469999313354492
2016-06-29,30.3799991607666
2016-06-30,31.43000030517578
2016-07-01,33.810001373291016
2016-07-05,32.900001525878906
2016-07-06,33.529998779296875
2016-07-07,32.34000015258789
2016-07-08,34.02000045776367
2016-07-11,33.38999938964844
2016-07-12,31.780000686645508
2016-07-13,30.239999771118164
2016-07-14,28.84000015258789
2016-07-15,28.420000076293945
2016-07-18,30.239999771118164
2016-07-19,29.329999923706055
2016-07-20,30.030000686645508
2016-07-21,30.170000076293945
2016-07-22,29.329999923706055
2016-07-25,29.1200008392334
2016-07-26,29.75
2016-07-27,30.59000015258789
2016-07-28,29.959999084472656
2016-07-29,29.959999084472656
2016-08-01,30.170000076293945
2016-08-02,30.59000015258789
2016-08-03,35.0
2016-08-04,33.880001068115234
2016-08-05,33.880001068115234
2016-08-08,33.25
2016-08-09,35.209999084472656
2016-08-10,34.369998931884766
2016-08-11,35.0
2016-08-12,35.06999969482422
2016-08-15,35.41999816894531
2016-08-16,35.279998779296875
2016-08-17,35.06999969482422
2016-08-18,35.0
2016-08-19,34.58000183105469
2016-08-22,33.95000076293945
2016-08-23,35.41999816894531
2016-08-24,34.720001220703125
2016-08-25,34.86000061035156
2016-08-26,35.06999969482422
2016-08-29,37.029998779296875
2016-08-30,35.77000045776367
2016-08-31,34.439998626708984
2016-09-01,33.18000030517578
2016-09-02,33.38999938964844
2016-09-06,33.880001068115234
2016-09-07,33.599998474121094
2016-09-08,33.95000076293945
2016-09-09,33.7400016784668
2016-09-12,33.18000030517578
2016-09-13,32.27000045776367
2016-09-14,32.27000045776367
2016-09-15,31.149999618530273
2016-09-16,31.709999084472656
2016-09-19,31.850000381469727
2016-09-20,32.27000045776367
