,CINF
1992-01-29,10.786543846130371
1992-01-30,10.969366073608398
1992-01-31,11.015071868896484
1992-02-03,11.106483459472656
1992-02-04,11.106483459472656
1992-02-05,11.06077766418457
1992-02-06,11.106483459472656
1992-02-07,11.197895050048828
1992-02-10,11.015071868896484
1992-02-11,10.786543846130371
1992-02-12,10.740838050842285
1992-02-13,10.855101585388184
1992-02-14,10.6951322555542
1992-02-18,10.238075256347656
1992-02-19,10.375191688537598
1992-02-20,10.466604232788086
1992-02-21,10.489457130432129
1992-02-24,10.489457130432129
1992-02-25,10.649426460266113
1992-02-26,10.923661231994629
1992-02-27,10.957940101623535
1992-02-28,10.809395790100098
1992-03-02,10.969366073608398
1992-03-03,10.83224868774414
1992-03-04,10.786543846130371
1992-03-05,10.62657356262207
1992-03-06,10.558014869689941
1992-03-09,10.329486846923828
1992-03-10,10.512309074401855
1992-03-11,10.375191688537598
1992-03-12,10.386618614196777
1992-03-13,10.375191688537598
1992-03-16,10.558014869689941
1992-03-17,10.375191688537598
1992-03-18,10.375191688537598
1992-03-19,10.558014869689941
1992-03-20,10.62657356262207
1992-03-23,10.558014869689941
1992-03-24,10.6951322555542
1992-03-25,10.83224868774414
1992-03-26,11.015071868896484
1992-03-27,11.015071868896484
1992-03-30,11.015071868896484
1992-03-31,10.992218971252441
1992-04-01,11.015071868896484
1992-04-02,11.106483459472656
1992-04-03,11.015071868896484
1992-04-06,11.357865333557129
1992-04-07,11.426423072814941
1992-04-08,11.289305686950684
1992-04-09,11.335012435913086
1992-04-10,11.426423072814941
1992-04-13,11.54068660736084
1992-04-14,11.883480072021484
1992-04-15,12.180566787719727
1992-04-16,11.997743606567383
1992-04-20,11.906332969665527
1992-04-21,11.792069435119629
1992-04-22,11.883480072021484
1992-04-23,11.883480072021484
1992-04-24,11.826348304748535
1992-04-27,11.952038764953613
1992-04-28,11.883480072021484
1992-04-29,11.837774276733398
1992-04-30,11.403570175170898
1992-05-01,11.289305686950684
1992-05-04,11.609246253967285
1992-05-05,11.609246253967285
1992-05-06,11.71208381652832
1992-05-07,11.723509788513184
1992-05-08,11.792069435119629
1992-05-11,11.837774276733398
1992-05-12,11.860627174377441
1992-05-13,11.792069435119629
1992-05-14,11.792069435119629
1992-05-15,11.609246253967285
1992-05-18,11.963464736938477
1992-05-19,12.066303253173828
1992-05-20,12.134861946105957
1992-05-21,12.066303253173828
1992-05-22,11.997743606567383
1992-05-26,12.066303253173828
1992-05-27,11.92918586730957
1992-05-28,12.066303253173828
1992-05-29,12.20341968536377
1992-06-01,12.20341968536377
1992-06-02,12.271979331970215
1992-06-03,12.20341968536377
1992-06-04,12.169140815734863
1992-06-05,12.340537071228027
1992-06-08,12.409095764160156
1992-06-09,12.20341968536377
1992-06-10,12.20341968536377
1992-06-11,12.20341968536377
1992-06-12,12.271979331970215
1992-06-15,12.237698554992676
1992-06-16,12.340537071228027
1992-06-17,12.20341968536377
1992-06-18,11.757789611816406
1992-06-19,11.792069435119629
1992-06-22,11.586393356323242
1992-06-23,11.689230918884277
1992-06-24,11.792069435119629
1992-06-25,11.792069435119629
1992-06-26,11.894906997680664
1992-06-29,11.997743606567383
1992-06-30,11.997743606567383
1992-07-01,12.066303253173828
1992-07-02,12.066303253173828
1992-07-06,12.066303253173828
1992-07-07,12.134861946105957
1992-07-08,12.477654457092285
1992-07-09,12.957564353942871
1992-07-10,13.23179817199707
1992-07-13,13.23179817199707
1992-07-14,12.957564353942871
1992-07-15,12.820446968078613
1992-07-16,13.026123046875
1992-07-17,13.23179817199707
1992-07-20,13.23179817199707
1992-07-21,13.026123046875
1992-07-22,12.957564353942871
1992-07-23,13.094680786132812
1992-07-24,13.026123046875
1992-07-27,12.991843223571777
1992-07-28,13.163240432739258
1992-07-29,13.163240432739258
1992-07-30,13.026123046875
1992-07-31,12.957564353942871
1992-08-03,12.957564353942871
1992-08-04,12.820446968078613
1992-08-05,12.751888275146484
1992-08-06,12.546213150024414
1992-08-07,12.751888275146484
1992-08-10,12.820446968078613
1992-08-11,13.094680786132812
1992-08-12,13.3003568649292
1992-08-13,13.23179817199707
1992-08-14,13.266077041625977
1992-08-17,13.334635734558105
1992-08-18,13.780265808105469
1992-08-19,13.780265808105469
1992-08-20,13.848825454711914
1992-08-21,13.50603199005127
1992-08-24,13.3003568649292
1992-08-25,13.437474250793457
1992-08-26,13.711708068847656
1992-08-27,13.711708068847656
1992-08-28,13.50603199005127
1992-08-31,13.368914604187012
1992-09-01,13.368914604187012
1992-09-02,13.368914604187012
1992-09-03,13.437474250793457
1992-09-04,13.50603199005127
1992-09-08,13.50603199005127
1992-09-09,13.574590682983398
1992-09-10,13.437474250793457
1992-09-11,13.471753120422363
1992-09-14,13.437474250793457
1992-09-15,13.437474250793457
1992-09-16,13.3003568649292
1992-09-17,13.437474250793457
1992-09-18,13.403194427490234
1992-09-21,13.50603199005127
1992-09-22,13.437474250793457
1992-09-23,13.437474250793457
1992-09-24,13.643149375915527
1992-09-25,13.780265808105469
1992-09-28,13.574590682983398
1992-09-29,13.917384147644043
1992-09-30,14.465851783752441
1992-10-01,15.082879066467285
1992-10-02,14.945761680603027
1992-10-05,14.877202987670898
1992-10-06,15.219996452331543
1992-10-07,15.631346702575684
1992-10-08,15.83702278137207
1992-10-09,15.768464088439941
1992-10-12,15.83702278137207
1992-10-13,15.562788009643555
1992-10-14,15.494230270385742
1992-10-15,15.425670623779297
1992-10-16,15.562788009643555
1992-10-19,15.494230270385742
1992-10-20,15.082879066467285
1992-10-21,15.219996452331543
1992-10-22,15.151436805725098
1992-10-23,15.014320373535156
1992-10-26,15.151436805725098
1992-10-27,15.288554191589355
1992-10-28,15.425670623779297
1992-10-29,15.219996452331543
1992-10-30,15.219996452331543
1992-11-02,15.25427532196045
1992-11-03,15.357112884521484
1992-11-04,15.357112884521484
1992-11-05,15.425670623779297
1992-11-06,15.25427532196045
1992-11-09,15.562788009643555
1992-11-10,15.699906349182129
1992-11-11,15.768464088439941
1992-11-12,16.111257553100586
