,ECHO
2016-07-28,24.799999237060547
2016-07-29,24.760000228881836
2016-08-01,24.850000381469727
2016-08-02,24.549999237060547
2016-08-03,24.760000228881836
2016-08-04,24.90999984741211
2016-08-05,25.350000381469727
2016-08-08,25.639999389648438
2016-08-09,25.520000457763672
2016-08-10,26.100000381469727
2016-08-11,25.8700008392334
2016-08-12,25.860000610351562
2016-08-15,25.75
2016-08-16,25.860000610351562
2016-08-17,25.530000686645508
2016-08-18,25.579999923706055
2016-08-19,25.68000030517578
2016-08-22,25.59000015258789
2016-08-23,25.790000915527344
2016-08-24,25.719999313354492
2016-08-25,25.489999771118164
2016-08-26,25.510000228881836
2016-08-29,25.600000381469727
2016-08-30,25.950000762939453
2016-08-31,25.799999237060547
2016-09-01,26.079999923706055
2016-09-02,26.3799991607666
2016-09-06,26.389999389648438
2016-09-07,26.649999618530273
2016-09-08,25.34000015258789
2016-09-09,24.790000915527344
2016-09-12,23.860000610351562
2016-09-13,23.270000457763672
2016-09-14,23.15999984741211
2016-09-15,23.510000228881836
2016-09-16,23.489999771118164
2016-09-19,23.68000030517578
2016-09-20,23.0
2016-09-21,23.25
2016-09-22,23.6299991607666
2016-09-23,23.06999969482422
2016-09-26,23.06999969482422
2016-09-27,22.989999771118164
2016-09-28,23.049999237060547
2016-09-29,23.0
2016-09-30,23.059999465942383
2016-10-03,23.020000457763672
2016-10-04,22.84000015258789
2016-10-05,22.8700008392334
2016-10-06,22.799999237060547
2016-10-07,22.709999084472656
2016-10-10,23.139999389648438
2016-10-11,22.829999923706055
2016-10-12,22.979999542236328
2016-10-13,22.450000762939453
2016-10-14,22.450000762939453
2016-10-17,22.299999237060547
2016-10-18,22.200000762939453
2016-10-19,22.200000762939453
2016-10-20,22.450000762939453
2016-10-21,22.549999237060547
2016-10-24,22.850000381469727
2016-10-25,22.799999237060547
2016-10-26,22.649999618530273
2016-10-27,21.549999237060547
2016-10-28,21.149999618530273
2016-10-31,21.200000762939453
2016-11-01,20.899999618530273
2016-11-02,21.299999237060547
2016-11-03,21.149999618530273
2016-11-04,21.950000762939453
2016-11-07,22.450000762939453
2016-11-08,22.899999618530273
2016-11-09,23.5
2016-11-10,23.899999618530273
2016-11-11,24.899999618530273
2016-11-14,25.5
2016-11-15,25.399999618530273
2016-11-16,25.850000381469727
2016-11-17,25.899999618530273
2016-11-18,25.700000762939453
2016-11-21,25.700000762939453
2016-11-22,25.25
2016-11-23,25.450000762939453
2016-11-25,25.549999237060547
2016-11-28,25.200000762939453
2016-11-29,25.0
2016-11-30,25.100000381469727
2016-12-01,25.5
2016-12-02,25.5
2016-12-05,25.850000381469727
2016-12-06,26.700000762939453
2016-12-07,27.549999237060547
2016-12-08,28.5
2016-12-09,28.399999618530273
2016-12-12,27.399999618530273
2016-12-13,27.25
2016-12-14,27.600000381469727
2016-12-15,27.950000762939453
2016-12-16,26.75
2016-12-19,26.399999618530273
2016-12-20,25.75
2016-12-21,25.450000762939453
2016-12-22,25.149999618530273
2016-12-23,25.450000762939453
2016-12-27,25.649999618530273
2016-12-28,25.049999237060547
2016-12-29,24.899999618530273
2016-12-30,25.049999237060547
2017-01-03,25.350000381469727
2017-01-04,25.450000762939453
2017-01-05,25.0
2017-01-06,24.899999618530273
2017-01-09,24.700000762939453
2017-01-10,24.899999618530273
2017-01-11,25.0
2017-01-12,24.700000762939453
2017-01-13,25.700000762939453
2017-01-17,25.049999237060547
2017-01-18,25.0
2017-01-19,24.899999618530273
2017-01-20,24.600000381469727
2017-01-23,24.149999618530273
2017-01-24,24.450000762939453
2017-01-25,24.899999618530273
2017-01-26,24.700000762939453
2017-01-27,24.899999618530273
2017-01-30,24.350000381469727
2017-01-31,23.75
2017-02-01,24.100000381469727
2017-02-02,24.25
2017-02-03,25.0
2017-02-06,24.75
2017-02-07,23.700000762939453
2017-02-08,23.700000762939453
2017-02-09,23.0
2017-02-10,23.5
2017-02-13,23.75
2017-02-14,23.649999618530273
2017-02-15,23.549999237060547
2017-02-16,23.399999618530273
2017-02-17,23.450000762939453
2017-02-21,23.0
2017-02-22,22.950000762939453
2017-02-23,22.799999237060547
2017-02-24,22.75
2017-02-27,22.399999618530273
2017-02-28,21.850000381469727
2017-03-01,21.899999618530273
2017-03-02,21.299999237060547
2017-03-03,21.100000381469727
2017-03-06,21.799999237060547
2017-03-07,21.299999237060547
2017-03-08,21.0
2017-03-09,20.600000381469727
