,IHP
2011-05-19,1.5
2011-05-20,1.4299999475479126
2011-05-23,1.4299999475479126
2011-05-24,
2011-05-25,
2011-05-26,1.3799999952316284
2011-05-27,
2011-05-31,1.440000057220459
2011-06-01,1.5099999904632568
2011-06-02,1.5099999904632568
2011-06-03,1.5099999904632568
2011-06-06,1.440000057220459
2011-06-07,
2011-06-08,1.4700000286102295
2011-06-09,1.399999976158142
2011-06-10,
2011-06-13,1.399999976158142
2011-06-14,1.440000057220459
2011-06-15,
2011-06-16,1.3799999952316284
2011-06-17,1.3799999952316284
2011-06-20,1.3899999856948853
2011-06-21,
2011-06-22,1.350000023841858
2011-06-23,1.399999976158142
2011-06-24,
2011-06-27,
2011-06-28,1.409999966621399
2011-06-29,1.4500000476837158
2011-06-30,
2011-07-01,1.4600000381469727
2011-07-05,1.4600000381469727
2011-07-06,1.4600000381469727
2011-07-07,1.4600000381469727
2011-07-08,1.4600000381469727
2011-07-11,1.4600000381469727
2011-07-12,1.4600000381469727
2011-07-13,1.4600000381469727
2011-07-14,1.4600000381469727
2011-07-15,1.4600000381469727
2011-07-18,
2011-07-19,1.4600000381469727
2011-07-20,1.4600000381469727
2011-07-21,
2011-07-22,1.4600000381469727
2011-07-25,1.4600000381469727
2011-07-26,
2011-07-27,
2011-07-28,1.4600000381469727
2011-07-29,1.4600000381469727
2011-08-01,1.4600000381469727
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-12,
2011-09-13,
2011-09-14,
2011-09-15,1.5199999809265137
2011-09-16,
2011-09-19,1.5399999618530273
2011-09-20,1.559999942779541
2011-09-21,1.6299999952316284
2011-09-22,
2011-09-23,1.7899999618530273
2011-09-26,1.8700000047683716
2011-09-27,1.9600000381469727
2011-09-28,2.049999952316284
2011-09-29,2.1500000953674316
2011-09-30,
2011-10-03,
2011-10-04,
2011-10-05,2.4700000286102295
2011-10-06,2.5899999141693115
2011-10-07,2.5899999141693115
2011-10-10,
2011-10-11,2.380000114440918
2011-10-12,2.2699999809265137
2011-10-13,2.1600000858306885
2011-10-14,2.259999990463257
2011-10-17,2.369999885559082
2011-10-18,2.259999990463257
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-24,
2011-10-25,
2011-10-26,2.25
2011-10-27,
2011-10-28,
2011-10-31,2.25
2011-11-01,2.25
2011-11-02,2.359999895095825
2011-11-03,
2011-11-04,
2011-11-07,
2011-11-08,
2011-11-09,2.490000009536743
2011-11-10,2.5
2011-11-11,2.619999885559082
2011-11-14,2.75
2011-11-15,2.880000114440918
2011-11-16,
2011-11-17,3.1600000858306885
2011-11-18,
2011-11-21,3.380000114440918
2011-11-22,3.2200000286102295
2011-11-23,3.059999942779541
2011-11-25,
2011-11-28,2.7699999809265137
2011-11-29,
2011-11-30,2.640000104904175
2011-12-01,2.640000104904175
2011-12-02,2.640000104904175
2011-12-05,2.509999990463257
2011-12-06,
2011-12-07,
2011-12-08,2.390000104904175
2011-12-09,
2011-12-12,
2011-12-13,2.390000104904175
2011-12-14,2.390000104904175
2011-12-15,
2011-12-16,2.2799999713897705
2011-12-19,2.1700000762939453
2011-12-20,
2011-12-21,1.9700000286102295
2011-12-22,1.8799999952316284
2011-12-23,1.9600000381469727
2011-12-27,
2011-12-28,1.8700000047683716
2011-12-29,1.7799999713897705
2011-12-30,1.7000000476837158
2012-01-03,
2012-01-04,1.5399999618530273
2012-01-05,1.5399999618530273
2012-01-06,1.6100000143051147
2012-01-09,1.6100000143051147
2012-01-10,
2012-01-11,
2012-01-12,1.6100000143051147
2012-01-13,1.6100000143051147
2012-01-17,1.600000023841858
2012-01-18,1.6299999952316284
2012-01-19,1.559999942779541
2012-01-20,1.559999942779541
2012-01-23,
2012-01-24,
2012-01-25,1.559999942779541
2012-01-26,
2012-01-27,1.559999942779541
2012-01-30,
2012-01-31,1.559999942779541
2012-02-01,
2012-02-02,
2012-02-03,1.4199999570846558
2012-02-06,
2012-02-07,
2012-02-08,1.350000023841858
2012-02-09,
2012-02-10,1.2899999618530273
2012-02-13,1.2899999618530273
2012-02-14,
2012-02-15,
2012-02-16,1.149999976158142
2012-02-17,1.2000000476837158
2012-02-21,
2012-02-22,1.3799999952316284
2012-02-23,
2012-02-24,1.5099999904632568
2012-02-27,1.5700000524520874
2012-02-28,1.5
2012-02-29,1.5499999523162842
2012-03-01,1.559999942779541
2012-03-02,
2012-03-05,1.6699999570846558
2012-03-06,
2012-03-07,1.6399999856948853
2012-03-08,
2012-03-09,1.559999942779541
2012-03-12,1.4900000095367432
2012-03-13,1.4199999570846558
2012-03-14,1.350000023841858
2012-03-15,
2012-03-16,
2012-03-19,
2012-03-20,1.3300000429153442
2012-03-21,1.3300000429153442
2012-03-22,
2012-03-23,1.2999999523162842
2012-03-26,1.3600000143051147
2012-03-27,
2012-03-28,
2012-03-29,1.409999966621399
2012-03-30,
2012-04-02,1.3799999952316284
2012-04-03,1.409999966621399
2012-04-04,1.409999966621399
2012-04-05,
2012-04-09,
2012-04-10,1.409999966621399
2012-04-11,1.409999966621399
2012-04-12,1.340000033378601
2012-04-13,1.2799999713897705
2012-04-16,1.2200000286102295
2012-04-17,1.1799999475479126
2012-04-18,1.1399999856948853
2012-04-19,1.190000057220459
2012-04-20,
2012-04-23,1.1799999475479126
2012-04-24,
2012-04-25,
2012-04-26,
2012-04-27,
2012-04-30,1.1799999475479126
2012-05-01,
2012-05-02,1.1799999475479126
2012-05-03,1.1299999952316284
2012-05-04,1.0800000429153442
2012-05-07,1.1299999952316284
2012-05-08,1.1799999475479126
2012-05-09,1.2200000286102295
2012-05-10,
2012-05-11,1.2100000381469727
2012-05-14,
2012-05-15,1.100000023841858
