,BIDU
2009-01-20,10.96500015258789
2009-01-21,11.092000007629395
2009-01-22,11.253000259399414
2009-01-23,11.194999694824219
2009-01-26,11.557000160217285
2009-01-27,11.529999732971191
2009-01-28,12.715999603271484
2009-01-29,12.86400032043457
2009-01-30,12.876999855041504
2009-02-02,12.552000045776367
2009-02-03,12.517000198364258
2009-02-04,12.899999618530273
2009-02-05,12.529000282287598
2009-02-06,12.461000442504883
2009-02-09,14.057000160217285
2009-02-10,13.083999633789062
2009-02-11,13.38599967956543
2009-02-12,13.199999809265137
2009-02-13,12.819999694824219
2009-02-17,12.234999656677246
2009-02-18,12.809000015258789
2009-02-19,13.256999969482422
2009-02-20,13.626999855041504
2009-02-23,13.175999641418457
2009-02-24,14.276000022888184
2009-02-25,14.37600040435791
2009-02-26,14.593999862670898
2009-02-27,14.831999778747559
2009-03-02,13.722000122070312
2009-03-03,14.458999633789062
2009-03-04,15.732000350952148
2009-03-05,16.150999069213867
2009-03-06,15.70199966430664
2009-03-09,15.508000373840332
2009-03-10,16.659000396728516
2009-03-11,16.81800079345703
2009-03-12,16.940000534057617
2009-03-13,17.266000747680664
2009-03-16,16.134000778198242
2009-03-17,17.540000915527344
2009-03-18,17.5
2009-03-19,17.518999099731445
2009-03-20,17.520000457763672
2009-03-23,18.260000228881836
2009-03-24,18.829999923706055
2009-03-25,18.3799991607666
2009-03-26,18.635000228881836
2009-03-27,18.315000534057617
2009-03-30,17.298999786376953
2009-03-31,17.65999984741211
2009-04-01,17.476999282836914
2009-04-02,18.492000579833984
2009-04-03,18.75
2009-04-06,18.641000747680664
2009-04-07,17.742000579833984
2009-04-08,18.259000778198242
2009-04-09,19.031999588012695
2009-04-13,19.947999954223633
2009-04-14,19.795000076293945
2009-04-15,19.60300064086914
2009-04-16,20.344999313354492
2009-04-17,21.009000778198242
2009-04-20,20.0
2009-04-21,20.45599937438965
2009-04-22,20.83300018310547
2009-04-23,21.25
2009-04-24,21.753999710083008
2009-04-27,22.486000061035156
2009-04-28,22.118999481201172
2009-04-29,22.729000091552734
2009-04-30,23.290000915527344
2009-05-01,23.56100082397461
2009-05-04,24.825000762939453
2009-05-05,24.979999542236328
2009-05-06,25.566999435424805
2009-05-07,24.700000762939453
2009-05-08,24.600000381469727
2009-05-11,23.954999923706055
2009-05-12,24.118000030517578
2009-05-13,23.100000381469727
2009-05-14,23.459999084472656
2009-05-15,23.500999450683594
2009-05-18,24.358999252319336
2009-05-19,24.69700050354004
2009-05-20,24.70400047302246
2009-05-21,24.047000885009766
2009-05-22,23.989999771118164
2009-05-26,24.736000061035156
2009-05-27,25.11199951171875
2009-05-28,25.81999969482422
2009-05-29,26.3799991607666
2009-06-01,28.599000930786133
2009-06-02,27.799999237060547
2009-06-03,28.68600082397461
2009-06-04,29.34000015258789
2009-06-05,30.406999588012695
2009-06-08,30.389999389648438
2009-06-09,30.916000366210938
2009-06-10,29.829999923706055
2009-06-11,30.069000244140625
2009-06-12,28.899999618530273
2009-06-15,29.231000900268555
2009-06-16,28.899999618530273
2009-06-17,29.591999053955078
2009-06-18,29.40399932861328
2009-06-19,29.760000228881836
2009-06-22,27.802000045776367
2009-06-23,27.284000396728516
2009-06-24,28.334999084472656
2009-06-25,29.315000534057617
2009-06-26,30.118000030517578
2009-06-29,29.81800079345703
2009-06-30,30.108999252319336
2009-07-01,29.506999969482422
2009-07-02,28.950000762939453
2009-07-06,28.58099937438965
2009-07-07,27.614999771118164
2009-07-08,27.488000869750977
2009-07-09,28.174999237060547
2009-07-10,28.423999786376953
2009-07-13,29.062999725341797
2009-07-14,29.905000686645508
2009-07-15,31.58099937438965
2009-07-16,32.25
2009-07-17,32.15999984741211
2009-07-20,33.624000549316406
2009-07-21,33.20800018310547
2009-07-22,32.45600128173828
2009-07-23,33.263999938964844
2009-07-24,35.810001373291016
2009-07-27,35.68199920654297
2009-07-28,35.111000061035156
2009-07-29,34.45100021362305
2009-07-30,35.18000030517578
2009-07-31,34.81399917602539
2009-08-03,35.44499969482422
2009-08-04,35.14400100708008
2009-08-05,34.70000076293945
2009-08-06,34.12799835205078
2009-08-07,34.70399856567383
2009-08-10,35.1879997253418
2009-08-11,34.58300018310547
2009-08-12,34.862998962402344
2009-08-13,34.72200012207031
2009-08-14,33.95800018310547
2009-08-17,32.15599822998047
2009-08-18,32.7400016784668
2009-08-19,33.077999114990234
2009-08-20,33.92499923706055
2009-08-21,34.5
2009-08-24,34.5
2009-08-25,34.78200149536133
2009-08-26,34.37200164794922
2009-08-27,34.0099983215332
2009-08-28,33.952999114990234
2009-08-31,33.00600051879883
2009-09-01,31.875999450683594
2009-09-02,32.486000061035156
2009-09-03,32.948001861572266
2009-09-04,34.32699966430664
2009-09-08,35.71500015258789
2009-09-09,36.36000061035156
2009-09-10,37.244998931884766
2009-09-11,36.994998931884766
2009-09-14,37.95000076293945
2009-09-15,39.75299835205078
2009-09-16,40.29100036621094
2009-09-17,39.91899871826172
2009-09-18,39.99800109863281
2009-09-21,40.025001525878906
2009-09-22,39.62900161743164
2009-09-23,39.494998931884766
2009-09-24,39.02299880981445
2009-09-25,38.75600051879883
2009-09-28,39.60499954223633
2009-09-29,39.44200134277344
2009-09-30,39.10499954223633
2009-10-01,37.20199966430664
2009-10-02,37.520999908447266
2009-10-05,38.18899917602539
2009-10-06,40.099998474121094
2009-10-07,41.380001068115234
2009-10-08,41.266998291015625
2009-10-09,42.707000732421875
2009-10-12,41.3489990234375
2009-10-13,40.75
2009-10-14,41.018001556396484
2009-10-15,39.9900016784668
2009-10-16,39.57899856567383
2009-10-19,41.10200119018555
2009-10-20,40.87200164794922
2009-10-21,40.59199905395508
2009-10-22,41.560001373291016
2009-10-23,43.53099822998047
2009-10-26,43.297000885009766
2009-10-27,38.36600112915039
2009-10-28,39.68299865722656
2009-10-29,39.34000015258789
2009-10-30,37.79199981689453
2009-11-02,37.54499816894531
2009-11-03,38.30400085449219
2009-11-04,38.637001037597656
2009-11-05,39.62300109863281
2009-11-06,40.9739990234375
2009-11-09,42.58700180053711
2009-11-10,42.8120002746582
2009-11-11,43.05099868774414
2009-11-12,42.71500015258789
2009-11-13,43.25
2009-11-16,43.832000732421875
2009-11-17,44.150001525878906
2009-11-18,43.512001037597656
2009-11-19,42.80099868774414
2009-11-20,42.75899887084961
2009-11-23,43.900001525878906
2009-11-24,43.55400085449219
2009-11-25,44.21799850463867
2009-11-27,43.97200012207031
2009-11-30,43.374000549316406
2009-12-01,43.55500030517578
2009-12-02,43.47200012207031
2009-12-03,42.78900146484375
2009-12-04,42.53200149536133
2009-12-07,42.099998474121094
2009-12-08,41.88399887084961
2009-12-09,42.645999908447266
2009-12-10,42.231998443603516
2009-12-11,41.810001373291016
2009-12-14,42.45100021362305
2009-12-15,42.400001525878906
2009-12-16,42.625999450683594
2009-12-17,41.58399963378906
2009-12-18,41.439998626708984
2009-12-21,40.737998962402344
2009-12-22,39.88100051879883
2009-12-23,41.41999816894531
2009-12-24,41.5989990234375
2009-12-28,42.42900085449219
2009-12-29,41.9630012512207
2009-12-30,41.62300109863281
2009-12-31,41.12300109863281
2010-01-04,41.00299835205078
2010-01-05,40.59000015258789
2010-01-06,41.25
2010-01-07,40.4630012512207
2010-01-08,40.426998138427734
2010-01-11,40.05699920654297
2010-01-12,38.64899826049805
2010-01-13,43.948001861572266
2010-01-14,46.42300033569336
2010-01-15,46.768001556396484
2010-01-19,44.08399963378906
2010-01-20,43.96699905395508
2010-01-21,43.99700164794922
2010-01-22,41.689998626708984
2010-01-25,41.51599884033203
2010-01-26,41.9379997253418
2010-01-27,42.43600082397461
2010-01-28,41.78499984741211
2010-01-29,41.17100143432617
2010-02-01,42.56800079345703
2010-02-02,42.61800003051758
2010-02-03,44.97800064086914
2010-02-04,44.08599853515625
2010-02-05,44.880001068115234
2010-02-08,44.323001861572266
2010-02-09,43.500999450683594
2010-02-10,48.2130012512207
2010-02-11,48.74599838256836
2010-02-12,48.79999923706055
2010-02-16,48.946998596191406
2010-02-17,48.75199890136719
2010-02-18,49.7599983215332
2010-02-19,50.01499938964844
2010-02-22,50.71500015258789
2010-02-23,50.16999816894531
2010-02-24,50.547000885009766
2010-02-25,50.887001037597656
2010-02-26,51.86800003051758
2010-03-01,52.29100036621094
2010-03-02,51.88800048828125
2010-03-03,51.70199966430664
2010-03-04,52.37799835205078
2010-03-05,52.07500076293945
2010-03-08,53.43299865722656
2010-03-09,53.90999984741211
2010-03-10,54.91699981689453
2010-03-11,55.40999984741211
2010-03-12,55.02399826049805
2010-03-15,57.683998107910156
2010-03-16,57.316001892089844
2010-03-17,56.69499969482422
2010-03-18,56.465999603271484
2010-03-19,56.96500015258789
2010-03-22,57.97200012207031
2010-03-23,59.487998962402344
2010-03-24,60.849998474121094
2010-03-25,59.198001861572266
2010-03-26,59.637001037597656
2010-03-29,60.349998474121094
2010-03-30,59.81999969482422
2010-03-31,59.70000076293945
2010-04-01,60.0
2010-04-05,60.130001068115234
2010-04-06,61.941001892089844
2010-04-07,61.77399826049805
2010-04-08,61.98500061035156
2010-04-09,62.547000885009766
2010-04-12,62.61600112915039
2010-04-13,62.66600036621094
2010-04-14,63.76599884033203
2010-04-15,64.89600372314453
2010-04-16,63.23699951171875
2010-04-19,61.349998474121094
2010-04-20,63.58399963378906
2010-04-21,62.99700164794922
2010-04-22,64.00399780273438
2010-04-23,64.57599639892578
2010-04-26,64.08499908447266
2010-04-27,62.01100158691406
2010-04-28,62.13800048828125
2010-04-29,70.98699951171875
2010-04-30,68.89600372314453
2010-05-03,70.89900207519531
2010-05-04,69.30000305175781
2010-05-05,68.9530029296875
2010-05-06,66.802001953125
2010-05-07,63.94900131225586
2010-05-10,69.47799682617188
2010-05-11,71.41699981689453
2010-05-12,78.20999908447266
2010-05-13,75.63999938964844
2010-05-14,73.9800033569336
2010-05-17,73.18000030517578
2010-05-18,71.56999969482422
2010-05-19,70.12999725341797
2010-05-20,67.58000183105469
2010-05-21,70.8499984741211
2010-05-24,71.0
2010-05-25,69.08000183105469
2010-05-26,67.58999633789062
2010-05-27,73.5
2010-05-28,73.20999908447266
2010-06-01,73.55999755859375
2010-06-02,75.9800033569336
2010-06-03,76.66000366210938
2010-06-04,73.19999694824219
2010-06-07,69.80999755859375
2010-06-08,70.48999786376953
2010-06-09,67.4000015258789
2010-06-10,72.62999725341797
2010-06-11,72.8499984741211
2010-06-14,72.93000030517578
2010-06-15,75.37000274658203
2010-06-16,74.80999755859375
2010-06-17,72.47000122070312
2010-06-18,74.08999633789062
2010-06-21,76.36000061035156
2010-06-22,75.68000030517578
2010-06-23,76.19000244140625
2010-06-24,73.80000305175781
2010-06-25,76.0999984741211
2010-06-28,74.44000244140625
2010-06-29,67.56999969482422
2010-06-30,68.08000183105469
2010-07-01,68.55000305175781
2010-07-02,67.55000305175781
2010-07-06,67.44999694824219
2010-07-07,72.37000274658203
2010-07-08,72.43000030517578
2010-07-09,71.19999694824219
2010-07-12,70.7300033569336
2010-07-13,74.37999725341797
2010-07-14,75.02999877929688
2010-07-15,75.63999938964844
2010-07-16,73.52999877929688
2010-07-19,72.9000015258789
2010-07-20,74.04000091552734
2010-07-21,73.30999755859375
2010-07-22,74.44999694824219
2010-07-23,78.05999755859375
2010-07-26,80.37000274658203
2010-07-27,81.06999969482422
2010-07-28,79.4000015258789
2010-07-29,79.19999694824219
2010-07-30,81.41000366210938
2010-08-02,84.5999984741211
2010-08-03,84.79000091552734
2010-08-04,86.5999984741211
2010-08-05,85.56999969482422
2010-08-06,86.52999877929688
2010-08-09,87.55999755859375
2010-08-10,87.87000274658203
2010-08-11,84.2300033569336
2010-08-12,82.6500015258789
2010-08-13,82.83000183105469
2010-08-16,84.3499984741211
2010-08-17,84.43000030517578
2010-08-18,82.91999816894531
2010-08-19,81.19000244140625
2010-08-20,82.16999816894531
2010-08-23,79.37000274658203
2010-08-24,77.33999633789062
2010-08-25,78.30000305175781
2010-08-26,76.5999984741211
2010-08-27,79.37000274658203
2010-08-30,77.23999786376953
2010-08-31,78.43000030517578
2010-09-01,81.83999633789062
2010-09-02,82.61000061035156
2010-09-03,84.30000305175781
2010-09-07,82.2699966430664
2010-09-08,84.19000244140625
2010-09-09,83.83000183105469
2010-09-10,84.33000183105469
2010-09-13,86.26000213623047
2010-09-14,86.33000183105469
2010-09-15,86.30000305175781
2010-09-16,86.08999633789062
2010-09-17,85.7300033569336
2010-09-20,89.87000274658203
2010-09-21,91.19000244140625
2010-09-22,91.80999755859375
2010-09-23,95.02999877929688
2010-09-24,97.83000183105469
2010-09-27,103.81999969482422
2010-09-28,102.04000091552734
2010-09-29,103.72000122070312
2010-09-30,102.62000274658203
2010-10-01,98.80000305175781
2010-10-04,96.22000122070312
2010-10-05,102.69999694824219
2010-10-06,98.4000015258789
2010-10-07,98.48999786376953
2010-10-08,98.62000274658203
2010-10-11,99.73999786376953
2010-10-12,99.62000274658203
2010-10-13,99.94999694824219
2010-10-14,98.19999694824219
2010-10-15,98.66000366210938
2010-10-18,103.4000015258789
2010-10-19,100.81999969482422
2010-10-20,100.01000213623047
2010-10-21,102.4800033569336
2010-10-22,107.27999877929688
2010-10-25,109.75
2010-10-26,112.62000274658203
2010-10-27,112.87000274658203
2010-10-28,112.16999816894531
2010-10-29,110.01000213623047
2010-11-01,107.1500015258789
2010-11-02,109.55000305175781
2010-11-03,110.6500015258789
2010-11-04,110.05999755859375
2010-11-05,108.80000305175781
2010-11-08,110.4000015258789
2010-11-09,109.19000244140625
2010-11-10,111.69000244140625
2010-11-11,114.0999984741211
2010-11-12,110.63999938964844
2010-11-15,108.80000305175781
2010-11-16,103.5999984741211
2010-11-17,106.91999816894531
2010-11-18,108.13999938964844
2010-11-19,108.58999633789062
2010-11-22,108.87000274658203
2010-11-23,106.30999755859375
2010-11-24,109.0
2010-11-26,109.37000274658203
2010-11-29,107.37999725341797
2010-11-30,105.05000305175781
2010-12-01,106.80999755859375
2010-12-02,106.37000274658203
2010-12-03,109.2300033569336
2010-12-06,110.2300033569336
2010-12-07,109.68000030517578
2010-12-08,108.06999969482422
2010-12-09,108.06999969482422
2010-12-10,107.86000061035156
2010-12-13,108.30999755859375
2010-12-14,106.62000274658203
2010-12-15,100.19999694824219
2010-12-16,98.30999755859375
2010-12-17,98.73999786376953
2010-12-20,98.79000091552734
2010-12-21,101.25
2010-12-22,100.5
2010-12-23,100.16000366210938
2010-12-27,100.12999725341797
2010-12-28,98.70999908447266
2010-12-29,99.11000061035156
2010-12-30,98.20999908447266
2010-12-31,96.52999877929688
2011-01-03,99.7300033569336
2011-01-04,100.97000122070312
2011-01-05,104.62999725341797
2011-01-06,105.16000366210938
2011-01-07,106.94999694824219
2011-01-10,105.9800033569336
2011-01-11,106.27999877929688
2011-01-12,105.93000030517578
2011-01-13,106.25
2011-01-14,107.7300033569336
