,ACGLP
2018-08-13,23.850000381469727
2018-08-14,23.81999969482422
2018-08-15,23.899999618530273
2018-08-16,23.871000289916992
2018-08-17,23.8799991607666
2018-08-20,23.968000411987305
2018-08-21,23.959999084472656
2018-08-22,23.979999542236328
2018-08-23,23.950000762939453
2018-08-24,23.989999771118164
2018-08-27,24.020000457763672
2018-08-28,24.020000457763672
2018-08-29,24.100000381469727
2018-08-30,24.1200008392334
2018-08-31,24.049999237060547
2018-09-04,24.1200008392334
2018-09-05,24.09000015258789
2018-09-06,24.040000915527344
2018-09-07,23.549999237060547
2018-09-10,23.68000030517578
2018-09-11,23.700000762939453
2018-09-12,23.81999969482422
2018-09-13,23.479999542236328
2018-09-14,23.469999313354492
2018-09-17,23.34000015258789
2018-09-18,23.329999923706055
2018-09-19,23.219999313354492
2018-09-20,23.299999237060547
2018-09-21,23.299999237060547
2018-09-24,23.290000915527344
2018-09-25,23.200000762939453
2018-09-26,23.239999771118164
2018-09-27,23.209999084472656
2018-09-28,23.010000228881836
2018-10-01,22.549999237060547
2018-10-02,22.479999542236328
2018-10-03,22.6299991607666
2018-10-04,22.09000015258789
2018-10-05,22.0
2018-10-08,21.809999465942383
2018-10-09,22.219999313354492
2018-10-10,22.059999465942383
2018-10-11,21.969999313354492
2018-10-12,21.829999923706055
2018-10-15,21.940000534057617
2018-10-16,21.979999542236328
2018-10-17,21.959999084472656
2018-10-18,21.950000762939453
2018-10-19,22.200000762939453
2018-10-22,22.190000534057617
2018-10-23,22.059999465942383
2018-10-24,22.049999237060547
2018-10-25,22.200000762939453
2018-10-26,22.270000457763672
2018-10-29,22.239999771118164
2018-10-30,22.209999084472656
2018-10-31,22.209999084472656
2018-11-01,22.200000762939453
2018-11-02,21.950000762939453
2018-11-05,22.09000015258789
2018-11-06,22.079999923706055
2018-11-07,22.06999969482422
2018-11-08,22.079999923706055
2018-11-09,22.09000015258789
2018-11-12,22.094999313354492
2018-11-13,22.094999313354492
2018-11-14,22.094999313354492
2018-11-15,21.899999618530273
2018-11-16,21.799999237060547
2018-11-19,21.65999984741211
2018-11-20,21.469999313354492
2018-11-21,21.510000228881836
2018-11-23,21.489999771118164
2018-11-26,21.3700008392334
2018-11-27,21.200000762939453
2018-11-28,21.299999237060547
2018-11-29,21.209999084472656
2018-11-30,21.1200008392334
2018-12-03,21.229999542236328
2018-12-04,21.010000228881836
2018-12-06,20.799999237060547
2018-12-07,20.729999542236328
2018-12-10,20.68000030517578
2018-12-11,20.739999771118164
2018-12-12,20.709999084472656
2018-12-13,20.3700008392334
2018-12-14,20.424999237060547
2018-12-17,20.34000015258789
2018-12-18,20.260000228881836
2018-12-19,20.219999313354492
2018-12-20,20.040000915527344
2018-12-21,19.899999618530273
2018-12-24,19.760000228881836
2018-12-26,19.639999389648438
2018-12-27,19.450000762939453
2018-12-28,19.719999313354492
2018-12-31,19.8700008392334
2019-01-02,20.209999084472656
2019-01-03,20.219999313354492
2019-01-04,20.860000610351562
2019-01-07,21.309999465942383
2019-01-08,21.610000610351562
2019-01-09,21.600000381469727
2019-01-10,21.579999923706055
2019-01-11,21.790000915527344
2019-01-14,21.979999542236328
2019-01-15,21.860000610351562
2019-01-16,21.6200008392334
2019-01-17,21.799999237060547
2019-01-18,22.049999237060547
2019-01-22,22.0
2019-01-23,21.979999542236328
2019-01-24,21.989999771118164
2019-01-25,22.020000457763672
2019-01-28,22.020000457763672
2019-01-29,22.059999465942383
2019-01-30,22.219999313354492
2019-01-31,22.559999465942383
2019-02-01,22.399999618530273
2019-02-04,22.5
2019-02-05,22.5
2019-02-06,22.280000686645508
2019-02-07,22.15999984741211
2019-02-08,22.219999313354492
2019-02-11,22.25
2019-02-12,22.260000228881836
2019-02-13,22.350000381469727
2019-02-14,22.350000381469727
2019-02-15,22.489999771118164
2019-02-19,22.6200008392334
2019-02-20,22.790000915527344
2019-02-21,22.850000381469727
2019-02-22,22.8799991607666
2019-02-25,22.950000762939453
2019-02-26,22.8799991607666
2019-02-27,22.920000076293945
2019-02-28,22.790000915527344
2019-03-01,22.950000762939453
2019-03-04,23.0
2019-03-05,23.040000915527344
2019-03-06,23.059999465942383
2019-03-07,23.0
2019-03-08,22.93000030517578
2019-03-11,22.989999771118164
2019-03-12,23.049999237060547
2019-03-13,23.149999618530273
2019-03-14,23.149999618530273
2019-03-15,22.90999984741211
2019-03-18,23.06999969482422
2019-03-19,22.950000762939453
2019-03-20,23.0
2019-03-21,22.950000762939453
2019-03-22,22.979999542236328
2019-03-25,22.989999771118164
2019-03-26,23.06999969482422
2019-03-27,22.959999084472656
2019-03-28,22.889999389648438
2019-03-29,23.040000915527344
2019-04-01,23.329999923706055
2019-04-02,23.389999389648438
2019-04-03,23.40999984741211
