,FMB
2017-05-01,51.99399948120117
2017-05-02,52.07600021362305
2017-05-03,51.95000076293945
2017-05-04,52.08000183105469
2017-05-05,52.18000030517578
2017-05-08,52.189998626708984
2017-05-09,52.060001373291016
2017-05-10,52.099998474121094
2017-05-11,52.18000030517578
2017-05-12,52.31999969482422
2017-05-15,52.222999572753906
2017-05-16,52.369998931884766
2017-05-17,52.560001373291016
2017-05-18,52.4900016784668
2017-05-19,52.650001525878906
2017-05-22,52.61000061035156
2017-05-23,52.58000183105469
2017-05-24,52.63999938964844
2017-05-25,52.68000030517578
2017-05-26,52.654998779296875
2017-05-30,52.75
2017-05-31,52.720001220703125
2017-06-01,52.810001373291016
2017-06-02,53.040000915527344
2017-06-05,52.939998626708984
2017-06-06,53.11000061035156
2017-06-07,53.029998779296875
2017-06-08,52.90999984741211
2017-06-09,53.04999923706055
2017-06-12,52.9900016784668
2017-06-13,53.0260009765625
2017-06-14,52.9900016784668
2017-06-15,53.099998474121094
2017-06-16,53.04999923706055
2017-06-19,53.040000915527344
2017-06-20,52.9900016784668
2017-06-21,53.130001068115234
2017-06-22,53.08000183105469
2017-06-23,52.95000076293945
2017-06-26,53.04999923706055
2017-06-27,52.83000183105469
2017-06-28,52.849998474121094
2017-06-29,52.7599983215332
2017-06-30,52.779998779296875
2017-07-03,52.685001373291016
2017-07-05,52.709999084472656
2017-07-06,52.630001068115234
2017-07-07,52.720001220703125
2017-07-10,52.68000030517578
2017-07-11,52.79999923706055
2017-07-12,52.849998474121094
2017-07-13,52.86000061035156
2017-07-14,52.959999084472656
2017-07-17,52.91999816894531
2017-07-18,53.029998779296875
2017-07-19,53.099998474121094
2017-07-20,53.060001373291016
2017-07-21,53.04999923706055
2017-07-24,53.08300018310547
2017-07-25,53.02000045776367
2017-07-26,53.0099983215332
2017-07-27,53.04899978637695
2017-07-28,53.0099983215332
2017-07-31,52.959999084472656
2017-08-01,53.08300018310547
2017-08-02,52.959999084472656
2017-08-03,53.27000045776367
2017-08-04,53.18000030517578
2017-08-07,53.22999954223633
2017-08-08,53.20000076293945
2017-08-09,53.3129997253418
2017-08-10,53.39500045776367
2017-08-11,53.369998931884766
2017-08-14,53.36000061035156
2017-08-15,53.290000915527344
2017-08-16,53.209999084472656
2017-08-17,53.29999923706055
2017-08-18,53.308998107910156
2017-08-21,53.43000030517578
2017-08-22,53.310001373291016
2017-08-23,53.369998931884766
2017-08-24,53.290000915527344
2017-08-25,53.22999954223633
2017-08-28,53.29999923706055
2017-08-29,53.369998931884766
2017-08-30,53.310001373291016
2017-08-31,53.34000015258789
2017-09-01,53.439998626708984
2017-09-05,53.5099983215332
2017-09-06,53.56999969482422
2017-09-07,53.630001068115234
2017-09-08,53.6150016784668
2017-09-11,53.61000061035156
