,BATRK
2018-03-28,22.790000915527344
2018-03-29,22.81999969482422
2018-04-02,22.760000228881836
2018-04-03,22.739999771118164
2018-04-04,22.84000015258789
2018-04-05,23.229999542236328
2018-04-06,22.770000457763672
2018-04-09,22.399999618530273
2018-04-10,22.399999618530273
2018-04-11,22.399999618530273
2018-04-12,22.559999465942383
2018-04-13,22.600000381469727
2018-04-16,23.219999313354492
2018-04-17,23.020000457763672
2018-04-18,22.8700008392334
2018-04-19,22.780000686645508
2018-04-20,22.610000610351562
2018-04-23,22.690000534057617
2018-04-24,22.540000915527344
2018-04-25,22.559999465942383
2018-04-26,22.190000534057617
2018-04-27,21.989999771118164
2018-04-30,22.040000915527344
2018-05-01,22.030000686645508
2018-05-02,22.81999969482422
2018-05-03,22.770000457763672
2018-05-04,22.790000915527344
2018-05-07,23.469999313354492
2018-05-08,23.399999618530273
2018-05-09,23.520000457763672
2018-05-10,23.610000610351562
2018-05-11,23.84000015258789
2018-05-14,24.5
2018-05-15,24.510000228881836
2018-05-16,24.700000762939453
2018-05-17,24.950000762939453
2018-05-18,25.25
2018-05-21,25.75
2018-05-22,25.290000915527344
2018-05-23,25.139999389648438
2018-05-24,25.239999771118164
2018-05-25,24.950000762939453
2018-05-29,25.34000015258789
2018-05-30,25.290000915527344
2018-05-31,24.979999542236328
2018-06-01,25.079999923706055
2018-06-04,24.899999618530273
2018-06-05,24.84000015258789
2018-06-06,25.209999084472656
2018-06-07,25.719999313354492
2018-06-08,25.489999771118164
2018-06-11,25.709999084472656
2018-06-12,25.8799991607666
2018-06-13,25.8700008392334
2018-06-14,25.889999389648438
2018-06-15,25.8700008392334
2018-06-18,25.829999923706055
2018-06-19,25.93000030517578
2018-06-20,25.670000076293945
2018-06-21,25.40999984741211
2018-06-22,25.420000076293945
2018-06-25,25.09000015258789
2018-06-26,25.510000228881836
2018-06-27,25.209999084472656
2018-06-28,25.729999542236328
2018-06-29,25.860000610351562
2018-07-02,25.920000076293945
2018-07-03,26.010000228881836
2018-07-05,26.56999969482422
2018-07-06,26.18000030517578
2018-07-09,26.239999771118164
2018-07-10,25.959999084472656
2018-07-11,25.65999984741211
2018-07-12,25.780000686645508
2018-07-13,26.200000762939453
