,CSX
1995-03-23,6.4166669845581055
1995-03-24,6.4583330154418945
1995-03-27,6.5833330154418945
1995-03-28,6.6145830154418945
1995-03-29,6.5520830154418945
1995-03-30,6.5729169845581055
1995-03-31,6.5625
1995-04-03,6.5416669845581055
1995-04-04,6.5625
1995-04-05,6.5729169845581055
1995-04-06,6.5833330154418945
1995-04-07,6.6041669845581055
1995-04-10,6.6354169845581055
1995-04-11,6.6458330154418945
1995-04-12,6.6666669845581055
1995-04-13,6.65625
1995-04-17,6.6979169845581055
1995-04-18,6.7083330154418945
1995-04-19,6.6875
1995-04-20,6.7708330154418945
1995-04-21,6.71875
1995-04-24,6.7395830154418945
1995-04-25,6.7291669845581055
1995-04-26,6.7916669845581055
1995-04-27,6.7708330154418945
1995-04-28,6.6458330154418945
1995-05-01,6.6041669845581055
1995-05-02,6.59375
1995-05-03,6.5416669845581055
1995-05-04,6.3854169845581055
1995-05-05,6.3333330154418945
1995-05-08,6.3333330154418945
1995-05-09,6.2916669845581055
1995-05-10,6.28125
1995-05-11,6.34375
1995-05-12,6.375
1995-05-15,6.4270830154418945
1995-05-16,6.4166669845581055
1995-05-17,6.3958330154418945
1995-05-18,6.3541669845581055
1995-05-19,6.28125
1995-05-22,6.2916669845581055
1995-05-23,6.3854169845581055
1995-05-24,6.2916669845581055
1995-05-25,6.15625
1995-05-26,6.0833330154418945
1995-05-30,6.15625
1995-05-31,6.3541669845581055
1995-06-01,6.2604169845581055
1995-06-02,6.0416669845581055
1995-06-05,6.1666669845581055
1995-06-06,6.2291669845581055
1995-06-07,6.1875
1995-06-08,6.0625
1995-06-09,6.0416669845581055
1995-06-12,6.1458330154418945
1995-06-13,6.2291669845581055
1995-06-14,6.1666669845581055
1995-06-15,6.0833330154418945
1995-06-16,6.0729169845581055
1995-06-19,6.1770830154418945
1995-06-20,6.1875
1995-06-21,6.1666669845581055
1995-06-22,6.2395830154418945
1995-06-23,6.34375
1995-06-26,6.1666669845581055
1995-06-27,6.15625
1995-06-28,6.2083330154418945
1995-06-29,6.1770830154418945
1995-06-30,6.2604169845581055
1995-07-03,6.25
1995-07-05,6.34375
1995-07-06,6.5
1995-07-07,6.78125
1995-07-10,7.03125
1995-07-11,6.84375
1995-07-12,7.0625
1995-07-13,7.1458330154418945
1995-07-14,7.09375
1995-07-17,7.1875
1995-07-18,7.15625
1995-07-19,7.0
1995-07-20,7.15625
1995-07-21,7.09375
1995-07-24,7.09375
1995-07-25,7.0208330154418945
1995-07-26,7.0104169845581055
1995-07-27,7.1145830154418945
1995-07-28,7.03125
1995-07-31,6.9895830154418945
1995-08-01,6.9791669845581055
1995-08-02,6.9166669845581055
1995-08-03,7.0104169845581055
1995-08-04,6.9791669845581055
1995-08-07,6.8645830154418945
1995-08-08,6.875
1995-08-09,6.8229169845581055
1995-08-10,6.8125
1995-08-11,6.8125
1995-08-14,6.8645830154418945
1995-08-15,7.0208330154418945
1995-08-16,7.0520830154418945
1995-08-17,6.9895830154418945
1995-08-18,6.9270830154418945
1995-08-21,6.90625
1995-08-22,6.8854169845581055
1995-08-23,6.8333330154418945
1995-08-24,6.8333330154418945
1995-08-25,6.90625
1995-08-28,6.9166669845581055
1995-08-29,6.90625
1995-08-30,6.8645830154418945
1995-08-31,6.875
1995-09-01,7.0104169845581055
1995-09-05,7.0416669845581055
1995-09-06,7.1666669845581055
1995-09-07,7.2604169845581055
1995-09-08,7.25
1995-09-11,7.1354169845581055
1995-09-12,7.15625
1995-09-13,7.2291669845581055
1995-09-14,7.3125
1995-09-15,7.2291669845581055
1995-09-18,7.2395830154418945
1995-09-19,7.09375
1995-09-20,7.1666669845581055
1995-09-21,7.0208330154418945
1995-09-22,6.9166669845581055
1995-09-25,6.96875
1995-09-26,7.0208330154418945
1995-09-27,6.9791669845581055
1995-09-28,6.9895830154418945
1995-09-29,7.0104169845581055
1995-10-02,7.03125
1995-10-03,6.9166669845581055
1995-10-04,6.6875
1995-10-05,6.6458330154418945
1995-10-06,6.7708330154418945
1995-10-09,6.6458330154418945
1995-10-10,6.5520830154418945
1995-10-11,6.8125
1995-10-12,6.8541669845581055
1995-10-13,6.9583330154418945
1995-10-16,6.90625
1995-10-17,6.8541669845581055
1995-10-18,6.84375
1995-10-19,6.8854169845581055
1995-10-20,6.9166669845581055
1995-10-23,6.8125
1995-10-24,6.9583330154418945
1995-10-25,6.9166669845581055
1995-10-26,6.8020830154418945
1995-10-27,6.8125
1995-10-30,6.8958330154418945
1995-10-31,6.9791669845581055
1995-11-01,6.84375
1995-11-02,7.1458330154418945
1995-11-03,7.1979169845581055
1995-11-06,7.15625
1995-11-07,7.15625
1995-11-08,7.1666669845581055
1995-11-09,7.0625
1995-11-10,7.1145830154418945
1995-11-13,7.0520830154418945
1995-11-14,7.0729169845581055
1995-11-15,7.1145830154418945
1995-11-16,7.1458330154418945
1995-11-17,7.15625
1995-11-20,7.125
1995-11-21,7.09375
1995-11-22,7.2291669845581055
1995-11-24,7.2395830154418945
1995-11-27,7.3333330154418945
1995-11-28,7.3958330154418945
1995-11-29,7.4166669845581055
1995-11-30,7.3020830154418945
1995-12-01,7.40625
1995-12-04,7.3125
1995-12-05,7.3333330154418945
1995-12-06,7.2708330154418945
1995-12-07,7.34375
1995-12-08,7.375
1995-12-11,7.4166669845581055
1995-12-12,7.40625
1995-12-13,7.375
1995-12-14,7.34375
1995-12-15,7.2708330154418945
1995-12-18,7.1770830154418945
1995-12-19,7.2604169845581055
1995-12-20,7.2604169845581055
1995-12-21,7.2916669845581055
1995-12-22,7.3125
1995-12-26,7.2916669845581055
1995-12-27,7.3541669845581055
1995-12-28,7.4375
1995-12-29,7.6041669845581055
1996-01-02,7.5
1996-01-03,7.5625
1996-01-04,7.5833330154418945
1996-01-05,7.5833330154418945
1996-01-08,7.5625
1996-01-09,7.5729169845581055
1996-01-10,7.3958330154418945
1996-01-11,7.4166669845581055
1996-01-12,7.4375
1996-01-15,7.3958330154418945
1996-01-16,7.3541669845581055
1996-01-17,7.3333330154418945
1996-01-18,7.25
1996-01-19,7.3333330154418945
