,ALTO
2008-03-11,483.0
2008-03-12,549.1500244140625
2008-03-13,563.8499755859375
2008-03-14,498.75
2008-03-17,450.45001220703125
2008-03-18,519.75
2008-03-19,454.6499938964844
2008-03-20,474.6000061035156
2008-03-24,518.7000122070312
2008-03-25,480.8999938964844
2008-03-26,475.6499938964844
2008-03-27,470.3999938964844
2008-03-28,509.25
2008-03-31,462.0
2008-04-01,480.8999938964844
2008-04-02,468.29998779296875
2008-04-03,459.8999938964844
2008-04-04,471.45001220703125
2008-04-07,456.75
2008-04-08,450.45001220703125
2008-04-09,447.29998779296875
2008-04-10,441.0
2008-04-11,421.04998779296875
2008-04-14,395.8500061035156
2008-04-15,372.75
2008-04-16,378.0
2008-04-17,379.04998779296875
2008-04-18,381.1499938964844
2008-04-21,380.1000061035156
2008-04-22,349.6499938964844
2008-04-23,334.95001220703125
2008-04-24,338.1000061035156
2008-04-25,413.70001220703125
2008-04-28,390.6000061035156
2008-04-29,364.3500061035156
2008-04-30,360.1499938964844
2008-05-01,346.5
2008-05-02,365.3999938964844
2008-05-05,357.0
2008-05-06,346.5
2008-05-07,333.8999938964844
2008-05-08,328.6499938964844
2008-05-09,338.1000061035156
2008-05-12,341.25
2008-05-13,331.79998779296875
2008-05-14,334.95001220703125
2008-05-15,338.1000061035156
2008-05-16,336.0
2008-05-19,539.7000122070312
2008-05-20,593.25
2008-05-21,580.6500244140625
2008-05-22,543.9000244140625
2008-05-23,438.8999938964844
2008-05-27,432.6000061035156
2008-05-28,376.95001220703125
2008-05-29,367.5
2008-05-30,371.70001220703125
2008-06-02,361.20001220703125
2008-06-03,346.5
2008-06-04,331.79998779296875
2008-06-05,340.20001220703125
2008-06-06,329.70001220703125
2008-06-09,323.3999938964844
2008-06-10,309.75
2008-06-11,291.8999938964844
2008-06-12,248.85000610351562
2008-06-13,242.5500030517578
2008-06-16,254.10000610351562
2008-06-17,261.45001220703125
2008-06-18,232.0500030517578
2008-06-19,227.85000610351562
2008-06-20,235.1999969482422
2008-06-23,216.3000030517578
2008-06-24,194.25
2008-06-25,204.75
2008-06-26,210.0
2008-06-27,210.0
2008-06-30,190.0500030517578
2008-07-01,165.89999389648438
2008-07-02,152.25
2008-07-03,154.35000610351562
2008-07-07,157.5
2008-07-08,161.6999969482422
2008-07-09,168.0
2008-07-10,166.9499969482422
2008-07-11,175.35000610351562
2008-07-14,161.6999969482422
2008-07-15,164.85000610351562
2008-07-16,181.64999389648438
2008-07-17,198.4499969482422
2008-07-18,232.0500030517578
2008-07-21,223.64999389648438
2008-07-22,202.64999389648438
2008-07-23,210.0
2008-07-24,192.14999389648438
2008-07-25,195.3000030517578
2008-07-28,189.0
2008-07-29,196.35000610351562
2008-07-30,199.5
2008-07-31,196.35000610351562
2008-08-01,200.5500030517578
2008-08-04,202.64999389648438
2008-08-05,205.8000030517578
2008-08-06,197.39999389648438
2008-08-07,221.5500030517578
2008-08-08,248.85000610351562
2008-08-11,215.25
2008-08-12,219.4499969482422
2008-08-13,228.89999389648438
2008-08-14,228.89999389648438
2008-08-15,229.9499969482422
2008-08-18,227.85000610351562
2008-08-19,219.4499969482422
2008-08-20,210.0
2008-08-21,214.1999969482422
2008-08-22,208.9499969482422
2008-08-25,215.25
2008-08-26,205.8000030517578
2008-08-27,211.0500030517578
2008-08-28,213.14999389648438
2008-08-29,216.3000030517578
2008-09-02,214.1999969482422
2008-09-03,210.0
2008-09-04,201.60000610351562
2008-09-05,184.8000030517578
2008-09-08,182.6999969482422
2008-09-09,159.60000610351562
2008-09-10,148.0500030517578
2008-09-11,162.75
2008-09-12,173.25
2008-09-15,157.5
2008-09-16,166.9499969482422
2008-09-17,147.0
2008-09-18,156.4499969482422
2008-09-19,156.4499969482422
2008-09-22,151.1999969482422
2008-09-23,145.9499969482422
2008-09-24,143.85000610351562
2008-09-25,147.0
2008-09-26,144.89999389648438
2008-09-29,218.39999389648438
2008-09-30,145.9499969482422
2008-10-01,148.0500030517578
2008-10-02,144.89999389648438
2008-10-03,134.39999389648438
2008-10-06,124.94999694824219
2008-10-07,106.05000305175781
2008-10-08,100.80000305175781
2008-10-09,90.30000305175781
2008-10-10,99.75
2008-10-13,112.3499984741211
2008-10-14,90.30000305175781
2008-10-15,89.25
2008-10-16,98.69999694824219
2008-10-17,103.94999694824219
2008-10-20,100.80000305175781
2008-10-21,92.4000015258789
2008-10-22,85.05000305175781
2008-10-23,80.8499984741211
2008-10-24,75.5999984741211
2008-10-27,68.25
2008-10-28,75.5999984741211
2008-10-29,88.19999694824219
2008-10-30,90.30000305175781
2008-10-31,94.5
2008-11-03,105.0
2008-11-04,145.9499969482422
2008-11-05,116.55000305175781
2008-11-06,99.75
2008-11-07,113.4000015258789
2008-11-10,95.55000305175781
2008-11-11,82.94999694824219
2008-11-12,74.55000305175781
2008-11-13,93.44999694824219
2008-11-14,76.6500015258789
