,ANAB
2019-01-22,71.0199966430664
2019-01-23,68.87000274658203
2019-01-24,67.01000213623047
2019-01-25,67.47000122070312
2019-01-28,63.0
2019-01-29,61.95000076293945
2019-01-30,65.33000183105469
2019-01-31,66.31999969482422
2019-02-01,68.76000213623047
2019-02-04,69.45999908447266
2019-02-05,67.93000030517578
2019-02-06,71.06999969482422
2019-02-07,70.12000274658203
2019-02-08,68.88999938964844
2019-02-11,70.13999938964844
2019-02-12,69.33999633789062
2019-02-13,67.8499984741211
2019-02-14,69.19999694824219
2019-02-15,68.3499984741211
2019-02-19,66.05000305175781
2019-02-20,65.02999877929688
2019-02-21,64.94000244140625
2019-02-22,67.38999938964844
2019-02-25,69.55999755859375
2019-02-26,69.87000274658203
2019-02-27,71.7699966430664
2019-02-28,68.87000274658203
2019-03-01,70.5999984741211
2019-03-04,70.68000030517578
2019-03-05,68.62999725341797
2019-03-06,63.25
2019-03-07,63.0099983215332
2019-03-08,63.7400016784668
2019-03-11,65.94000244140625
2019-03-12,71.83999633789062
2019-03-13,74.58000183105469
2019-03-14,72.25
2019-03-15,71.91000366210938
2019-03-18,73.0
2019-03-19,74.58000183105469
2019-03-20,70.95999908447266
2019-03-21,75.38999938964844
2019-03-22,71.16999816894531
2019-03-25,69.8499984741211
2019-03-26,70.16999816894531
2019-03-27,67.30999755859375
2019-03-28,69.08999633789062
2019-03-29,73.05000305175781
2019-04-01,73.4800033569336
2019-04-02,75.72000122070312
2019-04-03,78.45999908447266
2019-04-04,79.4000015258789
2019-04-05,81.12000274658203
2019-04-08,80.12000274658203
2019-04-09,78.08999633789062
2019-04-10,79.97000122070312
2019-04-11,80.01000213623047
2019-04-12,78.80999755859375
2019-04-15,77.5199966430664
2019-04-16,77.37999725341797
2019-04-17,73.45999908447266
2019-04-18,74.0
2019-04-22,72.06999969482422
2019-04-23,72.8499984741211
2019-04-24,73.26000213623047
2019-04-25,74.33999633789062
2019-04-26,76.88999938964844
2019-04-29,77.38999938964844
2019-04-30,72.72000122070312
2019-05-01,69.55999755859375
2019-05-02,71.68000030517578
2019-05-03,73.37999725341797
2019-05-06,75.05999755859375
2019-05-07,72.29000091552734
2019-05-08,69.94999694824219
2019-05-09,71.58999633789062
2019-05-10,74.51000213623047
2019-05-13,71.95999908447266
2019-05-14,71.70999908447266
2019-05-15,72.5199966430664
2019-05-16,72.55000305175781
2019-05-17,70.91999816894531
2019-05-20,68.55000305175781
2019-05-21,70.66000366210938
2019-05-22,71.3499984741211
2019-05-23,73.33000183105469
2019-05-24,74.69999694824219
2019-05-28,74.9800033569336
2019-05-29,77.73999786376953
2019-05-30,74.80999755859375
2019-05-31,72.80999755859375
2019-06-03,73.55000305175781
2019-06-04,73.9800033569336
2019-06-05,75.26000213623047
2019-06-06,72.43000030517578
2019-06-07,75.9800033569336
2019-06-10,72.22000122070312
2019-06-11,73.52999877929688
2019-06-12,74.06999969482422
2019-06-13,71.0
2019-06-14,69.63999938964844
2019-06-17,67.22000122070312
2019-06-18,67.37000274658203
2019-06-19,66.55999755859375
2019-06-20,67.0199966430664
2019-06-21,59.2400016784668
2019-06-24,53.810001373291016
2019-06-25,54.900001525878906
2019-06-26,53.7599983215332
2019-06-27,54.52000045776367
2019-06-28,56.41999816894531
2019-07-01,55.20000076293945
2019-07-02,54.90999984741211
2019-07-03,55.060001373291016
2019-07-05,53.7599983215332
2019-07-08,54.56999969482422
2019-07-09,54.63999938964844
2019-07-10,55.02000045776367
2019-07-11,54.11000061035156
2019-07-12,54.540000915527344
2019-07-15,55.65999984741211
2019-07-16,52.939998626708984
2019-07-17,53.90999984741211
2019-07-18,53.0
2019-07-19,54.560001373291016
2019-07-22,54.88999938964844
2019-07-23,54.5
2019-07-24,56.130001068115234
2019-07-25,54.150001525878906
2019-07-26,54.68000030517578
2019-07-29,54.470001220703125
