,HRI
2018-04-11,63.9900016784668
2018-04-12,64.4000015258789
2018-04-13,63.70000076293945
2018-04-16,64.80000305175781
2018-04-17,64.43000030517578
2018-04-18,65.05000305175781
2018-04-19,63.790000915527344
2018-04-20,58.619998931884766
2018-04-23,59.720001220703125
2018-04-24,59.29999923706055
2018-04-25,57.650001525878906
2018-04-26,55.59000015258789
2018-04-27,55.54999923706055
2018-04-30,52.650001525878906
2018-05-01,51.36000061035156
2018-05-02,51.75
2018-05-03,51.79999923706055
2018-05-04,52.61000061035156
2018-05-07,54.81999969482422
2018-05-08,53.810001373291016
2018-05-09,56.45000076293945
2018-05-10,55.88999938964844
2018-05-11,55.880001068115234
2018-05-14,57.029998779296875
2018-05-15,57.099998474121094
2018-05-16,57.58000183105469
2018-05-17,58.709999084472656
2018-05-18,58.7400016784668
2018-05-21,59.91999816894531
2018-05-22,57.43000030517578
2018-05-23,57.459999084472656
2018-05-24,57.650001525878906
2018-05-25,56.630001068115234
2018-05-29,54.38999938964844
2018-05-30,56.15999984741211
2018-05-31,54.650001525878906
2018-06-01,55.58000183105469
2018-06-04,54.81999969482422
2018-06-05,55.529998779296875
2018-06-06,56.29999923706055
2018-06-07,57.08000183105469
2018-06-08,57.209999084472656
2018-06-11,58.15999984741211
2018-06-12,61.02000045776367
2018-06-13,60.150001525878906
2018-06-14,60.22999954223633
2018-06-15,58.56999969482422
2018-06-18,60.380001068115234
2018-06-19,60.369998931884766
2018-06-20,61.36000061035156
2018-06-21,59.939998626708984
2018-06-22,59.54999923706055
2018-06-25,54.349998474121094
2018-06-26,55.790000915527344
2018-06-27,55.75
2018-06-28,56.400001525878906
2018-06-29,56.34000015258789
2018-07-02,55.15999984741211
2018-07-03,54.84000015258789
2018-07-05,56.65999984741211
2018-07-06,57.04999923706055
2018-07-09,58.68000030517578
2018-07-10,58.58000183105469
2018-07-11,57.66999816894531
2018-07-12,57.29999923706055
2018-07-13,59.66999816894531
2018-07-16,59.11000061035156
2018-07-17,59.459999084472656
2018-07-18,60.04999923706055
2018-07-19,60.72999954223633
2018-07-20,59.75
2018-07-23,59.189998626708984
2018-07-24,58.599998474121094
2018-07-25,58.810001373291016
2018-07-26,59.15999984741211
2018-07-27,56.79999923706055
2018-07-30,55.880001068115234
2018-07-31,56.81999969482422
2018-08-01,54.470001220703125
2018-08-02,55.2599983215332
2018-08-03,55.63999938964844
2018-08-06,56.20000076293945
2018-08-07,56.38999938964844
2018-08-08,51.349998474121094
2018-08-09,52.029998779296875
2018-08-10,52.439998626708984
2018-08-13,51.18000030517578
2018-08-14,52.06999969482422
2018-08-15,50.459999084472656
2018-08-16,50.939998626708984
2018-08-17,51.290000915527344
2018-08-20,51.880001068115234
2018-08-21,52.90999984741211
2018-08-22,53.08000183105469
2018-08-23,51.18000030517578
2018-08-24,50.970001220703125
2018-08-27,52.099998474121094
2018-08-28,52.400001525878906
2018-08-29,52.93000030517578
2018-08-30,52.630001068115234
2018-08-31,52.58000183105469
2018-09-04,52.290000915527344
2018-09-05,52.790000915527344
2018-09-06,51.040000915527344
2018-09-07,49.540000915527344
2018-09-10,50.630001068115234
2018-09-11,52.20000076293945
2018-09-12,52.2599983215332
2018-09-13,52.060001373291016
2018-09-14,51.79999923706055
2018-09-17,50.54999923706055
2018-09-18,51.06999969482422
2018-09-19,51.41999816894531
2018-09-20,52.77000045776367
2018-09-21,51.56999969482422
2018-09-24,50.77000045776367
2018-09-25,50.84000015258789
2018-09-26,50.61000061035156
2018-09-27,51.58000183105469
2018-09-28,51.20000076293945
2018-10-01,49.45000076293945
2018-10-02,48.43000030517578
2018-10-03,49.279998779296875
2018-10-04,47.79999923706055
2018-10-05,47.630001068115234
2018-10-08,47.13999938964844
2018-10-09,46.130001068115234
2018-10-10,42.40999984741211
2018-10-11,39.810001373291016
2018-10-12,39.83000183105469
2018-10-15,39.900001525878906
2018-10-16,41.38999938964844
2018-10-17,41.099998474121094
2018-10-18,35.400001525878906
2018-10-19,34.72999954223633
2018-10-22,35.34000015258789
2018-10-23,34.310001373291016
2018-10-24,31.149999618530273
2018-10-25,33.0
2018-10-26,31.540000915527344
2018-10-29,31.049999237060547
2018-10-30,31.450000762939453
2018-10-31,32.060001373291016
2018-11-01,32.91999816894531
2018-11-02,33.15999984741211
2018-11-05,32.880001068115234
