,ALPN
2017-04-04,11.479999542236328
2017-04-05,11.119999885559082
2017-04-06,11.239999771118164
2017-04-07,11.359999656677246
2017-04-10,11.279999732971191
2017-04-11,11.239999771118164
2017-04-12,11.079999923706055
2017-04-13,11.039999961853027
2017-04-17,11.079999923706055
2017-04-18,10.5600004196167
2017-04-19,9.479999542236328
2017-04-20,9.720000267028809
2017-04-21,9.039999961853027
2017-04-24,8.399999618530273
2017-04-25,8.600000381469727
2017-04-26,9.039999961853027
2017-04-27,8.880000114440918
2017-04-28,9.039999961853027
2017-05-01,9.0
2017-05-02,9.239999771118164
2017-05-03,9.119999885559082
2017-05-04,9.239999771118164
2017-05-05,9.199999809265137
2017-05-08,9.279999732971191
2017-05-09,9.4399995803833
2017-05-10,9.680000305175781
2017-05-11,9.760000228881836
2017-05-12,9.600000381469727
2017-05-15,9.800000190734863
2017-05-16,9.479999542236328
2017-05-17,9.199999809265137
2017-05-18,9.239999771118164
2017-05-19,9.279999732971191
2017-05-22,9.600000381469727
2017-05-23,9.520000457763672
2017-05-24,9.399999618530273
2017-05-25,9.520000457763672
2017-05-26,9.319999694824219
2017-05-30,9.239999771118164
2017-05-31,9.199999809265137
2017-06-01,9.15999984741211
2017-06-02,9.319999694824219
2017-06-05,9.15999984741211
2017-06-06,9.15999984741211
2017-06-07,9.15999984741211
2017-06-08,9.079999923706055
2017-06-09,9.079999923706055
2017-06-12,9.039999961853027
2017-06-13,8.920000076293945
2017-06-14,8.84000015258789
2017-06-15,8.960000038146973
2017-06-16,8.800000190734863
2017-06-19,9.039999961853027
2017-06-20,9.039999961853027
2017-06-21,9.15999984741211
2017-06-22,9.239999771118164
2017-06-23,9.359999656677246
2017-06-26,9.399999618530273
2017-06-27,9.5600004196167
2017-06-28,9.479999542236328
2017-06-29,9.5600004196167
2017-06-30,9.640000343322754
2017-07-03,9.720000267028809
2017-07-05,9.5600004196167
2017-07-06,9.600000381469727
2017-07-07,9.640000343322754
2017-07-10,9.5600004196167
2017-07-11,9.640000343322754
2017-07-12,9.680000305175781
2017-07-13,9.5600004196167
2017-07-14,9.520000457763672
2017-07-17,9.479999542236328
2017-07-18,9.399999618530273
2017-07-19,9.279999732971191
2017-07-20,9.5600004196167
2017-07-21,9.399999618530273
2017-07-24,9.600000381469727
2017-07-25,9.550000190734863
2017-07-26,8.779999732971191
2017-07-27,8.545999526977539
2017-07-28,9.140000343322754
2017-07-31,8.789999961853027
2017-08-01,8.359999656677246
