,AVRO
2019-12-09,18.09000015258789
2019-12-10,18.959999084472656
2019-12-11,19.969999313354492
2019-12-12,21.440000534057617
2019-12-13,21.8799991607666
2019-12-16,21.729999542236328
2019-12-17,20.670000076293945
2019-12-18,20.079999923706055
2019-12-19,20.079999923706055
2019-12-20,19.989999771118164
2019-12-23,20.290000915527344
2019-12-24,20.290000915527344
2019-12-26,19.790000915527344
2019-12-27,19.579999923706055
2019-12-30,20.049999237060547
2019-12-31,20.1299991607666
2020-01-02,20.610000610351562
2020-01-03,20.5
2020-01-06,20.68000030517578
2020-01-07,20.139999389648438
2020-01-08,20.489999771118164
2020-01-09,20.59000015258789
2020-01-10,19.850000381469727
2020-01-13,17.969999313354492
2020-01-14,18.450000762939453
2020-01-15,19.829999923706055
2020-01-16,20.790000915527344
2020-01-17,22.780000686645508
2020-01-21,22.290000915527344
2020-01-22,22.760000228881836
2020-01-23,20.690000534057617
2020-01-24,19.600000381469727
2020-01-27,19.690000534057617
2020-01-28,22.690000534057617
2020-01-29,21.440000534057617
2020-01-30,20.639999389648438
2020-01-31,21.729999542236328
2020-02-03,20.190000534057617
2020-02-04,22.549999237060547
2020-02-05,23.600000381469727
2020-02-06,24.510000228881836
2020-02-07,23.90999984741211
2020-02-10,26.209999084472656
2020-02-11,27.209999084472656
2020-02-12,26.90999984741211
2020-02-13,23.0
2020-02-14,24.15999984741211
2020-02-18,22.790000915527344
2020-02-19,22.600000381469727
2020-02-20,22.760000228881836
2020-02-21,22.75
2020-02-24,22.0
2020-02-25,18.770000457763672
2020-02-26,18.239999771118164
2020-02-27,17.969999313354492
2020-02-28,19.299999237060547
2020-03-02,20.979999542236328
2020-03-03,20.329999923706055
2020-03-04,21.440000534057617
2020-03-05,20.6200008392334
2020-03-06,20.420000076293945
2020-03-09,19.1299991607666
2020-03-10,18.690000534057617
2020-03-11,18.020000457763672
2020-03-12,14.149999618530273
2020-03-13,14.880000114440918
2020-03-16,10.079999923706055
2020-03-17,11.09000015258789
2020-03-18,10.470000267028809
2020-03-19,13.760000228881836
2020-03-20,13.649999618530273
2020-03-23,14.390000343322754
2020-03-24,14.5
2020-03-25,15.050000190734863
