,COMT
2016-11-03,31.84000015258789
2016-11-04,31.610000610351562
2016-11-07,32.04999923706055
2016-11-08,32.029998779296875
2016-11-09,32.459999084472656
2016-11-10,32.290000915527344
2016-11-11,31.600000381469727
2016-11-14,31.674999237060547
2016-11-15,32.25
2016-11-16,31.950000762939453
2016-11-17,32.029998779296875
2016-11-18,32.060001373291016
2016-11-21,33.0
2016-11-22,33.130001068115234
2016-11-23,33.220001220703125
2016-11-25,32.86000061035156
2016-11-28,32.9900016784668
2016-11-29,32.33000183105469
2016-11-30,33.290000915527344
2016-12-01,33.70000076293945
2016-12-02,33.939998626708984
2016-12-05,34.220001220703125
2016-12-06,34.209999084472656
2016-12-07,34.22999954223633
2016-12-08,34.31999969482422
2016-12-09,34.38999938964844
2016-12-12,34.50600051879883
2016-12-13,34.529998779296875
2016-12-14,34.06999969482422
2016-12-15,33.9900016784668
2016-12-16,33.939998626708984
2016-12-19,33.849998474121094
2016-12-20,34.06999969482422
2016-12-21,33.77000045776367
2016-12-22,33.77799987792969
2016-12-23,33.86000061035156
2016-12-27,34.18000030517578
2016-12-28,34.27000045776367
2016-12-29,34.380001068115234
2016-12-30,34.290000915527344
2017-01-03,34.130001068115234
2017-01-04,34.47999954223633
2017-01-05,34.81999969482422
2017-01-06,34.720001220703125
2017-01-09,34.290000915527344
2017-01-10,34.16999816894531
2017-01-11,34.63999938964844
2017-01-12,34.880001068115234
2017-01-13,34.900001525878906
2017-01-17,34.959999084472656
2017-01-18,34.599998474121094
2017-01-19,34.5
2017-01-20,34.869998931884766
2017-01-23,35.0
2017-01-24,35.20000076293945
2017-01-25,35.119998931884766
2017-01-26,35.150001525878906
2017-01-27,34.91999816894531
2017-01-30,34.630001068115234
2017-01-31,34.7599983215332
2017-02-01,35.08000183105469
2017-02-02,35.099998474121094
2017-02-03,34.93000030517578
2017-02-06,34.849998474121094
2017-02-07,34.650001525878906
2017-02-08,34.709999084472656
2017-02-09,34.7400016784668
2017-02-10,35.13999938964844
2017-02-13,34.86000061035156
2017-02-14,34.93000030517578
2017-02-15,34.970001220703125
2017-02-16,34.77000045776367
2017-02-17,34.779998779296875
2017-02-21,34.7599983215332
