,CMTL
2017-04-04,14.020000457763672
2017-04-05,13.680000305175781
2017-04-06,13.649999618530273
2017-04-07,13.3100004196167
2017-04-10,13.579999923706055
2017-04-11,13.579999923706055
2017-04-12,13.350000381469727
2017-04-13,13.25
2017-04-17,13.3100004196167
2017-04-18,13.5
2017-04-19,13.619999885559082
2017-04-20,13.84000015258789
2017-04-21,14.09000015258789
2017-04-24,14.199999809265137
2017-04-25,14.380000114440918
2017-04-26,14.5600004196167
2017-04-27,14.220000267028809
2017-04-28,14.010000228881836
2017-05-01,14.40999984741211
2017-05-02,14.329999923706055
2017-05-03,14.350000381469727
2017-05-04,14.170000076293945
2017-05-05,14.270000457763672
2017-05-08,14.649999618530273
2017-05-09,14.390000343322754
2017-05-10,14.4399995803833
2017-05-11,14.329999923706055
2017-05-12,13.899999618530273
2017-05-15,14.119999885559082
2017-05-16,14.550000190734863
2017-05-17,13.90999984741211
2017-05-18,13.760000228881836
2017-05-19,13.979999542236328
2017-05-22,14.1899995803833
2017-05-23,14.279999732971191
2017-05-24,14.260000228881836
2017-05-25,14.220000267028809
2017-05-26,14.430000305175781
2017-05-30,14.369999885559082
2017-05-31,14.430000305175781
2017-06-01,14.949999809265137
2017-06-02,15.0
2017-06-05,15.399999618530273
2017-06-06,15.149999618530273
2017-06-07,15.0
2017-06-08,17.790000915527344
2017-06-09,18.18000030517578
2017-06-12,18.790000915527344
2017-06-13,18.90999984741211
2017-06-14,19.40999984741211
2017-06-15,19.34000015258789
2017-06-16,19.010000228881836
2017-06-19,19.1200008392334
2017-06-20,18.899999618530273
2017-06-21,18.8700008392334
2017-06-22,18.770000457763672
2017-06-23,18.860000610351562
2017-06-26,19.290000915527344
2017-06-27,19.329999923706055
2017-06-28,19.420000076293945
2017-06-29,19.15999984741211
2017-06-30,18.969999313354492
2017-07-03,19.110000610351562
2017-07-05,19.260000228881836
2017-07-06,18.84000015258789
2017-07-07,18.719999313354492
2017-07-10,18.579999923706055
2017-07-11,18.90999984741211
2017-07-12,18.719999313354492
2017-07-13,18.8700008392334
2017-07-14,18.6200008392334
2017-07-17,18.68000030517578
2017-07-18,18.579999923706055
2017-07-19,18.81999969482422
2017-07-20,18.739999771118164
2017-07-21,18.690000534057617
2017-07-24,18.610000610351562
2017-07-25,18.950000762939453
2017-07-26,18.5
2017-07-27,18.309999465942383
2017-07-28,18.079999923706055
2017-07-31,18.0
2017-08-01,18.469999313354492
2017-08-02,18.1299991607666
2017-08-03,17.81999969482422
2017-08-04,17.989999771118164
2017-08-07,18.1299991607666
2017-08-08,18.139999389648438
2017-08-09,18.239999771118164
2017-08-10,18.219999313354492
2017-08-11,18.25
2017-08-14,19.31999969482422
2017-08-15,19.1299991607666
2017-08-16,19.100000381469727
2017-08-17,19.100000381469727
2017-08-18,18.829999923706055
2017-08-21,18.510000228881836
2017-08-22,18.860000610351562
2017-08-23,18.780000686645508
2017-08-24,18.950000762939453
2017-08-25,19.219999313354492
2017-08-28,19.40999984741211
2017-08-29,19.3700008392334
2017-08-30,19.3799991607666
2017-08-31,19.56999969482422
2017-09-01,19.540000915527344
2017-09-05,19.479999542236328
2017-09-06,19.65999984741211
2017-09-07,19.68000030517578
2017-09-08,19.899999618530273
2017-09-11,20.350000381469727
2017-09-12,20.700000762939453
2017-09-13,20.5
2017-09-14,20.459999084472656
2017-09-15,20.280000686645508
2017-09-18,20.65999984741211
2017-09-19,20.450000762939453
2017-09-20,20.65999984741211
2017-09-21,20.899999618530273
2017-09-22,20.59000015258789
2017-09-25,20.700000762939453
2017-09-26,20.350000381469727
2017-09-27,21.31999969482422
2017-09-28,17.610000610351562
2017-09-29,20.530000686645508
2017-10-02,19.469999313354492
2017-10-03,20.079999923706055
2017-10-04,20.459999084472656
2017-10-05,20.709999084472656
2017-10-06,20.6200008392334
