,FDNI
2020-08-31,40.08000183105469
2020-09-01,41.13999938964844
2020-09-02,41.119998931884766
2020-09-03,39.2599983215332
2020-09-04,38.95000076293945
2020-09-08,37.2400016784668
2020-09-09,37.779998779296875
2020-09-10,37.2599983215332
2020-09-11,37.529998779296875
2020-09-14,38.11000061035156
2020-09-15,38.4900016784668
2020-09-16,38.529998779296875
2020-09-17,38.040000915527344
2020-09-18,38.119998931884766
2020-09-21,37.939998626708984
2020-09-22,38.400001525878906
2020-09-23,38.209999084472656
2020-09-24,37.790000915527344
2020-09-25,38.060001373291016
2020-09-28,38.4900016784668
2020-09-29,38.709999084472656
2020-09-30,39.630001068115234
2020-10-01,39.709999084472656
2020-10-02,39.189998626708984
2020-10-05,39.599998474121094
2020-10-06,39.709999084472656
2020-10-07,40.29999923706055
2020-10-08,40.41999816894531
2020-10-09,41.209999084472656
2020-10-12,41.70000076293945
2020-10-13,41.7400016784668
2020-10-14,41.400001525878906
2020-10-15,40.91999816894531
2020-10-16,41.18000030517578
2020-10-19,40.90999984741211
2020-10-20,41.209999084472656
2020-10-21,41.2599983215332
2020-10-22,40.84000015258789
2020-10-23,40.91999816894531
2020-10-26,40.56999969482422
2020-10-27,41.81999969482422
2020-10-28,41.20000076293945
2020-10-29,41.720001220703125
2020-10-30,40.650001525878906
2020-11-02,41.0099983215332
2020-11-03,40.79999923706055
2020-11-04,43.38999938964844
2020-11-05,44.36000061035156
2020-11-06,44.790000915527344
2020-11-09,43.27000045776367
2020-11-10,40.70000076293945
2020-11-11,41.33000183105469
2020-11-12,41.560001373291016
2020-11-13,42.56999969482422
2020-11-16,42.150001525878906
2020-11-17,41.65999984741211
2020-11-18,41.52000045776367
2020-11-19,41.959999084472656
2020-11-20,42.91999816894531
2020-11-23,42.810001373291016
2020-11-24,43.060001373291016
2020-11-25,42.86000061035156
2020-11-27,43.95000076293945
2020-11-30,43.150001525878906
2020-12-01,43.220001220703125
2020-12-02,43.150001525878906
2020-12-03,43.59000015258789
2020-12-04,43.77000045776367
2020-12-07,43.720001220703125
2020-12-08,44.150001525878906
2020-12-09,43.45000076293945
2020-12-10,44.150001525878906
2020-12-11,44.099998474121094
2020-12-14,43.84000015258789
2020-12-15,43.900001525878906
2020-12-16,44.900001525878906
2020-12-17,45.630001068115234
2020-12-18,45.2599983215332
2020-12-21,45.20000076293945
2020-12-22,45.209999084472656
2020-12-23,45.27000045776367
2020-12-24,44.36000061035156
2020-12-28,43.11000061035156
2020-12-29,44.36000061035156
2020-12-30,45.56999969482422
2020-12-31,45.38999938964844
2021-01-04,45.040000915527344
2021-01-05,46.59000015258789
2021-01-06,45.2599983215332
2021-01-07,45.689998626708984
2021-01-08,47.560001373291016
2021-01-11,46.38999938964844
2021-01-12,46.5099983215332
