,XPP
2017-09-14,74.33000183105469
2017-09-15,75.41000366210938
2017-09-18,76.91000366210938
2017-09-19,77.0999984741211
2017-09-20,77.44999694824219
2017-09-21,77.83000183105469
2017-09-22,76.1500015258789
2017-09-25,72.1500015258789
2017-09-26,73.5
2017-09-27,73.80999755859375
2017-09-28,72.68000030517578
2017-09-29,74.12999725341797
2017-10-02,74.63999938964844
2017-10-03,79.11000061035156
2017-10-04,79.5999984741211
2017-10-05,82.0999984741211
2017-10-06,80.22000122070312
2017-10-09,79.62999725341797
2017-10-10,80.91999816894531
2017-10-11,80.38999938964844
2017-10-12,80.2699966430664
2017-10-13,81.62000274658203
2017-10-16,81.86000061035156
2017-10-17,80.94999694824219
2017-10-18,82.31999969482422
2017-10-19,79.12999725341797
2017-10-20,81.12000274658203
2017-10-23,79.27999877929688
2017-10-24,79.4800033569336
2017-10-25,79.83000183105469
2017-10-26,79.37000274658203
2017-10-27,82.16999816894531
2017-10-30,79.77999877929688
2017-10-31,80.4800033569336
2017-11-01,81.38999938964844
2017-11-02,82.29000091552734
2017-11-03,81.6500015258789
2017-11-06,82.12000274658203
2017-11-07,82.98999786376953
2017-11-08,83.16000366210938
2017-11-09,83.05999755859375
2017-11-10,84.0999984741211
2017-11-13,83.76000213623047
2017-11-14,81.91999816894531
2017-11-15,79.95999908447266
2017-11-16,82.83999633789062
2017-11-17,82.3499984741211
2017-11-20,83.66999816894531
2017-11-21,88.37000274658203
2017-11-22,88.70999908447266
2017-11-24,87.38999938964844
2017-11-27,84.5199966430664
2017-11-28,85.83000183105469
2017-11-29,82.41999816894531
2017-11-30,80.98999786376953
2017-12-01,79.69999694824219
2017-12-04,79.76000213623047
2017-12-05,79.83000183105469
2017-12-06,76.19999694824219
2017-12-07,76.01000213623047
2017-12-08,78.7300033569336
2017-12-11,80.05000305175781
2017-12-12,78.29000091552734
2017-12-13,81.81999969482422
2017-12-14,80.25
2017-12-15,79.13999938964844
2017-12-18,80.08999633789062
2017-12-19,79.88999938964844
2017-12-20,79.44999694824219
2017-12-21,82.0
2017-12-22,82.94999694824219
2017-12-26,83.12999725341797
2017-12-27,81.87000274658203
2017-12-28,83.23999786376953
2017-12-29,83.88999938964844
2018-01-02,89.41999816894531
2018-01-03,91.0
2018-01-04,91.62000274658203
2018-01-05,92.48999786376953
2018-01-08,93.30000305175781
2018-01-09,92.55999755859375
2018-01-10,92.58999633789062
2018-01-11,93.77999877929688
2018-01-12,97.26000213623047
2018-01-16,97.26000213623047
2018-01-17,100.5
2018-01-18,102.20999908447266
2018-01-19,105.56999969482422
2018-01-22,106.80000305175781
2018-01-23,110.2300033569336
2018-01-24,111.70999908447266
2018-01-25,108.56999969482422
2018-01-26,113.72000122070312
2018-01-29,109.22000122070312
2018-01-30,105.61000061035156
2018-01-31,108.5
2018-02-01,105.41999816894531
2018-02-02,101.5999984741211
2018-02-05,97.44999694824219
2018-02-06,100.80000305175781
2018-02-07,90.22000122070312
2018-02-08,82.33999633789062
2018-02-09,82.37999725341797
2018-02-12,84.58999633789062
2018-02-13,84.4800033569336
2018-02-14,89.5999984741211
2018-02-15,94.22000122070312
2018-02-16,94.30000305175781
2018-02-20,90.37999725341797
2018-02-21,93.0
2018-02-22,92.16000366210938
2018-02-23,95.33999633789062
2018-02-26,97.79000091552734
2018-02-27,89.91000366210938
2018-02-28,86.0199966430664
2018-03-01,85.05000305175781
2018-03-02,86.30999755859375
2018-03-05,86.11000061035156
2018-03-06,87.31999969482422
2018-03-07,86.81999969482422
2018-03-08,87.22000122070312
2018-03-09,92.20999908447266
2018-03-12,92.80999755859375
2018-03-13,90.26000213623047
2018-03-14,90.9000015258789
2018-03-15,92.30000305175781
2018-03-16,92.81999969482422
2018-03-19,90.58000183105469
2018-03-20,93.02999877929688
2018-03-21,91.8499984741211
2018-03-22,85.01000213623047
2018-03-23,80.94999694824219
2018-03-26,86.91999816894531
2018-03-27,84.45999908447266
2018-03-28,83.3499984741211
2018-03-29,85.2300033569336
2018-04-02,81.69000244140625
2018-04-03,83.91999816894531
2018-04-04,83.83000183105469
2018-04-05,84.44999694824219
2018-04-06,80.33999633789062
2018-04-09,82.33000183105469
2018-04-10,87.62999725341797
2018-04-11,88.37000274658203
2018-04-12,88.48999786376953
2018-04-13,86.30999755859375
2018-04-16,84.20999908447266
