,CELH
2014-01-24,0.3400000035762787
2014-01-27,0.3400000035762787
2014-01-28,0.3400000035762787
2014-01-29,0.3400000035762787
2014-01-30,0.3400000035762787
2014-01-31,0.41999998688697815
2014-02-03,0.41999998688697815
2014-02-04,0.3400000035762787
2014-02-05,0.3499999940395355
2014-02-06,0.41999998688697815
2014-02-07,0.3499999940395355
2014-02-10,0.3499999940395355
2014-02-11,0.3499999940395355
2014-02-12,0.3499999940395355
2014-02-13,0.3499999940395355
2014-02-14,0.36000001430511475
2014-02-18,0.3799999952316284
2014-02-19,0.4399999976158142
2014-02-20,0.4000000059604645
2014-02-21,0.4300000071525574
2014-02-24,0.4300000071525574
2014-02-25,0.3799999952316284
2014-02-26,0.4300000071525574
2014-02-27,0.4300000071525574
2014-02-28,0.4300000071525574
2014-03-03,0.3799999952316284
2014-03-04,0.4300000071525574
2014-03-05,0.4399999976158142
2014-03-06,0.550000011920929
2014-03-07,0.550000011920929
2014-03-10,0.6000000238418579
2014-03-11,0.7900000214576721
2014-03-12,0.8999999761581421
2014-03-13,0.9700000286102295
2014-03-14,1.0
2014-03-17,1.100000023841858
2014-03-18,1.100000023841858
2014-03-19,0.8999999761581421
2014-03-20,0.9599999785423279
2014-03-21,0.8999999761581421
2014-03-24,0.7799999713897705
2014-03-25,0.9399999976158142
2014-03-26,0.8500000238418579
2014-03-27,0.8100000023841858
2014-03-28,0.8500000238418579
2014-03-31,0.8500000238418579
2014-04-01,0.9100000262260437
2014-04-02,0.8999999761581421
2014-04-03,0.8500000238418579
2014-04-04,0.9100000262260437
2014-04-07,0.8899999856948853
2014-04-08,0.8500000238418579
2014-04-09,0.8500000238418579
2014-04-10,0.8999999761581421
2014-04-11,0.8500000238418579
2014-04-14,0.8399999737739563
2014-04-15,0.8399999737739563
2014-04-16,0.8299999833106995
2014-04-17,0.8500000238418579
2014-04-21,0.75
2014-04-22,0.800000011920929
2014-04-23,0.75
2014-04-24,0.800000011920929
2014-04-25,0.8799999952316284
2014-04-28,0.8799999952316284
2014-04-29,0.7599999904632568
2014-04-30,0.7599999904632568
2014-05-01,0.8299999833106995
2014-05-02,0.8399999737739563
2014-05-05,0.8299999833106995
2014-05-06,0.8600000143051147
2014-05-07,0.800000011920929
2014-05-08,0.800000011920929
2014-05-09,0.8299999833106995
2014-05-12,0.8199999928474426
2014-05-13,0.6000000238418579
2014-05-14,0.6499999761581421
2014-05-15,0.6100000143051147
2014-05-16,0.7699999809265137
2014-05-19,0.75
2014-05-20,0.75
2014-05-21,0.7200000286102295
2014-05-22,0.699999988079071
2014-05-23,0.6499999761581421
2014-05-27,0.7200000286102295
2014-05-28,0.7200000286102295
2014-05-29,0.6399999856948853
2014-05-30,0.6499999761581421
2014-06-02,0.6000000238418579
2014-06-03,0.6000000238418579
2014-06-04,0.6000000238418579
2014-06-05,0.5899999737739563
2014-06-06,0.6000000238418579
2014-06-09,0.6000000238418579
2014-06-10,0.6200000047683716
2014-06-11,0.5899999737739563
2014-06-12,0.5699999928474426
2014-06-13,0.6800000071525574
2014-06-16,0.6800000071525574
2014-06-17,0.6499999761581421
2014-06-18,0.6499999761581421
2014-06-19,0.6499999761581421
2014-06-20,0.6499999761581421
2014-06-23,0.6299999952316284
2014-06-24,0.6100000143051147
2014-06-25,0.6499999761581421
2014-06-26,0.6299999952316284
2014-06-27,0.6200000047683716
2014-06-30,0.6399999856948853
2014-07-01,0.6499999761581421
2014-07-02,0.6100000143051147
2014-07-03,0.6800000071525574
2014-07-07,0.6800000071525574
2014-07-08,0.6800000071525574
2014-07-09,0.6800000071525574
2014-07-10,0.6499999761581421
2014-07-11,0.6800000071525574
2014-07-14,0.6499999761581421
2014-07-15,0.6100000143051147
2014-07-16,0.6499999761581421
2014-07-17,0.6600000262260437
2014-07-18,0.6800000071525574
2014-07-21,0.75
2014-07-22,0.7400000095367432
2014-07-23,0.75
2014-07-24,0.7699999809265137
2014-07-25,0.6600000262260437
2014-07-28,0.6700000166893005
2014-07-29,0.6600000262260437
2014-07-30,0.6499999761581421
2014-07-31,0.6399999856948853
2014-08-01,0.6499999761581421
2014-08-04,0.6700000166893005
2014-08-05,0.6499999761581421
2014-08-06,0.6399999856948853
2014-08-07,0.6299999952316284
2014-08-08,0.5299999713897705
2014-08-11,0.5899999737739563
2014-08-12,0.6499999761581421
2014-08-13,0.6200000047683716
2014-08-14,0.5400000214576721
2014-08-15,0.5400000214576721
2014-08-18,0.6299999952316284
2014-08-19,0.6499999761581421
2014-08-20,0.5799999833106995
2014-08-21,0.5899999737739563
2014-08-22,0.5699999928474426
2014-08-25,0.5699999928474426
2014-08-26,0.5199999809265137
2014-08-27,0.5799999833106995
2014-08-28,0.5299999713897705
2014-08-29,0.6499999761581421
2014-09-02,0.6399999856948853
2014-09-03,0.6399999856948853
2014-09-04,0.550000011920929
2014-09-05,0.550000011920929
2014-09-08,0.6399999856948853
2014-09-09,0.6499999761581421
2014-09-10,0.5699999928474426
2014-09-11,0.5799999833106995
2014-09-12,0.5199999809265137
2014-09-15,0.550000011920929
2014-09-16,0.5299999713897705
2014-09-17,0.5299999713897705
2014-09-18,0.5199999809265137
2014-09-19,0.5299999713897705
2014-09-22,0.5099999904632568
2014-09-23,0.5
2014-09-24,0.5799999833106995
2014-09-25,0.550000011920929
2014-09-26,0.5400000214576721
2014-09-29,0.5299999713897705
2014-09-30,0.5
2014-10-01,0.5299999713897705
2014-10-02,0.5299999713897705
2014-10-03,0.5299999713897705
2014-10-06,0.5299999713897705
2014-10-07,0.5299999713897705
2014-10-08,0.5299999713897705
2014-10-09,0.5299999713897705
2014-10-10,0.5
2014-10-13,0.5
2014-10-14,0.550000011920929
2014-10-15,0.5
2014-10-16,0.5299999713897705
2014-10-17,0.5299999713897705
2014-10-20,0.41999998688697815
2014-10-21,0.41999998688697815
2014-10-22,0.5199999809265137
2014-10-23,0.5199999809265137
2014-10-24,0.5
2014-10-27,0.44999998807907104
2014-10-28,0.5400000214576721
2014-10-29,0.5400000214576721
2014-10-30,0.47999998927116394
2014-10-31,0.47999998927116394
2014-11-03,0.4300000071525574
2014-11-04,0.41999998688697815
2014-11-05,0.5400000214576721
2014-11-06,0.4399999976158142
2014-11-07,0.550000011920929
2014-11-10,0.41999998688697815
2014-11-11,0.41999998688697815
2014-11-12,0.41999998688697815
2014-11-13,0.41999998688697815
2014-11-14,0.4300000071525574
2014-11-17,0.4699999988079071
2014-11-18,0.4699999988079071
2014-11-19,0.4399999976158142
2014-11-20,0.5199999809265137
2014-11-21,0.44999998807907104
2014-11-24,0.4399999976158142
2014-11-25,0.47999998927116394
2014-11-26,0.550000011920929
2014-11-28,0.44999998807907104
2014-12-01,0.550000011920929
2014-12-02,0.5199999809265137
2014-12-03,0.46000000834465027
2014-12-04,0.46000000834465027
2014-12-05,0.46000000834465027
2014-12-08,0.46000000834465027
2014-12-09,0.4699999988079071
2014-12-10,0.49000000953674316
2014-12-11,0.4699999988079071
2014-12-12,0.5
2014-12-15,0.46000000834465027
2014-12-16,0.4300000071525574
2014-12-17,0.4300000071525574
2014-12-18,0.5
2014-12-19,0.5400000214576721
2014-12-22,0.44999998807907104
2014-12-23,0.5400000214576721
2014-12-24,0.5400000214576721
2014-12-26,0.5
2014-12-29,0.5
2014-12-30,0.5
2014-12-31,0.5
2015-01-02,0.5
2015-01-05,0.44999998807907104
2015-01-06,0.5400000214576721
2015-01-07,0.5199999809265137
2015-01-08,0.46000000834465027
2015-01-09,0.5199999809265137
2015-01-12,0.5199999809265137
2015-01-13,0.5
2015-01-14,0.44999998807907104
2015-01-15,0.49000000953674316
2015-01-16,0.44999998807907104
2015-01-20,0.44999998807907104
2015-01-21,0.5
2015-01-22,0.4699999988079071
2015-01-23,0.5099999904632568
2015-01-26,0.5199999809265137
2015-01-27,0.5
2015-01-28,0.6399999856948853
2015-01-29,0.7599999904632568
2015-01-30,0.7300000190734863
2015-02-02,0.7400000095367432
2015-02-03,0.75
2015-02-04,0.75
2015-02-05,0.9300000071525574
2015-02-06,0.8999999761581421
2015-02-09,0.8899999856948853
2015-02-10,0.8999999761581421
2015-02-11,0.9300000071525574
2015-02-12,0.9900000095367432
2015-02-13,0.9599999785423279
2015-02-17,1.0199999809265137
2015-02-18,1.0099999904632568
2015-02-19,1.0499999523162842
2015-02-20,1.0700000524520874
2015-02-23,1.059999942779541
2015-02-24,1.0499999523162842
2015-02-25,1.0800000429153442
2015-02-26,1.0199999809265137
2015-02-27,1.1299999952316284
2015-03-02,1.0700000524520874
2015-03-03,1.0399999618530273
2015-03-04,0.9900000095367432
2015-03-05,0.9300000071525574
2015-03-06,0.9399999976158142
2015-03-09,0.8999999761581421
2015-03-10,0.8899999856948853
2015-03-11,0.8199999928474426
2015-03-12,0.9100000262260437
2015-03-13,0.9800000190734863
2015-03-16,0.9599999785423279
2015-03-17,0.9900000095367432
2015-03-18,0.9800000190734863
2015-03-19,0.9800000190734863
2015-03-20,0.9800000190734863
