,CCNC
2017-04-21,4.989999771118164
2017-04-24,4.989999771118164
2017-04-25,4.989999771118164
2017-04-26,4.989999771118164
2017-04-27,4.989999771118164
2017-04-28,4.989999771118164
2017-05-01,4.989999771118164
2017-05-02,4.989999771118164
2017-05-03,4.989999771118164
2017-05-04,4.989999771118164
2017-05-05,4.989999771118164
2017-05-08,4.989999771118164
2017-05-09,4.989999771118164
2017-05-10,4.989999771118164
2017-05-11,4.989999771118164
2017-05-12,4.989999771118164
2017-05-15,4.989999771118164
2017-05-16,4.989999771118164
2017-05-17,4.989999771118164
2017-05-18,4.989999771118164
2017-05-19,4.989999771118164
2017-05-22,4.989999771118164
2017-05-23,4.989999771118164
2017-05-24,4.989999771118164
2017-05-25,4.989999771118164
2017-05-26,4.989999771118164
2017-05-30,4.989999771118164
2017-05-31,4.989999771118164
2017-06-01,4.989999771118164
2017-06-02,4.989999771118164
2017-06-05,4.989999771118164
2017-06-06,4.989999771118164
2017-06-07,4.989999771118164
2017-06-08,4.989999771118164
2017-06-09,4.985499858856201
2017-06-12,4.985499858856201
2017-06-13,4.985499858856201
2017-06-14,4.985499858856201
2017-06-15,4.985499858856201
2017-06-16,4.985499858856201
2017-06-19,4.985499858856201
2017-06-20,4.985499858856201
2017-06-21,4.985499858856201
2017-06-22,4.985499858856201
2017-06-23,4.985499858856201
2017-06-26,4.989999771118164
2017-06-27,4.989999771118164
2017-06-28,4.989999771118164
2017-06-29,4.989999771118164
2017-06-30,4.989999771118164
2017-07-03,4.989999771118164
2017-07-05,4.989999771118164
2017-07-06,4.989999771118164
2017-07-07,4.989999771118164
2017-07-10,4.989999771118164
2017-07-11,4.989999771118164
2017-07-12,4.989999771118164
2017-07-13,4.989999771118164
2017-07-14,4.989999771118164
2017-07-17,4.989999771118164
2017-07-18,4.989999771118164
2017-07-19,4.989999771118164
2017-07-20,4.989999771118164
2017-07-21,4.989999771118164
2017-07-24,4.989999771118164
2017-07-25,4.989999771118164
2017-07-26,4.989999771118164
2017-07-27,4.989999771118164
2017-07-28,4.989999771118164
2017-07-31,4.989999771118164
2017-08-01,4.989999771118164
2017-08-02,4.989999771118164
2017-08-03,4.989999771118164
2017-08-04,4.989999771118164
2017-08-07,4.989999771118164
2017-08-08,4.989999771118164
2017-08-09,4.989999771118164
2017-08-10,4.989999771118164
2017-08-11,4.989999771118164
2017-08-14,4.989999771118164
2017-08-15,4.989999771118164
2017-08-16,4.989999771118164
2017-08-17,4.989999771118164
2017-08-18,4.989999771118164
2017-08-21,4.989999771118164
2017-08-22,4.989999771118164
2017-08-23,4.989999771118164
2017-08-24,4.989999771118164
2017-08-25,4.989999771118164
2017-08-28,4.989999771118164
2017-08-29,4.989999771118164
2017-08-30,4.989999771118164
2017-08-31,5.099999904632568
2017-09-01,5.099999904632568
2017-09-05,5.099999904632568
2017-09-06,5.099999904632568
2017-09-07,5.099999904632568
2017-09-08,5.099999904632568
2017-09-11,5.099999904632568
2017-09-12,5.099999904632568
2017-09-13,5.099999904632568
2017-09-14,5.099999904632568
2017-09-15,5.099999904632568
2017-09-18,5.099999904632568
2017-09-19,5.099999904632568
2017-09-20,5.099999904632568
2017-09-21,5.099999904632568
2017-09-22,5.099999904632568
2017-09-25,5.099999904632568
2017-09-26,5.099999904632568
2017-09-27,5.099999904632568
2017-09-28,5.099999904632568
2017-09-29,4.974999904632568
2017-10-02,4.974999904632568
2017-10-03,4.974999904632568
2017-10-04,4.974999904632568
2017-10-05,4.989999771118164
2017-10-06,4.989999771118164
2017-10-09,4.989999771118164
2017-10-10,4.989999771118164
2017-10-11,4.989999771118164
2017-10-12,4.989999771118164
2017-10-13,4.989999771118164
2017-10-16,4.989999771118164
2017-10-17,4.989999771118164
2017-10-18,4.989999771118164
2017-10-19,4.989999771118164
2017-10-20,4.989999771118164
2017-10-23,4.989999771118164
2017-10-24,4.989999771118164
2017-10-25,4.989999771118164
2017-10-26,4.989999771118164
2017-10-27,4.989999771118164
2017-10-30,4.989999771118164
2017-10-31,4.989999771118164
2017-11-01,4.989999771118164
2017-11-02,4.989999771118164
2017-11-03,4.989999771118164
2017-11-06,4.989999771118164
2017-11-07,4.989999771118164
2017-11-08,4.989999771118164
2017-11-09,4.971499919891357
2017-11-10,4.971499919891357
2017-11-13,4.934999942779541
2017-11-14,4.934999942779541
2017-11-15,4.934999942779541
2017-11-16,4.934999942779541
2017-11-17,4.934999942779541
2017-11-20,4.934999942779541
2017-11-21,4.934999942779541
2017-11-22,4.934999942779541
2017-11-24,4.934999942779541
2017-11-27,4.934999942779541
2017-11-28,4.949999809265137
2017-11-29,4.949999809265137
2017-11-30,4.949999809265137
2017-12-01,4.949999809265137
2017-12-04,4.949999809265137
2017-12-05,4.949999809265137
2017-12-06,4.949999809265137
2017-12-07,4.949999809265137
2017-12-08,4.949999809265137
2017-12-11,4.949999809265137
2017-12-12,4.949999809265137
2017-12-13,4.949999809265137
2017-12-14,4.949999809265137
2017-12-15,4.949999809265137
2017-12-18,4.949999809265137
2017-12-19,4.949999809265137
2017-12-20,4.949999809265137
2017-12-21,4.949999809265137
2017-12-22,4.949999809265137
2017-12-26,4.960000038146973
2017-12-27,4.965000152587891
2017-12-28,4.965000152587891
2017-12-29,4.980000019073486
2018-01-02,4.980000019073486
2018-01-03,4.980000019073486
2018-01-04,4.980000019073486
2018-01-05,4.815000057220459
2018-01-08,4.815000057220459
2018-01-09,4.815000057220459
2018-01-10,4.815000057220459
2018-01-11,4.815000057220459
2018-01-12,4.815000057220459
2018-01-16,4.815000057220459
2018-01-17,4.815000057220459
2018-01-18,4.815000057220459
2018-01-19,4.815000057220459
2018-01-22,4.815000057220459
2018-01-23,4.815000057220459
2018-01-24,4.815000057220459
2018-01-25,4.815000057220459
2018-01-26,4.815000057220459
2018-01-29,4.815000057220459
2018-01-30,4.815000057220459
2018-01-31,4.815000057220459
2018-02-01,4.815000057220459
2018-02-02,4.815000057220459
2018-02-05,4.815000057220459
2018-02-06,4.815000057220459
2018-02-07,4.925000190734863
2018-02-08,4.900000095367432
2018-02-09,4.925000190734863
2018-02-12,4.925000190734863
2018-02-13,4.925000190734863
2018-02-14,4.925000190734863
2018-02-15,4.925000190734863
2018-02-16,4.925000190734863
2018-02-20,4.925000190734863
2018-02-21,4.925000190734863
2018-02-22,4.925000190734863
2018-02-23,4.925000190734863
2018-02-26,4.925000190734863
2018-02-27,4.925000190734863
2018-02-28,4.925000190734863
2018-03-01,4.925000190734863
2018-03-02,4.949999809265137
2018-03-05,4.949999809265137
2018-03-06,4.949999809265137
2018-03-07,4.949999809265137
2018-03-08,4.949999809265137
2018-03-09,4.600500106811523
2018-03-12,4.600500106811523
