,ESGD
2017-12-21,67.47599792480469
2017-12-22,67.5999984741211
2017-12-26,67.5999984741211
2017-12-27,67.74500274658203
2017-12-28,67.73999786376953
2017-12-29,67.83999633789062
2018-01-02,68.22000122070312
2018-01-03,68.66000366210938
2018-01-04,69.44999694824219
2018-01-05,69.8499984741211
2018-01-08,69.72100067138672
2018-01-09,69.8290023803711
2018-01-10,69.72000122070312
2018-01-11,70.06700134277344
2018-01-12,70.7760009765625
2018-01-16,70.71399688720703
2018-01-17,71.25
2018-01-18,70.9800033569336
2018-01-19,71.30999755859375
2018-01-22,71.66000366210938
2018-01-23,71.95899963378906
2018-01-24,72.18000030517578
2018-01-25,71.87000274658203
2018-01-26,72.48999786376953
2018-01-29,71.80599975585938
2018-01-30,71.3489990234375
2018-01-31,71.19999694824219
2018-02-01,71.38999938964844
2018-02-02,69.83999633789062
2018-02-05,66.91999816894531
2018-02-06,68.36000061035156
2018-02-07,67.5199966430664
2018-02-08,65.81999969482422
2018-02-09,66.29000091552734
2018-02-12,67.08000183105469
2018-02-13,66.94000244140625
2018-02-14,68.1520004272461
2018-02-15,68.62000274658203
2018-02-16,68.96499633789062
2018-02-20,68.30000305175781
2018-02-21,68.01000213623047
2018-02-22,68.1500015258789
2018-02-23,68.87000274658203
2018-02-26,69.55999755859375
2018-02-27,68.44999694824219
2018-02-28,67.76499938964844
2018-03-01,66.76000213623047
2018-03-02,66.9000015258789
2018-03-05,67.2249984741211
2018-03-06,67.7699966430664
2018-03-07,67.63999938964844
2018-03-08,67.75
2018-03-09,68.23999786376953
2018-03-12,68.4000015258789
2018-03-13,67.93000030517578
2018-03-14,68.06999969482422
2018-03-15,68.1050033569336
2018-03-16,68.02999877929688
2018-03-19,67.48999786376953
2018-03-20,67.5999984741211
2018-03-21,67.65499877929688
2018-03-22,66.44999694824219
2018-03-23,65.66300201416016
2018-03-26,66.75
2018-03-27,66.13899993896484
2018-03-28,66.7699966430664
2018-03-29,67.31999969482422
2018-04-02,66.5199966430664
2018-04-03,66.80000305175781
2018-04-04,66.87999725341797
2018-04-05,67.5199966430664
2018-04-06,67.01000213623047
2018-04-09,67.58000183105469
2018-04-10,68.2699966430664
2018-04-11,68.02999877929688
2018-04-12,68.26000213623047
2018-04-13,68.30999755859375
2018-04-16,68.44999694824219
2018-04-17,68.80000305175781
2018-04-18,69.18000030517578
2018-04-19,68.94000244140625
2018-04-20,68.69999694824219
2018-04-23,68.56999969482422
2018-04-24,68.21199798583984
2018-04-25,68.13999938964844
2018-04-26,68.50499725341797
2018-04-27,68.62999725341797
2018-04-30,68.41999816894531
2018-05-01,68.16999816894531
2018-05-02,68.06800079345703
2018-05-03,68.33000183105469
2018-05-04,68.52999877929688
2018-05-07,68.54000091552734
2018-05-08,68.48999786376953
2018-05-09,68.63999938964844
2018-05-10,69.13999938964844
2018-05-11,69.33000183105469
2018-05-14,69.36100006103516
2018-05-15,68.87000274658203
2018-05-16,68.91999816894531
2018-05-17,68.98999786376953
2018-05-18,68.8479995727539
2018-05-21,69.31999969482422
2018-05-22,69.22000122070312
2018-05-23,68.48999786376953
2018-05-24,68.27999877929688
2018-05-25,67.80999755859375
2018-05-29,66.46499633789062
2018-05-30,67.4000015258789
2018-05-31,67.0
2018-06-01,67.55000305175781
2018-06-04,67.79000091552734
2018-06-05,67.87000274658203
2018-06-06,68.29000091552734
2018-06-07,67.94000244140625
2018-06-08,68.01000213623047
2018-06-11,68.48999786376953
2018-06-12,68.0199966430664
2018-06-13,68.16999816894531
2018-06-14,67.83999633789062
2018-06-15,67.6500015258789
2018-06-18,67.11000061035156
2018-06-19,65.54000091552734
2018-06-20,65.57499694824219
2018-06-21,65.0999984741211
2018-06-22,65.83000183105469
2018-06-25,64.9800033569336
2018-06-26,65.01499938964844
2018-06-27,64.5199966430664
2018-06-28,64.56999969482422
2018-06-29,65.12999725341797
2018-07-02,64.51000213623047
2018-07-03,64.69000244140625
2018-07-05,65.4000015258789
2018-07-06,65.76000213623047
2018-07-09,66.25
2018-07-10,66.33000183105469
2018-07-11,65.13999938964844
2018-07-12,65.69000244140625
2018-07-13,65.88999938964844
2018-07-16,65.87999725341797
2018-07-17,65.91999816894531
2018-07-18,65.9800033569336
2018-07-19,65.73999786376953
2018-07-20,66.12999725341797
2018-07-23,66.01000213623047
2018-07-24,66.4800033569336
2018-07-25,66.9800033569336
2018-07-26,66.6500015258789
2018-07-27,66.81500244140625
2018-07-30,66.8499984741211
2018-07-31,66.87999725341797
2018-08-01,66.61000061035156
2018-08-02,66.0199966430664
2018-08-03,66.12999725341797
2018-08-06,65.76000213623047
2018-08-07,66.3499984741211
2018-08-08,66.30000305175781
2018-08-09,66.11799621582031
2018-08-10,64.86000061035156
2018-08-13,64.5999984741211
2018-08-14,64.58999633789062
2018-08-15,63.77899932861328
2018-08-16,64.19999694824219
2018-08-17,64.56999969482422
2018-08-20,64.87000274658203
2018-08-21,65.30999755859375
2018-08-22,65.61000061035156
2018-08-23,65.08000183105469
2018-08-24,65.48999786376953
2018-08-27,66.36000061035156
2018-08-28,66.2750015258789
2018-08-29,66.62999725341797
2018-08-30,66.0
2018-08-31,65.47000122070312
2018-09-04,64.9000015258789
2018-09-05,64.3499984741211
2018-09-06,64.1500015258789
2018-09-07,63.66999816894531
2018-09-10,64.12000274658203
2018-09-11,64.18299865722656
2018-09-12,64.51000213623047
2018-09-13,65.02999877929688
2018-09-14,65.0
2018-09-17,65.13999938964844
2018-09-18,65.76000213623047
2018-09-19,66.04000091552734
2018-09-20,66.80999755859375
2018-09-21,66.83999633789062
2018-09-24,66.56999969482422
2018-09-25,66.95999908447266
2018-09-26,66.98999786376953
2018-09-27,66.77999877929688
2018-09-28,66.21800231933594
2018-10-01,66.33000183105469
2018-10-02,65.83999633789062
2018-10-03,65.81999969482422
2018-10-04,65.0270004272461
2018-10-05,64.69000244140625
2018-10-08,64.31999969482422
2018-10-09,64.16699981689453
