,APEN
2012-06-28,404.25
2012-06-29,404.25
2012-07-02,398.8599853515625
2012-07-03,404.25
2012-07-05,409.6400146484375
2012-07-06,409.6400146484375
2012-07-09,409.6400146484375
2012-07-10,431.20001220703125
2012-07-11,409.6400146484375
2012-07-12,409.6400146484375
2012-07-13,409.6400146484375
2012-07-16,420.4200134277344
2012-07-17,441.9800109863281
2012-07-18,436.5899963378906
2012-07-19,447.3699951171875
2012-07-20,458.1499938964844
2012-07-23,485.1000061035156
2012-07-24,463.5400085449219
2012-07-25,458.1499938964844
2012-07-26,468.92999267578125
2012-07-27,485.1000061035156
2012-07-30,474.32000732421875
2012-07-31,495.8800048828125
2012-08-01,501.2699890136719
2012-08-02,490.489990234375
2012-08-03,474.32000732421875
2012-08-06,468.92999267578125
2012-08-07,474.32000732421875
2012-08-08,468.92999267578125
2012-08-09,468.92999267578125
2012-08-10,474.32000732421875
2012-08-13,468.92999267578125
2012-08-14,447.3699951171875
2012-08-15,441.9800109863281
2012-08-16,436.5899963378906
2012-08-17,415.0299987792969
2012-08-20,436.5899963378906
2012-08-21,409.6400146484375
2012-08-22,420.4200134277344
2012-08-23,431.20001220703125
2012-08-24,431.20001220703125
2012-08-27,452.760009765625
2012-08-28,458.1499938964844
2012-08-29,441.9800109863281
2012-08-30,458.1499938964844
2012-08-31,447.3699951171875
2012-09-04,441.9800109863281
2012-09-05,431.20001220703125
2012-09-06,431.20001220703125
2012-09-07,425.80999755859375
2012-09-10,415.0299987792969
2012-09-11,425.80999755859375
2012-09-12,409.6400146484375
2012-09-13,404.25
2012-09-14,404.25
2012-09-17,404.25
2012-09-18,398.8599853515625
2012-09-19,388.0799865722656
2012-09-20,393.4700012207031
2012-09-21,393.4700012207031
2012-09-24,393.4700012207031
2012-09-25,377.29998779296875
2012-09-26,393.4700012207031
2012-09-27,398.8599853515625
2012-09-28,398.8599853515625
2012-10-01,393.4700012207031
2012-10-02,393.4700012207031
2012-10-03,398.8599853515625
2012-10-04,377.29998779296875
2012-10-05,404.25
2012-10-08,420.4200134277344
2012-10-09,420.4200134277344
2012-10-10,431.20001220703125
2012-10-11,462.7699890136719
2012-10-12,473.54998779296875
2012-10-15,454.29998779296875
2012-10-16,462.0
2012-10-17,465.8500061035156
2012-10-18,469.70001220703125
2012-10-19,482.0199890136719
2012-10-22,485.1000061035156
2012-10-23,503.5799865722656
2012-10-24,511.2799987792969
2012-10-25,531.2999877929688
2012-10-26,527.4500122070312
2012-10-31,518.97998046875
2012-11-01,504.3500061035156
2012-11-02,500.5
2012-11-05,501.2699890136719
2012-11-06,501.2699890136719
2012-11-07,508.20001220703125
2012-11-08,500.5
2012-11-09,500.5
2012-11-12,500.5
2012-11-13,493.57000732421875
2012-11-14,500.5
2012-11-15,475.0899963378906
2012-11-16,455.07000732421875
2012-11-19,461.2300109863281
2012-11-20,461.2300109863281
2012-11-21,462.0
2012-11-23,464.30999755859375
2012-11-26,437.3599853515625
2012-11-27,465.0799865722656
2012-11-28,447.3699951171875
2012-11-29,475.8599853515625
2012-11-30,468.1600036621094
2012-12-03,469.70001220703125
2012-12-04,462.0
2012-12-05,469.70001220703125
2012-12-06,474.32000732421875
2012-12-07,466.6199951171875
2012-12-10,462.0
2012-12-11,464.30999755859375
2012-12-12,462.0
2012-12-13,462.0
2012-12-14,374.989990234375
2012-12-17,376.5299987792969
2012-12-18,381.1499938964844
2012-12-19,385.7699890136719
2012-12-20,381.1499938964844
2012-12-21,365.75
2012-12-24,381.9200134277344
2012-12-26,377.29998779296875
2012-12-27,398.8599853515625
2012-12-28,391.1600036621094
2012-12-31,388.8500061035156
2013-01-02,395.7799987792969
2013-01-03,405.0199890136719
2013-01-04,387.30999755859375
2013-01-07,391.1600036621094
2013-01-08,387.30999755859375
2013-01-09,391.92999267578125
2013-01-10,382.69000244140625
2013-01-11,391.1600036621094
2013-01-14,385.0
2013-01-15,378.07000732421875
2013-01-16,385.0
2013-01-17,385.0
2013-01-18,383.4599914550781
2013-01-22,388.8500061035156
2013-01-23,382.69000244140625
2013-01-24,382.69000244140625
2013-01-25,382.69000244140625
2013-01-28,384.2300109863281
2013-01-29,385.0
2013-01-30,381.1499938964844
2013-01-31,385.0
2013-02-01,388.8500061035156
2013-02-04,383.4599914550781
2013-02-05,384.2300109863281
2013-02-06,385.0
2013-02-07,387.30999755859375
