,AMRK
2017-05-22,16.8700008392334
2017-05-23,16.270000457763672
2017-05-24,15.619999885559082
2017-05-25,15.949999809265137
2017-05-26,16.0
2017-05-30,16.1200008392334
2017-05-31,16.229999542236328
2017-06-01,15.84000015258789
2017-06-02,15.350000381469727
2017-06-05,15.3100004196167
2017-06-06,15.25
2017-06-07,15.199999809265137
2017-06-08,15.350000381469727
2017-06-09,16.2549991607666
2017-06-12,16.700000762939453
2017-06-13,16.809999465942383
2017-06-14,16.780000686645508
2017-06-15,16.520000457763672
2017-06-16,16.0
2017-06-19,16.6299991607666
2017-06-20,15.680000305175781
2017-06-21,15.850000381469727
2017-06-22,15.3100004196167
2017-06-23,15.420000076293945
2017-06-26,15.600000381469727
2017-06-27,15.460000038146973
2017-06-28,15.520000457763672
2017-06-29,16.25
2017-06-30,16.386999130249023
2017-07-03,16.649999618530273
2017-07-05,16.399999618530273
2017-07-06,16.6299991607666
2017-07-07,16.709999084472656
2017-07-10,16.65999984741211
2017-07-11,15.520000457763672
2017-07-12,14.979999542236328
2017-07-13,15.114999771118164
2017-07-14,14.819999694824219
2017-07-17,15.050000190734863
2017-07-18,14.84000015258789
2017-07-19,14.770000457763672
2017-07-20,14.90999984741211
2017-07-21,14.979999542236328
2017-07-24,14.869999885559082
2017-07-25,14.760000228881836
2017-07-26,14.920000076293945
2017-07-27,14.899999618530273
2017-07-28,15.039999961853027
2017-07-31,15.069999694824219
2017-08-01,15.489999771118164
2017-08-02,15.430000305175781
2017-08-03,15.5
2017-08-04,15.4399995803833
2017-08-07,16.200000762939453
2017-08-08,16.40999984741211
2017-08-09,16.760000228881836
2017-08-10,16.600000381469727
2017-08-11,16.360000610351562
2017-08-14,16.334999084472656
2017-08-15,17.520000457763672
2017-08-16,17.950000762939453
2017-08-17,17.299999237060547
2017-08-18,17.040000915527344
2017-08-21,17.290000915527344
2017-08-22,17.239999771118164
2017-08-23,17.3799991607666
2017-08-24,17.139999389648438
2017-08-25,17.18000030517578
2017-08-28,17.329999923706055
2017-08-29,17.399999618530273
2017-08-30,17.399999618530273
2017-08-31,17.139999389648438
2017-09-01,17.3700008392334
2017-09-05,17.610000610351562
2017-09-06,17.950000762939453
2017-09-07,17.899999618530273
2017-09-08,17.860000610351562
2017-09-11,18.030000686645508
2017-09-12,18.81999969482422
2017-09-13,16.829999923706055
2017-09-14,16.989999771118164
2017-09-15,17.0
2017-09-18,17.030000686645508
2017-09-19,16.639999389648438
2017-09-20,16.40999984741211
2017-09-21,16.299999237060547
2017-09-22,16.649999618530273
2017-09-25,16.450000762939453
2017-09-26,16.56999969482422
2017-09-27,16.6200008392334
2017-09-28,16.709999084472656
2017-09-29,16.510000228881836
2017-10-02,16.520000457763672
2017-10-03,16.510000228881836
2017-10-04,16.649999618530273
2017-10-05,16.65999984741211
2017-10-06,16.780000686645508
2017-10-09,16.3799991607666
2017-10-10,16.68000030517578
2017-10-11,16.959999084472656
2017-10-12,16.90999984741211
2017-10-13,16.65999984741211
2017-10-16,16.440000534057617
2017-10-17,16.549999237060547
2017-10-18,16.479999542236328
2017-10-19,16.25
2017-10-20,16.149999618530273
2017-10-23,16.290000915527344
2017-10-24,16.079999923706055
2017-10-25,16.0
2017-10-26,15.729999542236328
2017-10-27,15.729999542236328
2017-10-30,15.319999694824219
2017-10-31,15.529999732971191
2017-11-01,15.0
2017-11-02,16.040000915527344
2017-11-03,15.550000190734863
2017-11-06,15.229999542236328
2017-11-07,15.529999732971191
2017-11-08,15.638999938964844
2017-11-09,15.770000457763672
2017-11-10,15.390000343322754
2017-11-13,15.210000038146973
2017-11-14,15.199999809265137
2017-11-15,15.100000381469727
2017-11-16,15.020000457763672
2017-11-17,15.640000343322754
2017-11-20,15.109999656677246
2017-11-21,15.029999732971191
2017-11-22,15.050000190734863
2017-11-24,14.8100004196167
2017-11-27,14.270000457763672
2017-11-28,14.880000114440918
2017-11-29,14.199999809265137
2017-11-30,14.859999656677246
2017-12-01,14.260000228881836
2017-12-04,14.15999984741211
2017-12-05,14.0
2017-12-06,13.4399995803833
2017-12-07,13.050000190734863
2017-12-08,12.5600004196167
2017-12-11,13.1899995803833
2017-12-12,14.199999809265137
2017-12-13,14.619999885559082
2017-12-14,15.039999961853027
2017-12-15,14.84000015258789
2017-12-18,14.90999984741211
2017-12-19,14.300000190734863
2017-12-20,14.319999694824219
2017-12-21,14.020000457763672
2017-12-22,14.140000343322754
2017-12-26,14.5
2017-12-27,14.569999694824219
2017-12-28,14.479999542236328
2017-12-29,14.649999618530273
2018-01-02,14.630000114440918
2018-01-03,14.319999694824219
2018-01-04,14.649999618530273
2018-01-05,14.539999961853027
2018-01-08,14.3100004196167
2018-01-09,14.199999809265137
2018-01-10,14.180000305175781
2018-01-11,13.84000015258789
2018-01-12,14.029999732971191
2018-01-16,14.0
2018-01-17,14.010000228881836
2018-01-18,13.75
2018-01-19,13.84000015258789
2018-01-22,13.40999984741211
2018-01-23,13.65999984741211
2018-01-24,13.579999923706055
2018-01-25,13.8100004196167
2018-01-26,13.779999732971191
2018-01-29,13.369999885559082
2018-01-30,13.600000381469727
2018-01-31,13.489999771118164
2018-02-01,13.369999885559082
2018-02-02,13.210000038146973
2018-02-05,12.949999809265137
2018-02-06,12.039999961853027
2018-02-07,12.289999961853027
2018-02-08,12.130000114440918
2018-02-09,11.140000343322754
2018-02-12,11.029999732971191
2018-02-13,11.020000457763672
2018-02-14,11.0
2018-02-15,11.15999984741211
2018-02-16,11.170000076293945
2018-02-20,10.779999732971191
2018-02-21,10.970000267028809
2018-02-22,10.800000190734863
2018-02-23,11.069999694824219
2018-02-26,11.09000015258789
2018-02-27,11.15999984741211
2018-02-28,11.140000343322754
2018-03-01,10.949999809265137
2018-03-02,11.279999732971191
2018-03-05,11.09000015258789
2018-03-06,11.329999923706055
2018-03-07,11.210000038146973
2018-03-08,11.390000343322754
2018-03-09,11.489999771118164
2018-03-12,11.479999542236328
2018-03-13,11.5
2018-03-14,11.550000190734863
2018-03-15,11.40999984741211
2018-03-16,11.050000190734863
