,FDM
2011-11-01,19.260000228881836
2011-11-02,19.899999618530273
2011-11-03,20.350000381469727
2011-11-04,20.0
2011-11-07,20.1200008392334
2011-11-08,20.399999618530273
2011-11-09,19.34000015258789
2011-11-10,19.639999389648438
2011-11-11,19.940000534057617
2011-11-14,19.59000015258789
2011-11-15,19.979999542236328
2011-11-16,19.649999618530273
2011-11-17,19.239999771118164
2011-11-18,19.420000076293945
2011-11-21,18.989999771118164
2011-11-22,18.760000228881836
2011-11-23,18.18000030517578
2011-11-25,17.850000381469727
2011-11-28,18.549999237060547
2011-11-29,18.59000015258789
2011-11-30,19.780000686645508
2011-12-01,19.649999618530273
2011-12-02,19.8799991607666
2011-12-05,20.139999389648438
2011-12-06,20.200000762939453
2011-12-07,20.139999389648438
2011-12-08,19.559999465942383
2011-12-09,20.239999771118164
2011-12-12,19.8700008392334
2011-12-13,19.469999313354492
2011-12-14,19.440000534057617
2011-12-15,19.690000534057617
2011-12-16,19.760000228881836
2011-12-19,19.3799991607666
2011-12-20,20.15999984741211
2011-12-21,20.25
2011-12-22,20.329999923706055
2011-12-23,20.329999923706055
2011-12-27,20.3799991607666
2011-12-28,20.059999465942383
2011-12-29,20.209999084472656
2011-12-30,20.079999923706055
2012-01-03,20.479999542236328
2012-01-04,20.40999984741211
2012-01-05,20.489999771118164
2012-01-06,20.450000762939453
2012-01-09,20.40999984741211
2012-01-10,20.65999984741211
2012-01-11,20.709999084472656
2012-01-12,20.829999923706055
2012-01-13,20.719999313354492
2012-01-17,20.719999313354492
2012-01-18,21.100000381469727
2012-01-19,21.1200008392334
2012-01-20,21.309999465942383
2012-01-23,21.209999084472656
2012-01-24,21.389999389648438
2012-01-25,21.56999969482422
2012-01-26,21.540000915527344
2012-01-27,21.68000030517578
2012-01-30,21.520000457763672
2012-01-31,21.549999237060547
2012-02-01,21.989999771118164
2012-02-02,22.079999923706055
2012-02-03,22.610000610351562
2012-02-06,22.3700008392334
2012-02-07,22.360000610351562
2012-02-08,22.399999618530273
2012-02-09,22.239999771118164
2012-02-10,21.899999618530273
2012-02-13,22.25
2012-02-14,21.989999771118164
2012-02-15,21.84000015258789
2012-02-16,22.31999969482422
2012-02-17,22.420000076293945
2012-02-21,22.290000915527344
2012-02-22,22.100000381469727
2012-02-23,22.31999969482422
2012-02-24,22.219999313354492
2012-02-27,22.170000076293945
2012-02-28,22.040000915527344
2012-02-29,21.670000076293945
2012-03-01,21.700000762939453
2012-03-02,21.329999923706055
2012-03-05,21.389999389648438
2012-03-06,21.020000457763672
2012-03-07,21.270000457763672
2012-03-08,21.559999465942383
2012-03-09,21.899999618530273
2012-03-12,21.809999465942383
2012-03-13,22.34000015258789
2012-03-14,22.1299991607666
2012-03-15,22.260000228881836
2012-03-16,22.270000457763672
2012-03-19,22.549999237060547
2012-03-20,22.350000381469727
2012-03-21,22.459999084472656
2012-03-22,22.15999984741211
2012-03-23,22.34000015258789
2012-03-26,22.8799991607666
2012-03-27,22.850000381469727
2012-03-28,22.530000686645508
2012-03-29,22.56999969482422
2012-03-30,22.559999465942383
2012-04-02,22.799999237060547
2012-04-03,22.610000610351562
2012-04-04,22.149999618530273
2012-04-05,22.139999389648438
2012-04-09,21.739999771118164
2012-04-10,21.190000534057617
2012-04-11,21.549999237060547
2012-04-12,21.969999313354492
2012-04-13,21.540000915527344
2012-04-16,21.690000534057617
2012-04-17,22.110000610351562
2012-04-18,21.770000457763672
2012-04-19,21.549999237060547
2012-04-20,21.860000610351562
2012-04-23,21.459999084472656
2012-04-24,21.600000381469727
2012-04-25,22.049999237060547
2012-04-26,22.139999389648438
2012-04-27,22.389999389648438
2012-04-30,22.030000686645508
2012-05-01,21.8799991607666
2012-05-02,22.110000610351562
2012-05-03,21.81999969482422
2012-05-04,21.389999389648438
2012-05-07,21.440000534057617
2012-05-08,21.479999542236328
2012-05-09,21.239999771118164
2012-05-10,21.34000015258789
2012-05-11,21.299999237060547
2012-05-14,20.969999313354492
2012-05-15,20.959999084472656
2012-05-16,20.799999237060547
2012-05-17,20.520000457763672
2012-05-18,20.350000381469727
2012-05-21,20.700000762939453
2012-05-22,20.440000534057617
2012-05-23,20.600000381469727
2012-05-24,20.559999465942383
2012-05-25,20.59000015258789
2012-05-29,20.799999237060547
2012-05-30,20.540000915527344
2012-05-31,20.549999237060547
2012-06-01,19.989999771118164
2012-06-04,19.860000610351562
2012-06-05,19.950000762939453
2012-06-06,20.440000534057617
2012-06-07,20.399999618530273
2012-06-08,20.309999465942383
2012-06-11,20.3700008392334
2012-06-12,20.3700008392334
2012-06-13,20.1299991607666
2012-06-14,20.459999084472656
2012-06-15,20.729999542236328
2012-06-18,20.559999465942383
2012-06-19,20.969999313354492
2012-06-20,20.93000030517578
2012-06-21,20.280000686645508
2012-06-22,20.579999923706055
2012-06-25,20.31999969482422
2012-06-26,20.3799991607666
2012-06-27,20.6299991607666
2012-06-28,20.600000381469727
2012-06-29,21.329999923706055
2012-07-02,21.440000534057617
2012-07-03,21.860000610351562
2012-07-05,21.90999984741211
2012-07-06,21.579999923706055
2012-07-09,21.549999237060547
2012-07-10,21.43000030517578
2012-07-11,21.280000686645508
2012-07-12,21.329999923706055
2012-07-13,21.700000762939453
2012-07-16,21.579999923706055
2012-07-17,21.59000015258789
2012-07-18,21.610000610351562
2012-07-19,21.510000228881836
2012-07-20,21.18000030517578
2012-07-23,20.739999771118164
2012-07-24,20.5
2012-07-25,20.520000457763672
2012-07-26,20.639999389648438
2012-07-27,21.31999969482422
2012-07-30,21.139999389648438
2012-07-31,21.1299991607666
2012-08-01,20.920000076293945
2012-08-02,20.670000076293945
2012-08-03,21.329999923706055
2012-08-06,21.43000030517578
2012-08-07,21.520000457763672
2012-08-08,21.549999237060547
2012-08-09,21.56999969482422
2012-08-10,21.5
2012-08-13,21.399999618530273
2012-08-14,21.329999923706055
2012-08-15,21.549999237060547
2012-08-16,21.809999465942383
2012-08-17,21.969999313354492
2012-08-20,21.809999465942383
2012-08-21,21.770000457763672
2012-08-22,21.760000228881836
2012-08-23,21.450000762939453
2012-08-24,21.549999237060547
2012-08-27,21.520000457763672
2012-08-28,21.610000610351562
2012-08-29,21.799999237060547
2012-08-30,21.56999969482422
2012-08-31,21.59000015258789
2012-09-04,21.719999313354492
2012-09-05,21.65999984741211
2012-09-06,22.030000686645508
2012-09-07,22.170000076293945
2012-09-10,22.25
2012-09-11,22.229999542236328
2012-09-12,22.31999969482422
