,CHRW
2002-02-25,14.569999694824219
2002-02-26,14.619999885559082
2002-02-27,14.835000038146973
2002-02-28,14.550000190734863
2002-03-01,14.824999809265137
2002-03-04,15.164999961853027
2002-03-05,15.204999923706055
2002-03-06,15.335000038146973
2002-03-07,15.324999809265137
2002-03-08,15.579999923706055
2002-03-11,15.489999771118164
2002-03-12,15.300000190734863
2002-03-13,15.479999542236328
2002-03-14,15.524999618530273
2002-03-15,15.699999809265137
2002-03-18,15.704999923706055
2002-03-19,15.819999694824219
2002-03-20,16.0
2002-03-21,15.755000114440918
2002-03-22,16.21500015258789
2002-03-25,16.389999389648438
2002-03-26,16.469999313354492
2002-03-27,16.75
2002-03-28,16.799999237060547
2002-04-01,16.735000610351562
2002-04-02,16.475000381469727
2002-04-03,16.165000915527344
