,ACWX
2013-07-23,43.31999969482422
2013-07-24,43.130001068115234
2013-07-25,43.2400016784668
2013-07-26,43.060001373291016
2013-07-29,42.63999938964844
2013-07-30,42.529998779296875
2013-07-31,42.560001373291016
2013-08-01,43.13999938964844
2013-08-02,43.380001068115234
2013-08-05,43.25
2013-08-06,43.11000061035156
2013-08-07,42.849998474121094
2013-08-08,43.310001373291016
2013-08-09,43.43000030517578
2013-08-12,43.43000030517578
2013-08-13,43.720001220703125
2013-08-14,43.7400016784668
2013-08-15,43.38999938964844
2013-08-16,43.40999984741211
2013-08-19,43.02000045776367
2013-08-20,42.93000030517578
2013-08-21,42.349998474121094
2013-08-22,42.810001373291016
2013-08-23,43.150001525878906
2013-08-26,42.86000061035156
2013-08-27,42.130001068115234
2013-08-28,42.13999938964844
2013-08-29,42.119998931884766
2013-08-30,41.880001068115234
2013-09-03,42.47999954223633
2013-09-04,42.849998474121094
2013-09-05,42.959999084472656
2013-09-06,43.25
2013-09-09,43.91999816894531
2013-09-10,44.34000015258789
2013-09-11,44.5
2013-09-12,44.189998626708984
2013-09-13,44.400001525878906
2013-09-16,44.77000045776367
2013-09-17,44.81999969482422
2013-09-18,46.040000915527344
2013-09-19,45.83000183105469
2013-09-20,45.349998474121094
2013-09-23,45.349998474121094
2013-09-24,45.2400016784668
2013-09-25,45.2599983215332
