,AXNX
2020-05-11,34.91999816894531
2020-05-12,34.58000183105469
2020-05-13,34.88999938964844
2020-05-14,35.5099983215332
2020-05-15,35.810001373291016
2020-05-18,38.2599983215332
2020-05-19,39.81999969482422
2020-05-20,39.540000915527344
2020-05-21,38.650001525878906
2020-05-22,38.84000015258789
2020-05-26,38.0
2020-05-27,37.15999984741211
2020-05-28,35.90999984741211
2020-05-29,36.66999816894531
2020-06-01,36.880001068115234
2020-06-02,37.599998474121094
2020-06-03,38.33000183105469
2020-06-04,37.5099983215332
2020-06-05,39.529998779296875
2020-06-08,39.2400016784668
2020-06-09,37.43000030517578
2020-06-10,38.0
2020-06-11,35.459999084472656
2020-06-12,35.97999954223633
2020-06-15,38.220001220703125
2020-06-16,39.65999984741211
2020-06-17,39.83000183105469
2020-06-18,38.93000030517578
2020-06-19,37.689998626708984
2020-06-22,36.95000076293945
2020-06-23,38.4900016784668
2020-06-24,35.11000061035156
2020-06-25,34.88999938964844
2020-06-26,32.959999084472656
2020-06-29,34.5
2020-06-30,35.11000061035156
2020-07-01,36.40999984741211
2020-07-02,37.869998931884766
2020-07-06,39.25
2020-07-07,39.4900016784668
2020-07-08,40.41999816894531
2020-07-09,41.279998779296875
2020-07-10,39.34000015258789
2020-07-13,37.709999084472656
2020-07-14,36.97999954223633
2020-07-15,39.83000183105469
2020-07-16,39.65999984741211
2020-07-17,40.0
2020-07-20,39.150001525878906
2020-07-21,40.79999923706055
2020-07-22,40.349998474121094
2020-07-23,39.900001525878906
2020-07-24,39.130001068115234
2020-07-27,41.04999923706055
2020-07-28,42.130001068115234
2020-07-29,42.810001373291016
2020-07-30,42.369998931884766
2020-07-31,42.36000061035156
2020-08-03,43.2400016784668
2020-08-04,43.0
2020-08-05,44.47999954223633
2020-08-06,43.29999923706055
2020-08-07,44.06999969482422
2020-08-10,44.0
2020-08-11,41.0099983215332
2020-08-12,43.02000045776367
2020-08-13,43.66999816894531
2020-08-14,43.040000915527344
2020-08-17,44.0099983215332
2020-08-18,43.7599983215332
2020-08-19,44.02000045776367
2020-08-20,44.34000015258789
2020-08-21,44.25
2020-08-24,42.040000915527344
2020-08-25,43.310001373291016
2020-08-26,43.68000030517578
2020-08-27,43.349998474121094
2020-08-28,43.130001068115234
2020-08-31,42.2599983215332
2020-09-01,41.209999084472656
2020-09-02,40.59000015258789
2020-09-03,37.880001068115234
2020-09-04,36.04999923706055
2020-09-08,35.33000183105469
2020-09-09,38.20000076293945
2020-09-10,37.650001525878906
2020-09-11,38.439998626708984
2020-09-14,41.75
2020-09-15,41.779998779296875
2020-09-16,41.709999084472656
2020-09-17,42.290000915527344
2020-09-18,43.029998779296875
2020-09-21,42.7599983215332
2020-09-22,43.970001220703125
2020-09-23,44.279998779296875
2020-09-24,43.88999938964844
2020-09-25,45.279998779296875
2020-09-28,45.900001525878906
2020-09-29,49.290000915527344
2020-09-30,51.040000915527344
2020-10-01,50.88999938964844
2020-10-02,48.70000076293945
2020-10-05,48.34000015258789
2020-10-06,47.849998474121094
2020-10-07,48.70000076293945
2020-10-08,50.209999084472656
2020-10-09,50.95000076293945
2020-10-12,50.310001373291016
2020-10-13,48.68000030517578
2020-10-14,48.13999938964844
2020-10-15,48.0099983215332
2020-10-16,48.11000061035156
2020-10-19,47.709999084472656
2020-10-20,46.95000076293945
2020-10-21,46.290000915527344
2020-10-22,48.52000045776367
2020-10-23,49.939998626708984
2020-10-26,49.93000030517578
2020-10-27,50.31999969482422
2020-10-28,48.88999938964844
2020-10-29,48.869998931884766
2020-10-30,46.88999938964844
2020-11-02,46.060001373291016
2020-11-03,48.83000183105469
2020-11-04,51.5
2020-11-05,46.97999954223633
2020-11-06,47.779998779296875
2020-11-09,47.43000030517578
2020-11-10,44.88999938964844
2020-11-11,45.33000183105469
2020-11-12,45.9900016784668
2020-11-13,45.810001373291016
2020-11-16,46.63999938964844
2020-11-17,44.72999954223633
