,BFI
2019-07-24,10.319999694824219
2019-07-25,10.300000190734863
2019-07-26,10.300000190734863
2019-07-29,10.300000190734863
2019-07-30,10.3100004196167
2019-07-31,10.350000381469727
2019-08-01,10.350000381469727
2019-08-02,10.380000114440918
2019-08-05,10.369999885559082
2019-08-06,10.369999885559082
2019-08-07,10.369999885559082
2019-08-08,10.369000434875488
2019-08-09,10.369000434875488
2019-08-12,10.359999656677246
2019-08-13,10.359999656677246
2019-08-14,10.359999656677246
2019-08-15,10.359999656677246
2019-08-16,10.359999656677246
2019-08-19,10.359999656677246
2019-08-20,10.359999656677246
2019-08-21,10.359999656677246
2019-08-22,10.319999694824219
2019-08-23,10.329999923706055
2019-08-26,10.34000015258789
2019-08-27,10.34000015258789
2019-08-28,10.34000015258789
2019-08-29,10.34000015258789
2019-08-30,10.329999923706055
2019-09-03,10.3100004196167
2019-09-04,10.3100004196167
2019-09-05,10.34000015258789
2019-09-06,10.350000381469727
2019-09-09,10.34000015258789
2019-09-10,10.34000015258789
2019-09-11,10.350000381469727
2019-09-12,10.350000381469727
2019-09-13,10.350000381469727
2019-09-16,10.359999656677246
2019-09-17,10.359999656677246
2019-09-18,10.350000381469727
2019-09-19,10.359999656677246
2019-09-20,10.359999656677246
2019-09-23,10.359999656677246
2019-09-24,10.359999656677246
2019-09-25,10.359999656677246
2019-09-26,10.359999656677246
2019-09-27,10.34000015258789
2019-09-30,10.364999771118164
2019-10-01,10.364999771118164
2019-10-02,10.369999885559082
2019-10-03,10.364999771118164
2019-10-04,10.369999885559082
2019-10-07,10.369999885559082
2019-10-08,10.34000015258789
2019-10-09,10.380000114440918
2019-10-10,10.380000114440918
2019-10-11,10.380000114440918
2019-10-14,10.399999618530273
2019-10-15,10.435999870300293
2019-10-16,10.399999618530273
2019-10-17,10.399999618530273
2019-10-18,10.4399995803833
2019-10-21,10.4399995803833
2019-10-22,10.420000076293945
2019-10-23,10.399999618530273
2019-10-24,10.399999618530273
2019-10-25,10.399999618530273
2019-10-28,10.399999618530273
2019-10-29,10.40999984741211
2019-10-30,10.40999984741211
2019-10-31,10.399999618530273
2019-11-01,10.390000343322754
2019-11-04,10.399999618530273
2019-11-05,10.420000076293945
2019-11-06,10.420000076293945
2019-11-07,10.430000305175781
2019-11-08,10.430000305175781
2019-11-11,10.420000076293945
2019-11-12,10.4399995803833
2019-11-13,10.4399995803833
2019-11-14,10.430000305175781
2019-11-15,10.430000305175781
2019-11-18,10.42300033569336
2019-11-19,10.42300033569336
2019-11-20,10.42300033569336
2019-11-21,10.42300033569336
2019-11-22,10.4399995803833
2019-11-25,10.4399995803833
2019-11-26,10.449999809265137
2019-11-27,10.449999809265137
2019-11-29,10.460000038146973
2019-12-02,10.460000038146973
2019-12-03,10.460000038146973
2019-12-04,10.460000038146973
2019-12-05,10.460000038146973
2019-12-06,10.460000038146973
2019-12-09,10.449999809265137
2019-12-10,10.449999809265137
2019-12-11,10.449999809265137
2019-12-12,10.489999771118164
2019-12-13,10.460000038146973
2019-12-16,10.460000038146973
2019-12-17,10.460000038146973
2019-12-18,10.420000076293945
2019-12-19,10.449999809265137
2019-12-20,10.4399995803833
2019-12-23,10.449999809265137
2019-12-24,10.550000190734863
2019-12-26,10.539999961853027
2019-12-27,10.550000190734863
2019-12-30,10.529999732971191
2019-12-31,10.529999732971191
2020-01-02,10.529999732971191
2020-01-03,10.529999732971191
2020-01-06,10.529999732971191
2020-01-07,10.529999732971191
2020-01-08,10.529999732971191
2020-01-09,10.5
2020-01-10,10.531000137329102
2020-01-13,10.520000457763672
2020-01-14,10.520000457763672
2020-01-15,10.520000457763672
2020-01-16,10.520000457763672
2020-01-17,10.520000457763672
2020-01-21,10.520000457763672
2020-01-22,10.520000457763672
2020-01-23,10.529999732971191
2020-01-24,10.545999526977539
2020-01-27,10.54800033569336
2020-01-28,10.54800033569336
2020-01-29,10.54800033569336
2020-01-30,10.54800033569336
2020-01-31,10.54800033569336
2020-02-03,10.54800033569336
2020-02-04,10.54800033569336
2020-02-05,10.569999694824219
2020-02-06,10.529999732971191
2020-02-07,10.529999732971191
2020-02-10,10.529999732971191
2020-02-11,10.529999732971191
2020-02-12,10.569999694824219
2020-02-13,10.569999694824219
2020-02-14,10.5600004196167
2020-02-18,10.529999732971191
2020-02-19,10.529999732971191
2020-02-20,10.529999732971191
2020-02-21,10.529999732971191
2020-02-24,10.529999732971191
2020-02-25,10.529999732971191
2020-02-26,10.550000190734863
2020-02-27,10.550000190734863
2020-02-28,10.550000190734863
2020-03-02,10.550000190734863
2020-03-03,10.550000190734863
2020-03-04,10.550000190734863
2020-03-05,10.550000190734863
2020-03-06,10.550000190734863
2020-03-09,10.550000190734863
2020-03-10,10.550000190734863
2020-03-11,10.550000190734863
2020-03-12,10.550000190734863
2020-03-13,10.5
2020-03-16,10.5
2020-03-17,10.579999923706055
2020-03-18,10.640000343322754
2020-03-19,10.640000343322754
2020-03-20,10.640000343322754
2020-03-23,10.350000381469727
2020-03-24,10.350000381469727
2020-03-25,10.550000190734863
2020-03-26,10.550000190734863
2020-03-27,10.5600004196167
2020-03-30,10.5600004196167
2020-03-31,10.5600004196167
2020-04-01,10.64900016784668
2020-04-02,10.581999778747559
2020-04-03,10.581999778747559
2020-04-06,10.600000381469727
2020-04-07,10.600000381469727
2020-04-08,10.600000381469727
2020-04-09,10.569999694824219
2020-04-13,10.619999885559082
2020-04-14,10.579999923706055
2020-04-15,10.649999618530273
2020-04-16,10.649999618530273
2020-04-17,10.649999618530273
2020-04-20,10.623000144958496
2020-04-21,10.623000144958496
2020-04-22,10.619999885559082
2020-04-23,10.619999885559082
2020-04-24,10.619999885559082
2020-04-27,10.619999885559082
2020-04-28,10.619999885559082
2020-04-29,10.619999885559082
2020-04-30,11.149999618530273
2020-05-01,10.699999809265137
2020-05-04,10.699999809265137
2020-05-05,10.699999809265137
2020-05-06,10.699999809265137
2020-05-07,10.649999618530273
2020-05-08,10.649999618530273
2020-05-11,10.649999618530273
2020-05-12,10.649999618530273
2020-05-13,10.649999618530273
2020-05-14,10.649999618530273
2020-05-15,10.649999618530273
2020-05-18,10.649999618530273
2020-05-19,10.649999618530273
2020-05-20,10.649999618530273
2020-05-21,10.649999618530273
2020-05-22,10.649999618530273
2020-05-26,10.649999618530273
2020-05-27,10.649999618530273
2020-05-28,10.59000015258789
2020-05-29,10.59000015258789
2020-06-01,10.59000015258789
2020-06-02,10.59000015258789
2020-06-03,10.59000015258789
2020-06-04,10.59000015258789
2020-06-05,10.670000076293945
2020-06-08,10.819999694824219
2020-06-09,12.079999923706055
2020-06-10,13.25
2020-06-11,11.899999618530273
2020-06-12,11.949999809265137
