,UTG
2006-07-21,20.200000762939453
2006-07-24,20.260000228881836
2006-07-25,20.360000610351562
2006-07-26,20.6299991607666
2006-07-27,20.75
2006-07-28,20.8700008392334
2006-07-31,20.899999618530273
2006-08-01,21.139999389648438
2006-08-02,21.110000610351562
2006-08-03,21.1299991607666
2006-08-04,20.950000762939453
2006-08-07,20.940000534057617
2006-08-08,21.030000686645508
2006-08-09,21.06999969482422
2006-08-10,21.049999237060547
2006-08-11,21.010000228881836
2006-08-14,20.709999084472656
2006-08-15,21.0
2006-08-16,20.950000762939453
2006-08-17,20.850000381469727
2006-08-18,21.059999465942383
2006-08-21,21.190000534057617
2006-08-22,21.219999313354492
2006-08-23,21.06999969482422
2006-08-24,21.020000457763672
2006-08-25,21.200000762939453
2006-08-28,21.25
2006-08-29,21.3700008392334
2006-08-30,21.25
2006-08-31,21.5
2006-09-01,21.479999542236328
2006-09-05,21.31999969482422
2006-09-06,21.3700008392334
2006-09-07,21.239999771118164
2006-09-08,21.420000076293945
2006-09-11,21.280000686645508
2006-09-12,21.09000015258789
2006-09-13,21.110000610351562
2006-09-14,20.950000762939453
2006-09-15,21.139999389648438
2006-09-18,20.950000762939453
2006-09-19,20.940000534057617
2006-09-20,21.0
2006-09-21,20.889999389648438
2006-09-22,21.010000228881836
2006-09-25,21.389999389648438
2006-09-26,21.270000457763672
2006-09-27,21.5
2006-09-28,21.229999542236328
2006-09-29,21.09000015258789
2006-10-02,21.3799991607666
2006-10-03,21.5
2006-10-04,21.65999984741211
2006-10-05,21.540000915527344
2006-10-06,21.59000015258789
2006-10-09,21.34000015258789
2006-10-10,21.559999465942383
2006-10-11,21.549999237060547
2006-10-12,21.450000762939453
2006-10-13,21.540000915527344
2006-10-16,21.829999923706055
2006-10-17,21.979999542236328
2006-10-18,22.239999771118164
2006-10-19,22.110000610351562
2006-10-20,22.239999771118164
2006-10-23,22.360000610351562
2006-10-24,22.170000076293945
2006-10-25,22.6299991607666
2006-10-26,22.43000030517578
2006-10-27,22.450000762939453
2006-10-30,22.350000381469727
2006-10-31,22.450000762939453
2006-11-01,22.690000534057617
2006-11-02,22.5
2006-11-03,22.299999237060547
2006-11-06,22.239999771118164
2006-11-07,22.3799991607666
2006-11-08,22.40999984741211
2006-11-09,22.389999389648438
2006-11-10,22.690000534057617
2006-11-13,22.299999237060547
2006-11-14,22.350000381469727
2006-11-15,22.3799991607666
2006-11-16,22.510000228881836
2006-11-17,22.520000457763672
2006-11-20,22.5
2006-11-21,22.399999618530273
2006-11-22,22.739999771118164
2006-11-24,22.719999313354492
2006-11-27,22.549999237060547
2006-11-28,22.649999618530273
2006-11-29,22.84000015258789
2006-11-30,22.90999984741211
2006-12-01,23.149999618530273
2006-12-04,23.540000915527344
2006-12-05,23.540000915527344
2006-12-06,23.649999618530273
2006-12-07,23.43000030517578
2006-12-08,23.110000610351562
2006-12-11,23.670000076293945
2006-12-12,23.93000030517578
2006-12-13,23.809999465942383
2006-12-14,23.739999771118164
2006-12-15,24.350000381469727
2006-12-18,24.350000381469727
2006-12-19,24.360000610351562
2006-12-20,24.420000076293945
2006-12-21,24.520000457763672
2006-12-22,24.479999542236328
2006-12-26,24.530000686645508
2006-12-27,24.43000030517578
2006-12-28,24.260000228881836
2006-12-29,24.1299991607666
2007-01-03,24.18000030517578
2007-01-04,24.190000534057617
2007-01-05,23.649999618530273
2007-01-08,23.829999923706055
2007-01-09,23.5
2007-01-10,23.270000457763672
2007-01-11,23.299999237060547
2007-01-12,23.350000381469727
2007-01-16,23.639999389648438
2007-01-17,23.3799991607666
2007-01-18,23.270000457763672
2007-01-19,23.290000915527344
2007-01-22,23.219999313354492
2007-01-23,23.299999237060547
2007-01-24,23.5
2007-01-25,23.549999237060547
2007-01-26,23.719999313354492
2007-01-29,23.899999618530273
2007-01-30,23.899999618530273
2007-01-31,23.739999771118164
2007-02-01,24.399999618530273
2007-02-02,24.459999084472656
2007-02-05,24.540000915527344
2007-02-06,24.920000076293945
2007-02-07,25.0
2007-02-08,25.020000457763672
2007-02-09,24.989999771118164
2007-02-12,24.68000030517578
2007-02-13,24.729999542236328
2007-02-14,24.510000228881836
2007-02-15,24.219999313354492
2007-02-16,24.219999313354492
2007-02-20,24.329999923706055
2007-02-21,24.149999618530273
2007-02-22,24.149999618530273
2007-02-23,24.530000686645508
2007-02-26,25.0
2007-02-27,24.399999618530273
2007-02-28,24.649999618530273
2007-03-01,24.479999542236328
2007-03-02,24.1299991607666
2007-03-05,23.56999969482422
2007-03-06,23.75
2007-03-07,23.889999389648438
2007-03-08,24.049999237060547
2007-03-09,23.739999771118164
2007-03-12,23.899999618530273
2007-03-13,23.899999618530273
2007-03-14,23.610000610351562
2007-03-15,24.0
2007-03-16,24.049999237060547
2007-03-19,24.43000030517578
2007-03-20,24.31999969482422
2007-03-21,24.719999313354492
2007-03-22,24.889999389648438
2007-03-23,24.729999542236328
2007-03-26,24.799999237060547
2007-03-27,24.84000015258789
2007-03-28,24.8799991607666
2007-03-29,24.770000457763672
2007-03-30,24.979999542236328
2007-04-02,25.450000762939453
2007-04-03,25.479999542236328
2007-04-04,25.6200008392334
2007-04-05,25.600000381469727
2007-04-09,26.010000228881836
2007-04-10,26.149999618530273
2007-04-11,25.850000381469727
2007-04-12,25.600000381469727
2007-04-13,25.59000015258789
2007-04-16,25.59000015258789
2007-04-17,25.639999389648438
2007-04-18,25.709999084472656
2007-04-19,25.600000381469727
2007-04-20,25.719999313354492
2007-04-23,25.899999618530273
2007-04-24,25.940000534057617
2007-04-25,26.0
2007-04-26,26.139999389648438
2007-04-27,26.15999984741211
2007-04-30,25.899999618530273
2007-05-01,26.09000015258789
2007-05-02,26.18000030517578
2007-05-03,26.31999969482422
2007-05-04,26.229999542236328
2007-05-07,26.3700008392334
2007-05-08,26.239999771118164
2007-05-09,26.260000228881836
2007-05-10,26.0
2007-05-11,26.020000457763672
2007-05-14,26.030000686645508
2007-05-15,26.0
2007-05-16,26.31999969482422
2007-05-17,26.290000915527344
2007-05-18,26.479999542236328
2007-05-21,26.6200008392334
2007-05-22,26.56999969482422
2007-05-23,26.3700008392334
2007-05-24,25.950000762939453
2007-05-25,25.920000076293945
2007-05-29,26.020000457763672
2007-05-30,26.450000762939453
2007-05-31,26.350000381469727
2007-06-01,26.280000686645508
2007-06-04,26.290000915527344
2007-06-05,26.030000686645508
2007-06-06,25.559999465942383
2007-06-07,24.850000381469727
2007-06-08,25.06999969482422
2007-06-11,25.360000610351562
2007-06-12,24.920000076293945
2007-06-13,25.1200008392334
2007-06-14,25.260000228881836
2007-06-15,25.530000686645508
2007-06-18,25.43000030517578
2007-06-19,25.420000076293945
2007-06-20,24.690000534057617
2007-06-21,25.010000228881836
2007-06-22,24.84000015258789
2007-06-25,24.809999465942383
2007-06-26,24.6200008392334
2007-06-27,25.06999969482422
2007-06-28,25.239999771118164
2007-06-29,25.15999984741211
2007-07-02,25.790000915527344
2007-07-03,25.850000381469727
2007-07-05,25.799999237060547
2007-07-06,25.799999237060547
2007-07-09,25.8700008392334
2007-07-10,25.6200008392334
2007-07-11,25.40999984741211
2007-07-12,25.809999465942383
2007-07-13,26.040000915527344
2007-07-16,25.760000228881836
2007-07-17,25.649999618530273
2007-07-18,25.639999389648438
2007-07-19,26.0
2007-07-20,25.65999984741211
2007-07-23,25.940000534057617
2007-07-24,25.100000381469727
2007-07-25,25.280000686645508
2007-07-26,24.520000457763672
2007-07-27,24.209999084472656
2007-07-30,24.209999084472656
2007-07-31,24.280000686645508
2007-08-01,24.5
2007-08-02,24.6299991607666
2007-08-03,24.059999465942383
2007-08-06,24.06999969482422
2007-08-07,24.479999542236328
2007-08-08,24.760000228881836
2007-08-09,24.260000228881836
2007-08-10,23.920000076293945
2007-08-13,23.959999084472656
2007-08-14,23.520000457763672
2007-08-15,22.719999313354492
2007-08-16,22.25
2007-08-17,23.0
2007-08-20,23.520000457763672
2007-08-21,23.719999313354492
2007-08-22,24.0
2007-08-23,24.1200008392334
2007-08-24,24.3799991607666
2007-08-27,24.049999237060547
2007-08-28,23.600000381469727
2007-08-29,24.040000915527344
2007-08-30,24.229999542236328
2007-08-31,24.3799991607666
2007-09-04,24.690000534057617
2007-09-05,24.5
2007-09-06,24.530000686645508
2007-09-07,24.15999984741211
2007-09-10,24.309999465942383
2007-09-11,24.450000762939453
2007-09-12,24.459999084472656
2007-09-13,24.610000610351562
2007-09-14,24.56999969482422
2007-09-17,24.31999969482422
2007-09-18,24.8700008392334
2007-09-19,25.219999313354492
2007-09-20,25.260000228881836
2007-09-21,25.350000381469727
2007-09-24,25.40999984741211
2007-09-25,25.260000228881836
2007-09-26,25.399999618530273
