,CDL
2019-03-05,45.959999084472656
2019-03-06,45.720001220703125
2019-03-07,45.277000427246094
2019-03-08,45.327999114990234
2019-03-11,45.6609992980957
2019-03-12,45.79600143432617
2019-03-13,45.957000732421875
2019-03-14,45.959999084472656
2019-03-15,46.08000183105469
2019-03-18,46.15599822998047
2019-03-19,45.869998931884766
2019-03-20,45.53099822998047
2019-03-21,46.040000915527344
2019-03-22,45.38999938964844
2019-03-25,45.37799835205078
2019-03-26,45.79899978637695
2019-03-27,45.790000915527344
2019-03-28,45.76900100708008
2019-03-29,45.93299865722656
2019-04-01,46.441001892089844
2019-04-02,46.43600082397461
2019-04-03,46.54999923706055
2019-04-04,46.755001068115234
2019-04-05,47.0
2019-04-08,47.013999938964844
2019-04-09,46.643001556396484
2019-04-10,46.86399841308594
2019-04-11,46.91999816894531
2019-04-12,47.2400016784668
2019-04-15,47.17300033569336
2019-04-16,47.12900161743164
2019-04-17,47.09000015258789
2019-04-18,47.027000427246094
2019-04-22,46.777000427246094
2019-04-23,47.06999969482422
2019-04-24,47.06999969482422
2019-04-25,46.84000015258789
2019-04-26,46.97999954223633
2019-04-29,47.0099983215332
2019-04-30,47.33300018310547
2019-05-01,46.847999572753906
2019-05-02,46.7599983215332
2019-05-03,47.20000076293945
2019-05-06,46.90999984741211
2019-05-07,46.361000061035156
2019-05-08,46.08300018310547
2019-05-09,46.029998779296875
2019-05-10,46.222999572753906
2019-05-13,45.45600128173828
2019-05-14,45.88399887084961
2019-05-15,45.82400131225586
2019-05-16,46.04999923706055
2019-05-17,45.904998779296875
2019-05-20,45.869998931884766
2019-05-21,46.099998474121094
2019-05-22,45.96799850463867
2019-05-23,45.58000183105469
2019-05-24,45.75299835205078
2019-05-28,45.11000061035156
2019-05-29,44.88600158691406
2019-05-30,44.7599983215332
2019-05-31,44.279998779296875
2019-06-03,44.810001373291016
2019-06-04,45.625999450683594
2019-06-05,46.02799987792969
2019-06-06,46.25
2019-06-07,46.369998931884766
2019-06-10,46.36000061035156
2019-06-11,46.404998779296875
2019-06-12,46.349998474121094
2019-06-13,46.529998779296875
2019-06-14,46.61399841308594
2019-06-17,46.39799880981445
2019-06-18,46.689998626708984
2019-06-19,46.834999084472656
2019-06-20,47.29999923706055
2019-06-21,47.34000015258789
2019-06-24,47.03799819946289
2019-06-25,46.810001373291016
2019-06-26,46.5099983215332
2019-06-27,46.709999084472656
2019-06-28,46.95000076293945
2019-07-01,47.32500076293945
2019-07-02,47.310001373291016
2019-07-03,47.810001373291016
2019-07-05,47.75
2019-07-08,47.64799880981445
2019-07-09,47.507999420166016
2019-07-10,47.560001373291016
2019-07-11,47.52899932861328
2019-07-12,47.8120002746582
2019-07-15,47.73500061035156
2019-07-16,47.689998626708984
2019-07-17,47.27000045776367
2019-07-18,47.45000076293945
2019-07-19,47.34000015258789
2019-07-22,47.13999938964844
2019-07-23,47.52000045776367
2019-07-24,47.84000015258789
2019-07-25,47.58000183105469
2019-07-26,47.9900016784668
2019-07-29,47.85300064086914
2019-07-30,47.75
2019-07-31,47.61199951171875
2019-08-01,46.94200134277344
2019-08-02,46.779998779296875
2019-08-05,45.58300018310547
2019-08-06,45.89400100708008
2019-08-07,45.779998779296875
2019-08-08,46.52000045776367
2019-08-09,46.20000076293945
2019-08-12,45.68000030517578
2019-08-13,46.095001220703125
2019-08-14,44.880001068115234
2019-08-15,44.97100067138672
2019-08-16,45.53799819946289
2019-08-19,46.130001068115234
2019-08-20,45.599998474121094
2019-08-21,45.98400115966797
2019-08-22,46.15999984741211
2019-08-23,44.77899932861328
2019-08-26,45.2599983215332
2019-08-27,45.119998931884766
2019-08-28,45.45100021362305
2019-08-29,45.948001861572266
2019-08-30,46.18000030517578
2019-09-03,45.900001525878906
2019-09-04,46.382999420166016
2019-09-05,46.90800094604492
2019-09-06,46.96799850463867
2019-09-09,47.37099838256836
2019-09-10,47.650001525878906
2019-09-11,48.11600112915039
2019-09-12,48.19499969482422
2019-09-13,48.183998107910156
2019-09-16,48.0260009765625
2019-09-17,48.0369987487793
2019-09-18,48.03200149536133
2019-09-19,47.94599914550781
2019-09-20,47.93000030517578
2019-09-23,47.900001525878906
2019-09-24,47.529998779296875
2019-09-25,47.970001220703125
2019-09-26,47.86000061035156
2019-09-27,47.87799835205078
2019-09-30,48.02399826049805
2019-10-01,47.31700134277344
2019-10-02,46.39099884033203
2019-10-03,46.49399948120117
2019-10-04,47.04899978637695
2019-10-07,46.82600021362305
2019-10-08,46.01900100708008
2019-10-09,46.380001068115234
2019-10-10,46.65700149536133
2019-10-11,47.75199890136719
2019-10-14,47.236000061035156
2019-10-15,47.459999084472656
2019-10-16,47.209999084472656
2019-10-17,47.3129997253418
2019-10-18,47.57699966430664
2019-10-21,47.972999572753906
2019-10-22,48.31999969482422
2019-10-23,48.45199966430664
2019-10-24,48.263999938964844
2019-10-25,48.542999267578125
2019-10-28,48.68000030517578
2019-10-29,48.79999923706055
2019-10-30,48.5359992980957
2019-10-31,48.16699981689453
2019-11-01,48.834999084472656
2019-11-04,49.36199951171875
2019-11-05,49.650001525878906
2019-11-06,49.566001892089844
2019-11-07,49.689998626708984
2019-11-08,49.79399871826172
2019-11-11,49.611000061035156
2019-11-12,49.54399871826172
2019-11-13,49.279998779296875
2019-11-14,49.29199981689453
2019-11-15,49.566001892089844
2019-11-18,49.49800109863281
2019-11-19,49.26900100708008
2019-11-20,49.02899932861328
2019-11-21,49.01100158691406
2019-11-22,49.244998931884766
2019-11-25,49.54600143432617
2019-11-26,49.44499969482422
2019-11-27,49.68299865722656
2019-11-29,49.5
2019-12-02,49.242000579833984
2019-12-03,48.755001068115234
2019-12-04,49.099998474121094
2019-12-05,49.2599983215332
2019-12-06,49.75
2019-12-09,49.67399978637695
2019-12-10,49.54999923706055
2019-12-11,49.599998474121094
2019-12-12,50.2599983215332
2019-12-13,50.14400100708008
2019-12-16,50.4640007019043
2019-12-17,50.6510009765625
2019-12-18,50.36600112915039
2019-12-19,50.37099838256836
2019-12-20,50.66400146484375
2019-12-23,50.58000183105469
2019-12-24,50.516998291015625
2019-12-26,50.61199951171875
2019-12-27,50.560001373291016
2019-12-30,50.41899871826172
2019-12-31,50.599998474121094
2020-01-02,50.5099983215332
2020-01-03,50.19300079345703
2020-01-06,50.130001068115234
2020-01-07,50.01499938964844
2020-01-08,50.064998626708984
2020-01-09,50.17900085449219
2020-01-10,50.00699996948242
2020-01-13,50.33100128173828
2020-01-14,50.39799880981445
2020-01-15,50.35100173950195
2020-01-16,50.810001373291016
2020-01-17,50.97200012207031
2020-01-21,50.630001068115234
2020-01-22,50.62200164794922
2020-01-23,50.77199935913086
2020-01-24,50.19900131225586
2020-01-27,49.42399978637695
2020-01-28,49.7869987487793
2020-01-29,49.625
2020-01-30,49.790000915527344
2020-01-31,48.92300033569336
2020-02-03,49.11899948120117
2020-02-04,49.59400177001953
2020-02-05,50.529998779296875
2020-02-06,50.430999755859375
2020-02-07,50.005001068115234
2020-02-10,50.13800048828125
2020-02-11,50.46900177001953
2020-02-12,50.59000015258789
2020-02-13,50.457000732421875
2020-02-14,50.31999969482422
2020-02-18,50.08000183105469
2020-02-19,50.220001220703125
2020-02-20,50.34000015258789
2020-02-21,49.91899871826172
2020-02-24,48.540000915527344
2020-02-25,46.9900016784668
2020-02-26,46.44499969482422
2020-02-27,44.566001892089844
2020-02-28,43.375
2020-03-02,45.400001525878906
2020-03-03,44.38999938964844
2020-03-04,45.87900161743164
2020-03-05,44.33000183105469
2020-03-06,43.448001861572266
2020-03-09,39.29999923706055
2020-03-10,40.849998474121094
2020-03-11,38.62099838256836
2020-03-12,34.77199935913086
2020-03-13,37.17300033569336
2020-03-16,33.417999267578125
2020-03-17,35.4640007019043
2020-03-18,33.02799987792969
2020-03-19,33.08399963378906
2020-03-20,31.57200050354004
2020-03-23,29.886999130249023
2020-03-24,32.84600067138672
2020-03-25,33.53499984741211
2020-03-26,35.95899963378906
2020-03-27,35.01599884033203
2020-03-30,35.893001556396484
2020-03-31,35.20800018310547
2020-04-01,33.444000244140625
2020-04-02,34.202999114990234
2020-04-03,33.39899826049805
2020-04-06,35.8849983215332
2020-04-07,35.790000915527344
2020-04-08,37.5880012512207
2020-04-09,38.72100067138672
2020-04-13,37.757999420166016
2020-04-14,38.28900146484375
2020-04-15,36.63600158691406
2020-04-16,36.387001037597656
2020-04-17,37.97999954223633
2020-04-20,37.21500015258789
2020-04-21,36.2599983215332
2020-04-22,36.8390007019043
2020-04-23,36.85599899291992
2020-04-24,37.31100082397461
2020-04-27,38.46200180053711
2020-04-28,39.00600051879883
2020-04-29,40.05400085449219
2020-04-30,38.84199905395508
2020-05-01,37.430999755859375
2020-05-04,37.43000030517578
2020-05-05,37.505001068115234
2020-05-06,36.810001373291016
2020-05-07,37.0890007019043
2020-05-08,38.3129997253418
2020-05-11,37.82600021362305
2020-05-12,36.869998931884766
2020-05-13,35.64899826049805
2020-05-14,36.183998107910156
2020-05-15,36.12200164794922
2020-05-18,37.92499923706055
2020-05-19,37.233001708984375
2020-05-20,37.83599853515625
2020-05-21,37.564998626708984
2020-05-22,37.547000885009766
2020-05-26,38.95399856567383
2020-05-27,40.14400100708008
2020-05-28,39.82699966430664
2020-05-29,39.77000045776367
2020-06-01,40.13199996948242
2020-06-02,40.57600021362305
2020-06-03,41.54899978637695
2020-06-04,41.89400100708008
2020-06-05,43.26599884033203
2020-06-08,44.44300079345703
2020-06-09,43.441001892089844
2020-06-10,42.13999938964844
2020-06-11,39.236000061035156
2020-06-12,39.930999755859375
2020-06-15,40.26300048828125
2020-06-16,41.10499954223633
2020-06-17,40.68299865722656
2020-06-18,40.63999938964844
2020-06-19,40.191001892089844
2020-06-22,40.066001892089844
2020-06-23,40.0369987487793
2020-06-24,38.75299835205078
2020-06-25,39.09000015258789
2020-06-26,38.19599914550781
2020-06-29,38.93600082397461
2020-06-30,39.529998779296875
2020-07-01,39.20899963378906
2020-07-02,39.40299987792969
2020-07-06,39.744998931884766
2020-07-07,39.112998962402344
2020-07-08,39.02000045776367
2020-07-09,38.15999984741211
2020-07-10,39.12300109863281
2020-07-13,39.27899932861328
2020-07-14,39.707000732421875
2020-07-15,40.42900085449219
2020-07-16,40.555999755859375
2020-07-17,40.577999114990234
2020-07-20,39.95000076293945
2020-07-21,40.625
2020-07-22,40.902000427246094
2020-07-23,41.0880012512207
2020-07-24,40.78300094604492
2020-07-27,40.694000244140625
2020-07-28,40.619998931884766
2020-07-29,41.17599868774414
2020-07-30,40.7239990234375
2020-07-31,40.62699890136719
2020-08-03,40.75
2020-08-04,40.80500030517578
2020-08-05,41.01499938964844
2020-08-06,40.94300079345703
2020-08-07,41.513999938964844
2020-08-10,42.16999816894531
2020-08-11,42.132999420166016
2020-08-12,42.290000915527344
2020-08-13,41.87099838256836
2020-08-14,41.986000061035156
2020-08-17,41.814998626708984
2020-08-18,41.45399856567383
2020-08-19,41.33000183105469
2020-08-20,40.974998474121094
2020-08-21,40.87699890136719
2020-08-24,41.71500015258789
2020-08-25,41.63800048828125
