,FNWB
2017-04-21,15.880000114440918
2017-04-24,16.1299991607666
2017-04-25,16.389999389648438
2017-04-26,16.959999084472656
2017-04-27,16.719999313354492
2017-04-28,16.459999084472656
2017-05-01,16.479999542236328
2017-05-02,16.8799991607666
2017-05-03,16.809999465942383
2017-05-04,16.959999084472656
2017-05-05,16.770000457763672
2017-05-08,16.790000915527344
2017-05-09,16.790000915527344
2017-05-10,16.479999542236328
2017-05-11,16.31999969482422
2017-05-12,16.200000762939453
2017-05-15,16.440000534057617
2017-05-16,16.479999542236328
2017-05-17,15.869999885559082
2017-05-18,16.309999465942383
2017-05-19,16.219999313354492
2017-05-22,16.450000762939453
2017-05-23,16.6200008392334
2017-05-24,16.639999389648438
2017-05-25,16.59000015258789
2017-05-26,16.510000228881836
2017-05-30,16.399999618530273
2017-05-31,16.31999969482422
2017-06-01,16.6200008392334
2017-06-02,16.739999771118164
2017-06-05,16.68000030517578
2017-06-06,16.559999465942383
2017-06-07,16.3799991607666
2017-06-08,16.65999984741211
2017-06-09,16.989999771118164
2017-06-12,16.829999923706055
2017-06-13,16.84000015258789
2017-06-14,16.84000015258789
2017-06-15,16.8799991607666
2017-06-16,16.920000076293945
2017-06-19,16.799999237060547
2017-06-20,16.6299991607666
2017-06-21,16.579999923706055
2017-06-22,16.549999237060547
2017-06-23,16.219999313354492
2017-06-26,15.920000076293945
2017-06-27,15.710000038146973
2017-06-28,15.970000267028809
2017-06-29,15.979999542236328
2017-06-30,15.770000457763672
2017-07-03,15.970000267028809
2017-07-05,15.989999771118164
2017-07-06,16.0
2017-07-07,16.06999969482422
2017-07-10,15.979999542236328
2017-07-11,15.819999694824219
2017-07-12,16.0
2017-07-13,16.31999969482422
2017-07-14,15.640000343322754
2017-07-17,15.369999885559082
2017-07-18,15.460000038146973
2017-07-19,15.529999732971191
2017-07-20,15.5600004196167
2017-07-21,15.579999923706055
2017-07-24,15.489999771118164
2017-07-25,15.779999732971191
2017-07-26,15.699999809265137
2017-07-27,15.670000076293945
2017-07-28,15.710000038146973
2017-07-31,15.25
2017-08-01,15.699999809265137
2017-08-02,15.260000228881836
2017-08-03,15.329999923706055
2017-08-04,15.430000305175781
2017-08-07,15.350000381469727
2017-08-08,15.579999923706055
2017-08-09,15.569999694824219
2017-08-10,15.5
2017-08-11,15.460000038146973
2017-08-14,15.890000343322754
2017-08-15,16.0
2017-08-16,16.059999465942383
2017-08-17,15.890000343322754
2017-08-18,15.949999809265137
2017-08-21,15.920000076293945
2017-08-22,15.949999809265137
2017-08-23,15.760000228881836
2017-08-24,15.930000305175781
2017-08-25,15.890000343322754
2017-08-28,15.8100004196167
2017-08-29,15.789999961853027
2017-08-30,15.850000381469727
2017-08-31,15.859999656677246
2017-09-01,15.680000305175781
2017-09-05,15.5
2017-09-06,15.520000457763672
2017-09-07,15.399999618530273
2017-09-08,15.329999923706055
2017-09-11,15.600000381469727
2017-09-12,15.680000305175781
