,CMRX
2018-10-25,3.509999990463257
2018-10-26,3.5299999713897705
2018-10-29,3.450000047683716
2018-10-30,3.5799999237060547
2018-10-31,3.490000009536743
2018-11-01,3.5199999809265137
2018-11-02,3.75
2018-11-05,3.700000047683716
2018-11-06,3.6600000858306885
2018-11-07,3.5899999141693115
2018-11-08,3.490000009536743
2018-11-09,3.319999933242798
2018-11-12,3.200000047683716
2018-11-13,3.1700000762939453
2018-11-14,3.309999942779541
2018-11-15,3.4000000953674316
2018-11-16,3.4000000953674316
2018-11-19,3.319999933242798
2018-11-20,3.299999952316284
2018-11-21,3.3299999237060547
2018-11-23,3.2699999809265137
2018-11-26,3.390000104904175
2018-11-27,3.3399999141693115
2018-11-28,3.4600000381469727
2018-11-29,3.3499999046325684
2018-11-30,3.2899999618530273
2018-12-03,3.2300000190734863
2018-12-04,3.25
2018-12-06,3.2200000286102295
2018-12-07,3.2899999618530273
2018-12-10,3.380000114440918
2018-12-11,3.430000066757202
2018-12-12,3.390000104904175
2018-12-13,3.359999895095825
2018-12-14,3.25
2018-12-17,3.0
2018-12-18,2.930000066757202
2018-12-19,2.7799999713897705
2018-12-20,2.4700000286102295
2018-12-21,2.309999942779541
2018-12-24,2.240000009536743
2018-12-26,2.299999952316284
2018-12-27,2.450000047683716
2018-12-28,2.559999942779541
2018-12-31,2.569999933242798
2019-01-02,2.680000066757202
2019-01-03,2.6600000858306885
2019-01-04,2.8499999046325684
2019-01-07,2.950000047683716
2019-01-08,3.119999885559082
2019-01-09,3.0299999713897705
2019-01-10,3.0
2019-01-11,3.069999933242798
2019-01-14,2.9800000190734863
2019-01-15,3.0299999713897705
2019-01-16,2.930000066757202
2019-01-17,2.890000104904175
2019-01-18,2.700000047683716
2019-01-22,2.5999999046325684
2019-01-23,2.4100000858306885
2019-01-24,2.490000009536743
2019-01-25,2.309999942779541
2019-01-28,2.1700000762939453
2019-01-29,2.140000104904175
2019-01-30,2.390000104904175
2019-01-31,2.3299999237060547
2019-02-01,2.3399999141693115
2019-02-04,2.440000057220459
2019-02-05,2.3299999237060547
2019-02-06,2.319999933242798
2019-02-07,2.119999885559082
2019-02-08,2.200000047683716
2019-02-11,2.25
2019-02-12,2.130000114440918
2019-02-13,2.119999885559082
2019-02-14,1.9700000286102295
2019-02-15,1.9900000095367432
2019-02-19,1.909999966621399
2019-02-20,1.9700000286102295
2019-02-21,1.9199999570846558
2019-02-22,1.9199999570846558
2019-02-25,1.9800000190734863
2019-02-26,2.0
2019-02-27,2.140000104904175
2019-02-28,2.0299999713897705
2019-03-01,2.2899999618530273
2019-03-04,2.299999952316284
2019-03-05,1.9299999475479126
2019-03-06,1.8899999856948853
2019-03-07,1.809999942779541
2019-03-08,1.7899999618530273
2019-03-11,1.8799999952316284
2019-03-12,1.840000033378601
2019-03-13,1.850000023841858
2019-03-14,1.9800000190734863
2019-03-15,2.049999952316284
2019-03-18,2.0199999809265137
2019-03-19,2.0299999713897705
2019-03-20,2.009999990463257
2019-03-21,2.0
2019-03-22,2.0
2019-03-25,2.0199999809265137
2019-03-26,2.1700000762939453
2019-03-27,2.119999885559082
2019-03-28,2.0899999141693115
2019-03-29,2.0999999046325684
2019-04-01,2.130000114440918
2019-04-02,2.119999885559082
2019-04-03,2.109999895095825
2019-04-04,2.0999999046325684
2019-04-05,2.049999952316284
2019-04-08,2.0899999141693115
2019-04-09,2.740000009536743
2019-04-10,2.799999952316284
2019-04-11,2.9000000953674316
2019-04-12,2.690000057220459
2019-04-15,2.640000104904175
2019-04-16,2.7100000381469727
2019-04-17,2.609999895095825
2019-04-18,2.619999885559082
2019-04-22,2.680000066757202
2019-04-23,2.7200000286102295
2019-04-24,2.5399999618530273
2019-04-25,2.5399999618530273
2019-04-26,2.5799999237060547
2019-04-29,2.740000009536743
2019-04-30,2.700000047683716
2019-05-01,2.7100000381469727
2019-05-02,2.5999999046325684
2019-05-03,2.700000047683716
2019-05-06,2.7799999713897705
2019-05-07,2.7300000190734863
2019-05-08,2.6700000762939453
2019-05-09,2.869999885559082
2019-05-10,3.119999885559082
2019-05-13,3.2899999618530273
2019-05-14,3.6600000858306885
2019-05-15,3.680000066757202
2019-05-16,3.6600000858306885
2019-05-17,3.5
2019-05-20,3.4100000858306885
2019-05-21,3.5
2019-05-22,3.490000009536743
2019-05-23,3.509999990463257
2019-05-24,3.5999999046325684
2019-05-28,3.609999895095825
2019-05-29,3.5999999046325684
2019-05-30,3.5
2019-05-31,3.4000000953674316
2019-06-03,3.3399999141693115
2019-06-04,3.380000114440918
2019-06-05,3.2300000190734863
2019-06-06,3.2200000286102295
