,CHW
2017-08-18,8.539999961853027
2017-08-21,8.539999961853027
2017-08-22,8.619999885559082
2017-08-23,8.600000381469727
2017-08-24,8.640000343322754
2017-08-25,8.739999771118164
2017-08-28,8.779999732971191
2017-08-29,8.729999542236328
2017-08-30,8.800000190734863
2017-08-31,8.789999961853027
2017-09-01,8.890000343322754
2017-09-05,8.739999771118164
2017-09-06,8.789999961853027
2017-09-07,8.84000015258789
2017-09-08,8.800000190734863
2017-09-11,8.789999961853027
2017-09-12,8.850000381469727
2017-09-13,8.850000381469727
2017-09-14,8.880000114440918
2017-09-15,8.850000381469727
2017-09-18,8.890000343322754
2017-09-19,8.979999542236328
2017-09-20,8.899999618530273
2017-09-21,8.899999618530273
2017-09-22,8.9399995803833
2017-09-25,8.960000038146973
2017-09-26,8.970000267028809
2017-09-27,8.970000267028809
2017-09-28,8.970000267028809
2017-09-29,9.039999961853027
2017-10-02,9.029999732971191
2017-10-03,9.050000190734863
2017-10-04,9.069999694824219
2017-10-05,9.180000305175781
2017-10-06,9.15999984741211
2017-10-09,9.15999984741211
2017-10-10,9.09000015258789
2017-10-11,9.050000190734863
2017-10-12,9.100000381469727
2017-10-13,9.15999984741211
2017-10-16,9.130000114440918
2017-10-17,9.170000076293945
2017-10-18,9.069999694824219
2017-10-19,9.119999885559082
2017-10-20,9.109999656677246
2017-10-23,9.069999694824219
2017-10-24,9.130000114440918
2017-10-25,9.0600004196167
2017-10-26,8.970000267028809
2017-10-27,9.010000228881836
2017-10-30,9.039999961853027
2017-10-31,9.130000114440918
2017-11-01,9.149999618530273
2017-11-02,9.119999885559082
2017-11-03,9.3100004196167
2017-11-06,9.229999542236328
2017-11-07,9.270000457763672
2017-11-08,9.279999732971191
2017-11-09,9.130000114440918
2017-11-10,9.100000381469727
2017-11-13,9.020000457763672
2017-11-14,8.880000114440918
2017-11-15,8.819999694824219
2017-11-16,9.0
2017-11-17,8.899999618530273
2017-11-20,8.970000267028809
2017-11-21,9.079999923706055
2017-11-22,9.140000343322754
2017-11-24,9.1899995803833
2017-11-27,9.100000381469727
2017-11-28,9.109999656677246
2017-11-29,9.109999656677246
2017-11-30,9.119999885559082
2017-12-01,9.109999656677246
2017-12-04,9.09000015258789
2017-12-05,9.079999923706055
2017-12-06,9.020000457763672
2017-12-07,9.0600004196167
2017-12-08,9.020000457763672
2017-12-11,9.029999732971191
2017-12-12,9.0
2017-12-13,9.010000228881836
2017-12-14,8.979999542236328
2017-12-15,8.979999542236328
2017-12-18,9.079999923706055
2017-12-19,9.079999923706055
2017-12-20,9.09000015258789
2017-12-21,9.180000305175781
2017-12-22,9.25
2017-12-26,9.170000076293945
2017-12-27,9.220000267028809
2017-12-28,9.09000015258789
2017-12-29,9.079999923706055
2018-01-02,9.149999618530273
2018-01-03,9.239999771118164
2018-01-04,9.300000190734863
2018-01-05,9.399999618530273
2018-01-08,9.390000343322754
2018-01-09,9.350000381469727
2018-01-10,9.399999618530273
2018-01-11,9.4399995803833
2018-01-12,9.4399995803833
2018-01-16,9.40999984741211
2018-01-17,9.40999984741211
2018-01-18,9.430000305175781
2018-01-19,9.550000190734863
2018-01-22,9.630000114440918
2018-01-23,9.8100004196167
2018-01-24,9.789999961853027
2018-01-25,9.75
2018-01-26,9.819999694824219
2018-01-29,9.779999732971191
2018-01-30,9.579999923706055
2018-01-31,9.630000114440918
2018-02-01,9.539999961853027
2018-02-02,9.300000190734863
2018-02-05,8.760000228881836
2018-02-06,9.079999923706055
2018-02-07,9.1899995803833
2018-02-08,8.869999885559082
2018-02-09,8.819999694824219
2018-02-12,8.899999618530273
2018-02-13,8.979999542236328
2018-02-14,9.069999694824219
2018-02-15,9.279999732971191
2018-02-16,9.289999961853027
2018-02-20,9.199999809265137
2018-02-21,9.199999809265137
2018-02-22,9.25
2018-02-23,9.319999694824219
2018-02-26,9.329999923706055
2018-02-27,9.25
2018-02-28,9.130000114440918
2018-03-01,9.010000228881836
2018-03-02,9.039999961853027
2018-03-05,9.149999618530273
2018-03-06,9.180000305175781
2018-03-07,9.1899995803833
2018-03-08,9.270000457763672
2018-03-09,9.279999732971191
