,CHEF
2016-05-19,15.069999694824219
2016-05-20,15.1899995803833
2016-05-23,14.979999542236328
2016-05-24,15.59000015258789
2016-05-25,15.869999885559082
2016-05-26,15.84000015258789
2016-05-27,15.699999809265137
2016-05-31,15.180000305175781
2016-06-01,15.630000114440918
2016-06-02,15.949999809265137
2016-06-03,15.470000267028809
2016-06-06,15.779999732971191
2016-06-07,15.680000305175781
2016-06-08,15.829999923706055
2016-06-09,15.680000305175781
2016-06-10,15.229999542236328
2016-06-13,14.819999694824219
2016-06-14,14.9399995803833
2016-06-15,15.09000015258789
2016-06-16,15.300000190734863
2016-06-17,15.569999694824219
2016-06-20,15.359999656677246
2016-06-21,15.470000267028809
2016-06-22,15.220000267028809
2016-06-23,15.819999694824219
2016-06-24,15.510000228881836
2016-06-27,14.539999961853027
2016-06-28,14.710000038146973
2016-06-29,15.510000228881836
2016-06-30,16.0
2016-07-01,15.829999923706055
2016-07-05,15.4399995803833
2016-07-06,15.720000267028809
2016-07-07,15.869999885559082
2016-07-08,16.18000030517578
2016-07-11,16.270000457763672
2016-07-12,16.450000762939453
2016-07-13,16.31999969482422
2016-07-14,16.350000381469727
2016-07-15,16.350000381469727
2016-07-18,16.229999542236328
2016-07-19,16.360000610351562
2016-07-20,16.31999969482422
2016-07-21,16.110000610351562
2016-07-22,16.40999984741211
2016-07-25,16.34000015258789
2016-07-26,16.6299991607666
2016-07-27,16.719999313354492
2016-07-28,16.190000534057617
2016-07-29,16.149999618530273
2016-08-01,16.030000686645508
2016-08-02,16.149999618530273
2016-08-03,11.420000076293945
2016-08-04,10.489999771118164
2016-08-05,10.899999618530273
2016-08-08,11.619999885559082
2016-08-09,11.720000267028809
2016-08-10,11.649999618530273
2016-08-11,11.399999618530273
2016-08-12,11.350000381469727
2016-08-15,11.15999984741211
2016-08-16,10.890000343322754
2016-08-17,10.850000381469727
2016-08-18,10.970000267028809
2016-08-19,11.0
2016-08-22,11.180000305175781
2016-08-23,11.279999732971191
2016-08-24,11.210000038146973
2016-08-25,11.40999984741211
2016-08-26,11.319999694824219
2016-08-29,11.5
2016-08-30,11.329999923706055
2016-08-31,11.020000457763672
2016-09-01,11.300000190734863
2016-09-02,11.670000076293945
2016-09-06,12.0
2016-09-07,12.0
2016-09-08,12.0
2016-09-09,11.449999809265137
2016-09-12,11.539999961853027
2016-09-13,11.479999542236328
2016-09-14,11.710000038146973
2016-09-15,11.899999618530273
2016-09-16,11.760000228881836
2016-09-19,11.829999923706055
2016-09-20,11.84000015258789
2016-09-21,11.869999885559082
2016-09-22,11.970000267028809
2016-09-23,11.75
2016-09-26,11.15999984741211
2016-09-27,11.050000190734863
2016-09-28,11.0
2016-09-29,10.800000190734863
2016-09-30,11.140000343322754
2016-10-03,11.460000038146973
2016-10-04,11.510000228881836
2016-10-05,11.59000015258789
2016-10-06,11.710000038146973
2016-10-07,11.600000381469727
2016-10-10,11.75
2016-10-11,11.850000381469727
2016-10-12,12.25
2016-10-13,12.25
2016-10-14,12.800000190734863
2016-10-17,12.550000190734863
2016-10-18,12.449999809265137
2016-10-19,12.529999732971191
2016-10-20,12.5
2016-10-21,12.479999542236328
2016-10-24,12.600000381469727
2016-10-25,12.399999618530273
2016-10-26,12.100000381469727
2016-10-27,11.699999809265137
2016-10-28,11.399999618530273
2016-10-31,11.399999618530273
2016-11-01,11.149999618530273
2016-11-02,11.149999618530273
2016-11-03,11.350000381469727
2016-11-04,11.649999618530273
2016-11-07,11.350000381469727
2016-11-08,11.350000381469727
2016-11-09,12.25
2016-11-10,12.600000381469727
2016-11-11,12.850000381469727
2016-11-14,12.949999809265137
2016-11-15,12.850000381469727
2016-11-16,12.699999809265137
2016-11-17,12.649999618530273
2016-11-18,12.800000190734863
2016-11-21,13.0
2016-11-22,13.25
2016-11-23,13.300000190734863
2016-11-25,13.050000190734863
2016-11-28,13.300000190734863
2016-11-29,13.199999809265137
2016-11-30,12.949999809265137
2016-12-01,12.899999618530273
2016-12-02,13.199999809265137
2016-12-05,14.100000381469727
2016-12-06,13.949999809265137
2016-12-07,14.050000190734863
2016-12-08,14.5
2016-12-09,14.899999618530273
2016-12-12,14.5
2016-12-13,14.699999809265137
2016-12-14,14.600000381469727
2016-12-15,15.399999618530273
2016-12-16,15.449999809265137
2016-12-19,16.049999237060547
2016-12-20,16.149999618530273
2016-12-21,16.100000381469727
2016-12-22,15.600000381469727
2016-12-23,15.5
2016-12-27,15.399999618530273
2016-12-28,15.800000190734863
2016-12-29,16.149999618530273
2016-12-30,15.800000190734863
2017-01-03,15.649999618530273
2017-01-04,15.949999809265137
2017-01-05,16.0
2017-01-06,15.949999809265137
2017-01-09,16.0
2017-01-10,15.899999618530273
2017-01-11,15.5
2017-01-12,15.199999809265137
2017-01-13,15.449999809265137
2017-01-17,15.199999809265137
2017-01-18,15.25
2017-01-19,15.149999618530273
2017-01-20,15.25
2017-01-23,15.199999809265137
2017-01-24,15.75
2017-01-25,15.600000381469727
2017-01-26,16.049999237060547
2017-01-27,16.149999618530273
2017-01-30,16.75
2017-01-31,16.700000762939453
2017-02-01,16.700000762939453
2017-02-02,16.799999237060547
2017-02-03,16.850000381469727
2017-02-06,16.649999618530273
2017-02-07,16.75
2017-02-08,16.299999237060547
2017-02-09,16.450000762939453
2017-02-10,16.899999618530273
2017-02-13,16.649999618530273
2017-02-14,16.200000762939453
2017-02-15,16.049999237060547
2017-02-16,15.949999809265137
2017-02-17,15.800000190734863
2017-02-21,15.899999618530273
2017-02-22,15.25
2017-02-23,14.350000381469727
2017-02-24,15.050000190734863
2017-02-27,15.100000381469727
2017-02-28,14.0
2017-03-01,14.800000190734863
2017-03-02,14.800000190734863
2017-03-03,14.550000190734863
2017-03-06,14.75
2017-03-07,14.5
2017-03-08,14.5
2017-03-09,14.449999809265137
2017-03-10,14.300000190734863
2017-03-13,14.350000381469727
2017-03-14,14.300000190734863
2017-03-15,14.149999618530273
2017-03-16,14.199999809265137
2017-03-17,14.199999809265137
2017-03-20,14.0
2017-03-21,13.649999618530273
2017-03-22,13.600000381469727
2017-03-23,13.800000190734863
2017-03-24,13.949999809265137
2017-03-27,13.899999618530273
2017-03-28,13.850000381469727
2017-03-29,13.800000190734863
2017-03-30,13.850000381469727
2017-03-31,13.899999618530273
2017-04-03,13.550000190734863
2017-04-04,13.350000381469727
2017-04-05,13.25
2017-04-06,13.550000190734863
2017-04-07,14.0
2017-04-10,13.75
2017-04-11,14.0
2017-04-12,13.600000381469727
2017-04-13,13.600000381469727
2017-04-17,13.699999809265137
2017-04-18,13.699999809265137
2017-04-19,13.899999618530273
2017-04-20,13.949999809265137
2017-04-21,13.850000381469727
2017-04-24,13.949999809265137
2017-04-25,14.149999618530273
2017-04-26,14.350000381469727
2017-04-27,14.149999618530273
2017-04-28,13.649999618530273
2017-05-01,13.699999809265137
2017-05-02,13.75
2017-05-03,13.699999809265137
2017-05-04,13.75
2017-05-05,13.75
2017-05-08,13.649999618530273
2017-05-09,13.5
2017-05-10,14.949999809265137
2017-05-11,15.0
2017-05-12,14.5
2017-05-15,14.800000190734863
2017-05-16,14.850000381469727
2017-05-17,14.5
2017-05-18,14.199999809265137
2017-05-19,14.899999618530273
2017-05-22,15.949999809265137
2017-05-23,16.049999237060547
2017-05-24,15.850000381469727
2017-05-25,15.850000381469727
2017-05-26,15.949999809265137
2017-05-30,15.199999809265137
2017-05-31,15.149999618530273
2017-06-01,15.600000381469727
2017-06-02,15.600000381469727
2017-06-05,15.399999618530273
2017-06-06,15.25
2017-06-07,15.050000190734863
2017-06-08,15.199999809265137
2017-06-09,15.75
2017-06-12,15.649999618530273
2017-06-13,15.699999809265137
2017-06-14,15.600000381469727
2017-06-15,15.050000190734863
2017-06-16,14.699999809265137
2017-06-19,14.699999809265137
2017-06-20,14.149999618530273
2017-06-21,13.649999618530273
2017-06-22,13.850000381469727
2017-06-23,13.550000190734863
2017-06-26,13.449999809265137
2017-06-27,13.199999809265137
2017-06-28,13.449999809265137
2017-06-29,13.050000190734863
2017-06-30,13.0
2017-07-03,12.949999809265137
2017-07-05,12.5
2017-07-06,12.0
2017-07-07,12.149999618530273
2017-07-10,12.300000190734863
2017-07-11,12.100000381469727
2017-07-12,12.5
2017-07-13,12.949999809265137
2017-07-14,13.149999618530273
2017-07-17,13.199999809265137
2017-07-18,13.199999809265137
2017-07-19,13.850000381469727
2017-07-20,13.949999809265137
2017-07-21,14.25
2017-07-24,13.699999809265137
2017-07-25,14.0
2017-07-26,14.449999809265137
2017-07-27,14.5
2017-07-28,14.5
2017-07-31,14.5
2017-08-01,14.699999809265137
2017-08-02,14.600000381469727
2017-08-03,14.800000190734863
2017-08-04,14.550000190734863
2017-08-07,14.600000381469727
2017-08-08,14.600000381469727
2017-08-09,14.5
2017-08-10,17.25
2017-08-11,17.600000381469727
2017-08-14,17.850000381469727
2017-08-15,17.950000762939453
2017-08-16,17.450000762939453
2017-08-17,17.399999618530273
2017-08-18,17.5
2017-08-21,17.399999618530273
2017-08-22,17.5
2017-08-23,17.25
2017-08-24,17.049999237060547
2017-08-25,17.950000762939453
2017-08-28,16.899999618530273
2017-08-29,17.149999618530273
2017-08-30,17.200000762939453
2017-08-31,17.25
2017-09-01,17.399999618530273
2017-09-05,17.149999618530273
2017-09-06,17.25
2017-09-07,16.950000762939453
2017-09-08,16.600000381469727
2017-09-11,16.75
2017-09-12,16.649999618530273
2017-09-13,16.850000381469727
2017-09-14,16.850000381469727
2017-09-15,17.549999237060547
2017-09-18,18.100000381469727
2017-09-19,18.200000762939453
2017-09-20,18.700000762939453
2017-09-21,18.850000381469727
2017-09-22,18.850000381469727
2017-09-25,19.200000762939453
2017-09-26,19.799999237060547
2017-09-27,19.700000762939453
2017-09-28,19.700000762939453
2017-09-29,19.299999237060547
2017-10-02,19.649999618530273
2017-10-03,19.799999237060547
2017-10-04,19.600000381469727
2017-10-05,20.0
2017-10-06,20.350000381469727
2017-10-09,19.899999618530273
2017-10-10,19.850000381469727
2017-10-11,19.649999618530273
2017-10-12,19.950000762939453
2017-10-13,20.049999237060547
2017-10-16,20.549999237060547
2017-10-17,20.75
2017-10-18,21.049999237060547
2017-10-19,20.950000762939453
2017-10-20,20.649999618530273
2017-10-23,20.299999237060547
2017-10-24,20.100000381469727
2017-10-25,20.100000381469727
2017-10-26,19.850000381469727
2017-10-27,20.0
2017-10-30,19.75
2017-10-31,19.950000762939453
2017-11-01,20.799999237060547
2017-11-02,20.850000381469727
2017-11-03,20.899999618530273
2017-11-06,21.149999618530273
2017-11-07,20.549999237060547
2017-11-08,20.350000381469727
2017-11-09,16.600000381469727
2017-11-10,16.799999237060547
2017-11-13,18.600000381469727
2017-11-14,17.549999237060547
2017-11-15,18.200000762939453
2017-11-16,18.399999618530273
2017-11-17,18.600000381469727
2017-11-20,18.899999618530273
2017-11-21,18.600000381469727
2017-11-22,19.0
2017-11-24,19.549999237060547
2017-11-27,19.25
2017-11-28,19.649999618530273
2017-11-29,19.600000381469727
2017-11-30,20.25
2017-12-01,20.68000030517578
2017-12-04,21.229999542236328
2017-12-05,20.75
2017-12-06,20.299999237060547
2017-12-07,20.5
2017-12-08,20.600000381469727
2017-12-11,20.25
2017-12-12,20.149999618530273
2017-12-13,20.399999618530273
2017-12-14,20.0
2017-12-15,20.25
2017-12-18,20.950000762939453
2017-12-19,20.75
2017-12-20,20.75
