,AGNCM
2020-05-27,22.760000228881836
2020-05-28,22.799999237060547
2020-05-29,22.739999771118164
2020-06-01,22.809999465942383
2020-06-02,22.799999237060547
2020-06-03,22.799999237060547
2020-06-04,22.774999618530273
2020-06-05,22.799999237060547
2020-06-08,23.030000686645508
2020-06-09,23.079999923706055
2020-06-10,23.079999923706055
2020-06-11,22.540000915527344
2020-06-12,22.299999237060547
2020-06-15,22.270000457763672
2020-06-16,22.719999313354492
2020-06-17,22.549999237060547
2020-06-18,22.350000381469727
2020-06-19,22.56999969482422
2020-06-22,22.690000534057617
2020-06-23,22.889999389648438
2020-06-24,22.799999237060547
2020-06-25,22.510000228881836
2020-06-26,22.520000457763672
2020-06-29,22.5
2020-06-30,21.889999389648438
2020-07-01,22.006999969482422
2020-07-02,21.670000076293945
2020-07-06,21.90999984741211
2020-07-07,21.90999984741211
2020-07-08,22.170000076293945
2020-07-09,21.899999618530273
2020-07-10,21.969999313354492
2020-07-13,21.690000534057617
2020-07-14,21.799999237060547
2020-07-15,21.93000030517578
2020-07-16,22.239999771118164
2020-07-17,22.3799991607666
2020-07-20,22.489999771118164
2020-07-21,22.549999237060547
2020-07-22,22.31999969482422
2020-07-23,22.360000610351562
2020-07-24,22.31999969482422
2020-07-27,22.3799991607666
2020-07-28,22.540000915527344
2020-07-29,22.649999618530273
2020-07-30,22.610000610351562
2020-07-31,22.690000534057617
2020-08-03,22.670000076293945
2020-08-04,22.670000076293945
2020-08-05,22.690000534057617
2020-08-06,22.760000228881836
2020-08-07,22.790000915527344
2020-08-10,23.059999465942383
2020-08-11,23.049999237060547
2020-08-12,23.020000457763672
2020-08-13,23.190000534057617
2020-08-14,23.25
2020-08-17,23.170000076293945
2020-08-18,23.239999771118164
2020-08-19,23.56999969482422
2020-08-20,23.719999313354492
2020-08-21,23.719999313354492
2020-08-24,23.645000457763672
2020-08-25,23.584999084472656
2020-08-26,23.780000686645508
2020-08-27,23.770000457763672
2020-08-28,23.760000228881836
2020-08-31,23.729999542236328
2020-09-01,23.780000686645508
2020-09-02,23.719999313354492
2020-09-03,23.360000610351562
2020-09-04,23.469999313354492
2020-09-08,23.59000015258789
2020-09-09,23.729999542236328
2020-09-10,23.600000381469727
2020-09-11,23.440000534057617
2020-09-14,23.549999237060547
2020-09-15,23.530000686645508
2020-09-16,23.579999923706055
2020-09-17,23.43000030517578
2020-09-18,23.450000762939453
2020-09-21,23.399999618530273
2020-09-22,23.350000381469727
2020-09-23,22.93000030517578
2020-09-24,22.90999984741211
2020-09-25,23.270000457763672
2020-09-28,23.399999618530273
2020-09-29,23.3700008392334
2020-09-30,22.75
2020-10-01,22.920000076293945
2020-10-02,22.81999969482422
2020-10-05,22.84000015258789
2020-10-06,22.799999237060547
2020-10-07,22.829999923706055
2020-10-08,23.200000762939453
2020-10-09,23.010000228881836
2020-10-12,23.059999465942383
2020-10-13,23.1299991607666
2020-10-14,22.950000762939453
2020-10-15,22.8700008392334
2020-10-16,22.959999084472656
2020-10-19,22.8700008392334
2020-10-20,22.829999923706055
2020-10-21,22.850000381469727
2020-10-22,22.90999984741211
2020-10-23,22.8799991607666
2020-10-26,22.729999542236328
2020-10-27,22.6200008392334
2020-10-28,22.200000762939453
2020-10-29,22.239999771118164
2020-10-30,22.34000015258789
2020-11-02,22.110000610351562
2020-11-03,22.190000534057617
2020-11-04,22.40999984741211
2020-11-05,22.579999923706055
2020-11-06,22.399999618530273
2020-11-09,22.639999389648438
2020-11-10,22.8799991607666
2020-11-11,22.81999969482422
2020-11-12,22.6299991607666
2020-11-13,22.8799991607666
2020-11-16,23.059999465942383
2020-11-17,23.020000457763672
2020-11-18,23.149999618530273
2020-11-19,23.15999984741211
2020-11-20,23.229999542236328
2020-11-23,23.299999237060547
2020-11-24,23.489999771118164
2020-11-25,23.600000381469727
2020-11-27,23.600000381469727
2020-11-30,23.43000030517578
2020-12-01,23.399999618530273
2020-12-02,23.440000534057617
2020-12-03,23.559999465942383
2020-12-04,23.639999389648438
2020-12-07,24.003000259399414
2020-12-08,24.030000686645508
2020-12-09,24.049999237060547
2020-12-10,23.940000534057617
2020-12-11,23.950000762939453
2020-12-14,23.850000381469727
2020-12-15,23.93000030517578
2020-12-16,24.09000015258789
2020-12-17,24.450000762939453
2020-12-18,24.309999465942383
2020-12-21,24.299999237060547
2020-12-22,24.450000762939453
2020-12-23,24.829999923706055
2020-12-24,24.940000534057617
2020-12-28,25.040000915527344
2020-12-29,25.06999969482422
2020-12-30,25.030000686645508
2020-12-31,24.8700008392334
2021-01-04,24.530000686645508
2021-01-05,24.670000076293945
2021-01-06,24.510000228881836
2021-01-07,24.350000381469727
2021-01-08,24.579999923706055
2021-01-11,24.450000762939453
2021-01-12,24.270000457763672
2021-01-13,24.559999465942383
2021-01-14,24.540000915527344
2021-01-15,24.559999465942383
2021-01-19,24.56999969482422
2021-01-20,24.75
2021-01-21,24.75
2021-01-22,25.030000686645508
2021-01-25,24.920000076293945
2021-01-26,24.850000381469727
2021-01-27,24.510000228881836
2021-01-28,24.600000381469727
2021-01-29,24.6200008392334
2021-02-01,24.450000762939453
2021-02-02,24.729999542236328
2021-02-03,24.6299991607666
2021-02-04,24.530000686645508
2021-02-05,24.950000762939453
2021-02-08,24.850000381469727
2021-02-09,24.799999237060547
2021-02-10,24.780000686645508
2021-02-11,24.75
2021-02-12,24.799999237060547
2021-02-16,24.809999465942383
2021-02-17,24.829999923706055
2021-02-18,24.950000762939453
2021-02-19,24.81999969482422
2021-02-22,24.899999618530273
2021-02-23,24.899999618530273
2021-02-24,24.889999389648438
2021-02-25,24.799999237060547
2021-02-26,24.989999771118164
2021-03-01,24.979999542236328
2021-03-02,24.889999389648438
2021-03-03,25.0
2021-03-04,24.979999542236328
2021-03-05,25.049999237060547
2021-03-08,25.0
2021-03-09,25.020000457763672
2021-03-10,25.010000228881836
2021-03-11,25.1299991607666
2021-03-12,25.100000381469727
2021-03-15,25.209999084472656
2021-03-16,25.440000534057617
2021-03-17,25.469999313354492
2021-03-18,25.309999465942383
2021-03-19,25.450000762939453
2021-03-22,25.309999465942383
2021-03-23,25.540000915527344
2021-03-24,25.68000030517578
2021-03-25,25.59000015258789
2021-03-26,25.81999969482422
2021-03-29,25.780000686645508
2021-03-30,25.829999923706055
2021-03-31,25.59000015258789
2021-04-01,25.6200008392334
2021-04-05,25.68000030517578
2021-04-06,25.610000610351562
2021-04-07,25.780000686645508
2021-04-08,25.739999771118164
2021-04-09,25.6299991607666
2021-04-12,25.68000030517578
2021-04-13,25.649999618530273
2021-04-14,25.739999771118164
2021-04-15,25.739999771118164
2021-04-16,25.790000915527344
2021-04-19,25.68000030517578
2021-04-20,25.719999313354492
2021-04-21,25.799999237060547
2021-04-22,25.639999389648438
2021-04-23,25.600000381469727
2021-04-26,25.68000030517578
2021-04-27,25.600000381469727
2021-04-28,25.6200008392334
2021-04-29,25.65999984741211
2021-04-30,25.329999923706055
2021-05-03,25.610000610351562
2021-05-04,25.860000610351562
2021-05-05,25.809999465942383
2021-05-06,25.829999923706055
2021-05-07,25.93000030517578
2021-05-10,25.690000534057617
2021-05-11,25.43000030517578
2021-05-12,25.06999969482422
2021-05-13,25.09000015258789
2021-05-14,25.280000686645508
