,CYTK
2007-09-14,29.100000381469727
2007-09-17,28.3799991607666
2007-09-18,29.040000915527344
2007-09-19,30.479999542236328
2007-09-20,30.719999313354492
2007-09-21,30.600000381469727
2007-09-24,32.459999084472656
2007-09-25,32.040000915527344
2007-09-26,31.5
2007-09-27,31.200000762939453
2007-09-28,30.719999313354492
2007-10-01,31.5
2007-10-02,32.7599983215332
2007-10-03,31.799999237060547
2007-10-04,32.040000915527344
2007-10-05,34.68000030517578
2007-10-08,37.380001068115234
2007-10-09,37.2599983215332
2007-10-10,37.5
2007-10-11,36.2400016784668
2007-10-12,36.0
2007-10-15,36.0
2007-10-16,34.560001373291016
2007-10-17,34.79999923706055
2007-10-18,34.2599983215332
2007-10-19,32.400001525878906
2007-10-22,34.08000183105469
2007-10-23,33.29999923706055
2007-10-24,31.739999771118164
2007-10-25,31.860000610351562
2007-10-26,31.440000534057617
2007-10-29,30.600000381469727
2007-10-30,30.479999542236328
2007-10-31,29.700000762939453
2007-11-01,31.139999389648438
2007-11-02,31.079999923706055
2007-11-05,30.479999542236328
2007-11-06,31.200000762939453
2007-11-07,29.34000015258789
2007-11-08,30.420000076293945
2007-11-09,29.639999389648438
2007-11-12,31.559999465942383
2007-11-13,33.2400016784668
2007-11-14,30.719999313354492
2007-11-15,30.719999313354492
2007-11-16,28.440000534057617
2007-11-19,27.1200008392334
2007-11-20,26.399999618530273
2007-11-21,26.700000762939453
2007-11-23,28.559999465942383
2007-11-26,27.0
2007-11-27,27.299999237060547
2007-11-28,31.020000457763672
2007-11-29,30.959999084472656
2007-11-30,29.15999984741211
2007-12-03,31.020000457763672
2007-12-04,32.099998474121094
2007-12-05,33.47999954223633
2007-12-06,34.20000076293945
2007-12-07,33.959999084472656
2007-12-10,32.939998626708984
2007-12-11,29.399999618530273
2007-12-12,31.260000228881836
2007-12-13,33.29999923706055
2007-12-14,29.8799991607666
2007-12-17,28.68000030517578
2007-12-18,29.280000686645508
2007-12-19,30.719999313354492
2007-12-20,30.780000686645508
2007-12-21,32.939998626708984
2007-12-24,32.939998626708984
2007-12-26,33.65999984741211
2007-12-27,30.600000381469727
2007-12-28,29.15999984741211
2007-12-31,28.3799991607666
2008-01-02,27.299999237060547
2008-01-03,26.760000228881836
2008-01-04,26.399999618530273
2008-01-07,28.079999923706055
2008-01-08,26.15999984741211
2008-01-09,26.940000534057617
2008-01-10,27.059999465942383
2008-01-11,26.100000381469727
2008-01-14,26.219999313354492
2008-01-15,24.299999237060547
