,FIVN
2017-11-06,25.540000915527344
2017-11-07,25.540000915527344
2017-11-08,25.469999313354492
2017-11-09,25.81999969482422
2017-11-10,25.31999969482422
2017-11-13,25.3700008392334
2017-11-14,25.309999465942383
2017-11-15,25.040000915527344
2017-11-16,24.889999389648438
2017-11-17,24.799999237060547
2017-11-20,24.989999771118164
2017-11-21,24.670000076293945
2017-11-22,24.459999084472656
2017-11-24,24.809999465942383
2017-11-27,24.5
2017-11-28,25.15999984741211
2017-11-29,24.31999969482422
2017-11-30,24.510000228881836
2017-12-01,24.149999618530273
2017-12-04,23.079999923706055
2017-12-05,22.959999084472656
2017-12-06,22.729999542236328
2017-12-07,23.549999237060547
