,BAB
2018-05-04,29.600000381469727
2018-05-07,29.59000015258789
2018-05-08,29.549999237060547
2018-05-09,29.549999237060547
2018-05-10,29.559999465942383
2018-05-11,29.520000457763672
2018-05-14,29.540000915527344
2018-05-15,29.420000076293945
2018-05-16,29.440000534057617
2018-05-17,29.31999969482422
2018-05-18,29.399999618530273
2018-05-21,29.280000686645508
2018-05-22,29.299999237060547
2018-05-23,29.3700008392334
2018-05-24,29.360000610351562
2018-05-25,29.510000228881836
2018-05-29,29.84000015258789
2018-05-30,29.719999313354492
2018-05-31,29.700000762939453
2018-06-01,29.56999969482422
2018-06-04,29.440000534057617
2018-06-05,29.540000915527344
2018-06-06,29.389999389648438
2018-06-07,29.5
2018-06-08,29.5
2018-06-11,29.450000762939453
2018-06-12,29.43000030517578
2018-06-13,29.43000030517578
2018-06-14,29.5
2018-06-15,29.520000457763672
2018-06-18,29.420000076293945
2018-06-19,29.5
2018-06-20,29.420000076293945
2018-06-21,29.43000030517578
2018-06-22,29.43000030517578
2018-06-25,29.540000915527344
2018-06-26,29.489999771118164
2018-06-27,29.579999923706055
2018-06-28,29.6200008392334
2018-06-29,29.610000610351562
2018-07-02,29.549999237060547
2018-07-03,29.56999969482422
2018-07-05,29.649999618530273
2018-07-06,29.65999984741211
2018-07-09,29.65999984741211
2018-07-10,29.59000015258789
2018-07-11,29.68000030517578
2018-07-12,29.670000076293945
2018-07-13,29.700000762939453
2018-07-16,29.690000534057617
2018-07-17,29.65999984741211
2018-07-18,29.610000610351562
2018-07-19,29.649999618530273
2018-07-20,29.579999923706055
2018-07-23,29.309999465942383
2018-07-24,29.360000610351562
2018-07-25,29.3700008392334
2018-07-26,29.31999969482422
2018-07-27,29.3700008392334
2018-07-30,29.399999618530273
2018-07-31,29.3799991607666
2018-08-01,29.280000686645508
2018-08-02,29.309999465942383
2018-08-03,29.34000015258789
2018-08-06,29.3700008392334
2018-08-07,29.280000686645508
2018-08-08,29.31999969482422
2018-08-09,29.40999984741211
2018-08-10,29.540000915527344
2018-08-13,29.540000915527344
2018-08-14,29.549999237060547
2018-08-15,29.610000610351562
2018-08-16,29.579999923706055
2018-08-17,29.579999923706055
2018-08-20,29.600000381469727
2018-08-21,29.530000686645508
2018-08-22,29.559999465942383
2018-08-23,29.59000015258789
2018-08-24,29.610000610351562
2018-08-27,29.59000015258789
2018-08-28,29.469999313354492
2018-08-29,29.5
2018-08-30,29.549999237060547
2018-08-31,29.5
2018-09-04,29.420000076293945
2018-09-05,29.40999984741211
2018-09-06,29.450000762939453
2018-09-07,29.360000610351562
2018-09-10,29.389999389648438
2018-09-11,29.280000686645508
2018-09-12,29.309999465942383
2018-09-13,29.31999969482422
2018-09-14,29.270000457763672
2018-09-17,29.280000686645508
2018-09-18,29.170000076293945
2018-09-19,29.06999969482422
2018-09-20,29.110000610351562
2018-09-21,29.149999618530273
2018-09-24,29.059999465942383
2018-09-25,28.979999542236328
2018-09-26,29.09000015258789
2018-09-27,29.1299991607666
2018-09-28,29.079999923706055
2018-10-01,29.059999465942383
2018-10-02,29.049999237060547
2018-10-03,28.899999618530273
2018-10-04,28.799999237060547
2018-10-05,28.709999084472656
2018-10-08,28.649999618530273
2018-10-09,28.739999771118164
2018-10-10,28.780000686645508
2018-10-11,28.93000030517578
