,BECN
2012-09-13,30.270000457763672
2012-09-14,30.40999984741211
2012-09-17,28.770000457763672
2012-09-18,28.65999984741211
2012-09-19,29.09000015258789
2012-09-20,29.670000076293945
2012-09-21,29.200000762939453
2012-09-24,29.09000015258789
2012-09-25,27.979999542236328
2012-09-26,27.81999969482422
2012-09-27,28.889999389648438
2012-09-28,28.479999542236328
2012-10-01,28.15999984741211
2012-10-02,28.399999618530273
2012-10-03,29.110000610351562
2012-10-04,29.5
2012-10-05,29.829999923706055
2012-10-08,29.90999984741211
2012-10-09,28.0
2012-10-10,27.799999237060547
2012-10-11,28.0
2012-10-12,27.700000762939453
2012-10-15,28.010000228881836
2012-10-16,28.43000030517578
2012-10-17,29.75
2012-10-18,30.899999618530273
2012-10-19,30.190000534057617
2012-10-22,29.989999771118164
2012-10-23,30.290000915527344
2012-10-24,30.549999237060547
2012-10-25,29.90999984741211
2012-10-26,30.989999771118164
2012-10-31,32.34000015258789
2012-11-01,32.150001525878906
2012-11-02,31.399999618530273
2012-11-05,32.56999969482422
