,DBX
2020-08-19,20.139999389648438
2020-08-20,20.15999984741211
2020-08-21,20.1200008392334
2020-08-24,20.209999084472656
2020-08-25,20.139999389648438
2020-08-26,20.56999969482422
2020-08-27,20.309999465942383
2020-08-28,20.719999313354492
2020-08-31,21.170000076293945
2020-09-01,21.31999969482422
2020-09-02,21.75
2020-09-03,20.56999969482422
2020-09-04,19.75
2020-09-08,19.8799991607666
2020-09-09,20.354999542236328
2020-09-10,19.764999389648438
2020-09-11,19.850000381469727
2020-09-14,20.18000030517578
2020-09-15,20.350000381469727
2020-09-16,20.219999313354492
2020-09-17,19.5
2020-09-18,19.280000686645508
2020-09-21,19.229999542236328
2020-09-22,19.530000686645508
2020-09-23,19.18000030517578
2020-09-24,18.780000686645508
2020-09-25,19.149999618530273
2020-09-28,19.280000686645508
2020-09-29,19.1299991607666
2020-09-30,19.260000228881836
2020-10-01,19.475000381469727
2020-10-02,19.18000030517578
2020-10-05,19.510000228881836
2020-10-06,19.280000686645508
2020-10-07,19.65999984741211
2020-10-08,19.670000076293945
2020-10-09,20.389999389648438
2020-10-12,20.030000686645508
2020-10-13,20.34000015258789
2020-10-14,19.84000015258789
2020-10-15,20.139999389648438
2020-10-16,20.31999969482422
2020-10-19,19.889999389648438
2020-10-20,19.780000686645508
2020-10-21,19.979999542236328
2020-10-22,20.200000762939453
2020-10-23,19.719999313354492
2020-10-26,19.125
2020-10-27,19.030000686645508
2020-10-28,18.610000610351562
2020-10-29,18.75
2020-10-30,18.260000228881836
2020-11-02,17.969999313354492
2020-11-03,18.200000762939453
2020-11-04,18.549999237060547
2020-11-05,20.1200008392334
2020-11-06,19.145000457763672
2020-11-09,18.75
2020-11-10,18.469999313354492
2020-11-11,18.81999969482422
2020-11-12,18.770000457763672
2020-11-13,19.059999465942383
2020-11-16,18.690000534057617
2020-11-17,18.549999237060547
2020-11-18,18.43000030517578
2020-11-19,18.920000076293945
2020-11-20,19.030000686645508
2020-11-23,19.1200008392334
2020-11-24,18.450000762939453
2020-11-25,19.110000610351562
2020-11-27,19.540000915527344
2020-11-30,19.969999313354492
2020-12-01,20.170000076293945
2020-12-02,20.110000610351562
2020-12-03,20.229999542236328
2020-12-04,20.350000381469727
2020-12-07,20.5
