,CALM
2000-01-24,0.8125
2000-01-25,0.859375
2000-01-26,0.796875
2000-01-27,0.796875
2000-01-28,0.8125
2000-01-31,0.796875
2000-02-01,0.84375
2000-02-02,0.859375
2000-02-03,0.9140629768371582
2000-02-04,0.90625
2000-02-07,0.984375
2000-02-08,0.9804689884185791
2000-02-09,1.0
2000-02-10,0.9921879768371582
2000-02-11,1.0
2000-02-14,1.0
2000-02-15,1.03125
2000-02-16,1.046875
2000-02-17,1.078125
2000-02-18,1.0625
2000-02-22,1.0625
2000-02-23,1.0625
2000-02-24,1.0625
2000-02-25,1.046875
2000-02-28,1.0
2000-02-29,1.0
2000-03-01,0.984375
2000-03-02,0.984375
2000-03-03,1.015625
2000-03-06,0.96875
2000-03-07,0.9921879768371582
2000-03-08,0.96875
2000-03-09,1.0
2000-03-10,1.0234379768371582
2000-03-13,0.953125
2000-03-14,0.953125
2000-03-15,0.96875
2000-03-16,0.96875
2000-03-17,1.0
2000-03-20,0.984375
2000-03-21,0.984375
2000-03-22,0.96875
2000-03-23,0.96875
2000-03-24,0.96875
2000-03-27,0.96875
2000-03-28,0.953125
2000-03-29,0.953125
2000-03-30,0.9375
2000-03-31,0.9375
2000-04-03,0.921875
2000-04-04,0.953125
2000-04-05,0.984375
2000-04-06,0.96875
2000-04-07,0.96875
2000-04-10,0.96875
2000-04-11,0.984375
2000-04-12,0.96875
2000-04-13,0.96875
2000-04-14,0.984375
2000-04-17,0.9375
2000-04-18,0.953125
2000-04-19,0.953125
2000-04-20,0.984375
2000-04-24,0.953125
2000-04-25,0.953125
2000-04-26,0.953125
2000-04-27,0.953125
2000-04-28,0.953125
2000-05-01,0.9375
2000-05-02,0.9375
2000-05-03,0.9375
2000-05-04,0.96875
2000-05-05,0.953125
2000-05-08,0.953125
2000-05-09,0.953125
2000-05-10,0.953125
2000-05-11,0.890625
2000-05-12,0.90625
2000-05-15,0.90625
2000-05-16,0.90625
2000-05-17,0.90625
2000-05-18,0.90625
2000-05-19,0.90625
2000-05-22,0.890625
2000-05-23,0.875
2000-05-24,0.84375
2000-05-25,0.828125
2000-05-26,0.828125
2000-05-30,0.828125
2000-05-31,0.828125
2000-06-01,0.84375
2000-06-02,0.96875
2000-06-05,0.90625
2000-06-06,0.953125
2000-06-07,0.984375
2000-06-08,0.96875
2000-06-09,1.015625
2000-06-12,0.984375
2000-06-13,1.09375
2000-06-14,1.09375
2000-06-15,1.078125
2000-06-16,1.03125
2000-06-19,1.0
2000-06-20,1.015625
2000-06-21,1.015625
2000-06-22,1.0
2000-06-23,0.96875
2000-06-26,0.96875
2000-06-27,0.96875
2000-06-28,0.96875
2000-06-29,0.96875
2000-06-30,0.96875
2000-07-03,0.921875
2000-07-05,0.875
2000-07-06,0.875
