,MNG
2014-12-17,72.13999938964844
2014-12-18,73.3499984741211
2014-12-19,74.81999969482422
2014-12-22,72.87999725341797
2014-12-23,73.83999633789062
2014-12-24,73.2699966430664
2014-12-26,73.37000274658203
2014-12-29,74.23999786376953
2014-12-30,73.06999969482422
2014-12-31,72.73999786376953
2015-01-02,73.16999816894531
2015-01-05,69.91000366210938
2015-01-06,68.80000305175781
2015-01-07,68.54000091552734
2015-01-08,70.23999786376953
2015-01-09,70.13999938964844
2015-01-12,68.31999969482422
2015-01-13,68.3499984741211
2015-01-14,69.36000061035156
2015-01-15,68.91000366210938
2015-01-16,71.48999786376953
2015-01-20,70.51000213623047
2015-01-21,72.43000030517578
2015-01-22,72.0999984741211
2015-01-23,71.88999938964844
2015-01-26,72.5199966430664
2015-01-27,72.86000061035156
2015-01-28,69.55999755859375
2015-01-29,69.44000244140625
2015-01-30,70.30000305175781
2015-02-02,72.93000030517578
2015-02-03,74.9800033569336
2015-02-04,73.70999908447266
2015-02-05,75.08999633789062
2015-02-06,74.5199966430664
2015-02-09,73.91000366210938
2015-02-10,74.29000091552734
2015-02-11,73.29000091552734
2015-02-12,73.94000244140625
2015-02-13,75.2699966430664
2015-02-17,75.54000091552734
2015-02-18,74.91000366210938
2015-02-19,75.37000274658203
2015-02-20,74.87999725341797
2015-02-23,74.19000244140625
2015-02-24,74.87999725341797
2015-02-25,75.69000244140625
2015-02-26,72.86000061035156
2015-02-27,72.37999725341797
2015-03-02,71.97000122070312
2015-03-03,72.4000015258789
2015-03-04,72.33000183105469
2015-03-05,71.72000122070312
2015-03-06,70.4000015258789
2015-03-09,68.88999938964844
2015-03-10,67.77999877929688
2015-03-11,68.5999984741211
2015-03-12,68.16000366210938
2015-03-13,67.91999816894531
2015-03-16,68.68000030517578
2015-03-17,68.80999755859375
2015-03-18,71.16000366210938
2015-03-19,69.33999633789062
2015-03-20,70.30999755859375
2015-03-23,69.86000061035156
2015-03-24,70.19000244140625
2015-03-25,70.9800033569336
2015-03-26,70.69999694824219
2015-03-27,70.29000091552734
2015-03-30,71.47000122070312
2015-03-31,71.56999969482422
2015-04-01,72.06999969482422
2015-04-02,73.31999969482422
2015-04-06,74.47000122070312
2015-04-07,74.94999694824219
2015-04-08,73.8499984741211
2015-04-09,75.01000213623047
2015-04-10,75.0
2015-04-13,74.58999633789062
2015-04-14,76.20999908447266
2015-04-15,78.48999786376953
2015-04-16,78.12000274658203
2015-04-17,77.62999725341797
2015-04-20,77.87000274658203
2015-04-21,76.69000244140625
2015-04-22,77.19000244140625
2015-04-23,77.76000213623047
2015-04-24,77.58999633789062
2015-04-27,77.20999908447266
2015-04-28,78.0199966430664
2015-04-29,78.87999725341797
2015-04-30,78.87999725341797
2015-05-01,79.51000213623047
2015-05-04,79.6500015258789
2015-05-05,77.66000366210938
2015-05-06,77.0999984741211
2015-05-07,76.13999938964844
2015-05-08,78.12999725341797
2015-05-11,76.83000183105469
2015-05-12,77.51000213623047
2015-05-13,76.62000274658203
2015-05-14,76.5199966430664
2015-05-15,76.95999908447266
2015-05-18,76.87999725341797
2015-05-19,75.7300033569336
2015-05-20,75.62000274658203
2015-05-21,76.63999938964844
2015-05-22,76.41000366210938
2015-05-26,74.9800033569336
2015-05-27,74.80000305175781
2015-05-28,73.77999877929688
2015-05-29,73.81999969482422
2015-06-01,73.45999908447266
2015-06-02,73.6500015258789
2015-06-03,72.80999755859375
2015-06-04,71.87000274658203
2015-06-05,71.9000015258789
2015-06-08,71.43000030517578
2015-06-09,71.69999694824219
2015-06-10,72.2699966430664
2015-06-11,71.72000122070312
2015-06-12,70.80000305175781
2015-06-15,70.76000213623047
2015-06-16,71.69999694824219
2015-06-17,71.4000015258789
2015-06-18,71.05999755859375
2015-06-19,70.29000091552734
2015-06-22,71.8499984741211
2015-06-23,71.91999816894531
2015-06-24,71.43000030517578
2015-06-25,70.3499984741211
2015-06-26,70.0999984741211
2015-06-29,68.58999633789062
2015-06-30,68.83000183105469
2015-07-01,67.33000183105469
2015-07-02,67.54000091552734
2015-07-06,66.06999969482422
2015-07-07,67.16000366210938
2015-07-08,65.51000213623047
2015-07-09,65.83000183105469
2015-07-10,65.2699966430664
2015-07-13,65.56999969482422
2015-07-14,66.62000274658203
2015-07-15,65.31999969482422
2015-07-16,65.27999877929688
2015-07-17,63.59000015258789
2015-07-20,61.68000030517578
2015-07-21,61.529998779296875
2015-07-22,60.70000076293945
2015-07-23,60.16999816894531
2015-07-24,58.560001373291016
2015-07-27,57.939998626708984
2015-07-28,59.540000915527344
2015-07-29,60.02000045776367
2015-07-30,59.459999084472656
2015-07-31,59.0
2015-08-03,57.2599983215332
2015-08-04,56.939998626708984
2015-08-05,55.63999938964844
2015-08-06,57.369998931884766
2015-08-07,56.34000015258789
2015-08-10,58.36000061035156
2015-08-11,58.209999084472656
2015-08-12,59.41999816894531
2015-08-13,57.970001220703125
2015-08-14,57.91999816894531
2015-08-17,58.06999969482422
2015-08-18,58.04999923706055
2015-08-19,56.5099983215332
2015-08-20,54.77000045776367
2015-08-21,53.470001220703125
2015-08-24,51.380001068115234
2015-08-25,50.290000915527344
2015-08-26,51.630001068115234
2015-08-27,54.68000030517578
2015-08-28,56.2599983215332
2015-08-31,56.93000030517578
2015-09-01,54.81999969482422
2015-09-02,55.0
2015-09-03,55.279998779296875
2015-09-04,54.220001220703125
2015-09-08,54.95000076293945
2015-09-09,54.08000183105469
2015-09-10,54.2599983215332
2015-09-11,53.720001220703125
2015-09-14,53.34000015258789
2015-09-15,53.959999084472656
2015-09-16,56.65999984741211
2015-09-17,56.41999816894531
2015-09-18,55.099998474121094
2015-09-21,55.130001068115234
2015-09-22,54.029998779296875
2015-09-23,52.68000030517578
2015-09-24,52.90999984741211
2015-09-25,52.619998931884766
2015-09-28,50.18000030517578
2015-09-29,50.029998779296875
2015-09-30,51.5
2015-10-01,51.650001525878906
2015-10-02,54.2599983215332
2015-10-05,56.25
2015-10-06,57.709999084472656
2015-10-07,58.41999816894531
2015-10-08,59.5099983215332
2015-10-09,58.810001373291016
2015-10-12,57.470001220703125
2015-10-13,56.790000915527344
2015-10-14,57.689998626708984
2015-10-15,58.88999938964844
2015-10-16,59.029998779296875
2015-10-19,57.9900016784668
2015-10-20,58.75
2015-10-21,56.75
2015-10-22,56.040000915527344
2015-10-23,55.38999938964844
2015-10-26,53.380001068115234
2015-10-27,52.33000183105469
2015-10-28,53.06999969482422
2015-10-29,53.31999969482422
2015-10-30,54.099998474121094
2015-11-02,54.84000015258789
2015-11-03,55.59000015258789
2015-11-04,55.61000061035156
2015-11-05,56.16999816894531
2015-11-06,55.31999969482422
2015-11-09,55.34000015258789
2015-11-10,55.02000045776367
2015-11-11,52.970001220703125
2015-11-12,51.880001068115234
2015-11-13,52.54999923706055
2015-11-16,54.47999954223633
2015-11-17,53.27000045776367
2015-11-18,53.7599983215332
2015-11-19,52.560001373291016
2015-11-20,51.439998626708984
2015-11-23,51.58000183105469
2015-11-24,52.81999969482422
2015-11-25,52.439998626708984
2015-11-27,51.31999969482422
2015-11-30,51.5
2015-12-01,51.61000061035156
2015-12-02,49.529998779296875
2015-12-03,48.119998931884766
2015-12-04,47.04999923706055
2015-12-07,44.630001068115234
2015-12-08,44.75
2015-12-09,45.400001525878906
2015-12-10,45.790000915527344
2015-12-11,43.189998626708984
2015-12-14,42.13999938964844
2015-12-15,42.560001373291016
2015-12-16,42.29999923706055
2015-12-17,40.9900016784668
2015-12-18,40.790000915527344
2015-12-21,40.83000183105469
2015-12-22,41.040000915527344
2015-12-23,43.88999938964844
2015-12-24,43.779998779296875
2015-12-28,42.869998931884766
2015-12-29,43.5099983215332
2015-12-30,42.5099983215332
2015-12-31,43.5099983215332
2016-01-04,44.060001373291016
2016-01-05,44.2599983215332
2016-01-06,41.45000076293945
2016-01-07,40.529998779296875
2016-01-08,41.119998931884766
2016-01-11,39.88999938964844
2016-01-12,38.84000015258789
2016-01-13,38.119998931884766
2016-01-14,39.189998626708984
2016-01-15,37.93000030517578
2016-01-19,36.369998931884766
2016-01-20,36.5
2016-01-21,39.77000045776367
2016-01-22,42.08000183105469
