,FDT
2016-05-24,46.09000015258789
2016-05-25,46.380001068115234
2016-05-26,46.5
2016-05-27,46.52000045776367
2016-05-31,46.599998474121094
2016-06-01,46.54999923706055
2016-06-02,46.52000045776367
2016-06-03,47.04999923706055
2016-06-06,47.45000076293945
2016-06-07,47.599998474121094
2016-06-08,47.81999969482422
2016-06-09,47.38999938964844
2016-06-10,46.400001525878906
2016-06-13,45.58000183105469
2016-06-14,45.130001068115234
2016-06-15,45.4900016784668
2016-06-16,45.18000030517578
2016-06-17,45.56999969482422
2016-06-20,46.56999969482422
2016-06-21,46.68000030517578
2016-06-22,46.220001220703125
2016-06-23,47.13999938964844
2016-06-24,43.900001525878906
2016-06-27,42.97999954223633
2016-06-28,43.869998931884766
2016-06-29,44.66999816894531
2016-06-30,45.119998931884766
2016-07-01,45.36000061035156
2016-07-05,44.540000915527344
2016-07-06,44.459999084472656
2016-07-07,44.18000030517578
2016-07-08,44.79999923706055
2016-07-11,45.58000183105469
2016-07-12,46.08000183105469
2016-07-13,46.08000183105469
2016-07-14,46.56999969482422
2016-07-15,46.25
2016-07-18,46.45000076293945
2016-07-19,46.150001525878906
2016-07-20,46.540000915527344
2016-07-21,46.599998474121094
2016-07-22,46.70000076293945
2016-07-25,46.63999938964844
2016-07-26,46.93000030517578
2016-07-27,47.189998626708984
2016-07-28,47.43000030517578
2016-07-29,47.939998626708984
2016-08-01,47.599998474121094
2016-08-02,47.41999816894531
2016-08-03,47.150001525878906
2016-08-04,47.560001373291016
2016-08-05,47.790000915527344
2016-08-08,47.939998626708984
2016-08-09,48.29999923706055
2016-08-10,48.52000045776367
2016-08-11,48.790000915527344
2016-08-12,48.56999969482422
2016-08-15,48.689998626708984
2016-08-16,48.54999923706055
2016-08-17,48.4900016784668
2016-08-18,48.650001525878906
2016-08-19,48.38999938964844
2016-08-22,48.47999954223633
2016-08-23,48.54999923706055
2016-08-24,48.41999816894531
2016-08-25,48.47999954223633
2016-08-26,48.040000915527344
2016-08-29,48.31999969482422
2016-08-30,48.08000183105469
2016-08-31,48.02000045776367
2016-09-01,48.43000030517578
2016-09-02,48.83000183105469
2016-09-06,49.5099983215332
2016-09-07,49.439998626708984
2016-09-08,49.290000915527344
2016-09-09,48.189998626708984
2016-09-12,48.66999816894531
2016-09-13,47.650001525878906
2016-09-14,47.619998931884766
2016-09-15,48.09000015258789
2016-09-16,47.630001068115234
2016-09-19,47.97999954223633
2016-09-20,48.310001373291016
2016-09-21,49.150001525878906
2016-09-22,49.63999938964844
2016-09-23,49.290000915527344
2016-09-26,48.83000183105469
2016-09-27,49.22999954223633
2016-09-28,49.630001068115234
2016-09-29,49.09000015258789
2016-09-30,49.25
2016-10-03,49.279998779296875
2016-10-04,48.86000061035156
2016-10-05,49.0
2016-10-06,48.63999938964844
2016-10-07,48.38999938964844
2016-10-10,48.61000061035156
2016-10-11,47.779998779296875
2016-10-12,47.7599983215332
2016-10-13,47.59000015258789
2016-10-14,47.619998931884766
2016-10-17,47.529998779296875
2016-10-18,48.209999084472656
2016-10-19,48.27000045776367
2016-10-20,48.2400016784668
2016-10-21,48.150001525878906
2016-10-24,48.15999984741211
2016-10-25,48.20000076293945
2016-10-26,47.900001525878906
2016-10-27,47.599998474121094
2016-10-28,47.68000030517578
2016-10-31,47.869998931884766
2016-11-01,47.599998474121094
2016-11-02,47.36000061035156
2016-11-03,47.4900016784668
2016-11-04,46.9900016784668
2016-11-07,47.560001373291016
2016-11-08,47.689998626708984
2016-11-09,47.40999984741211
2016-11-10,46.93000030517578
2016-11-11,46.47999954223633
2016-11-14,46.349998474121094
2016-11-15,46.75
2016-11-16,46.209999084472656
2016-11-17,46.439998626708984
2016-11-18,46.209999084472656
2016-11-21,46.5
2016-11-22,46.959999084472656
2016-11-23,46.79999923706055
2016-11-25,46.81999969482422
2016-11-28,46.7599983215332
2016-11-29,47.04999923706055
2016-11-30,46.91999816894531
2016-12-01,46.7599983215332
2016-12-02,46.810001373291016
2016-12-05,47.290000915527344
2016-12-06,47.4900016784668
2016-12-07,48.220001220703125
2016-12-08,48.349998474121094
2016-12-09,48.279998779296875
2016-12-12,48.040000915527344
2016-12-13,48.439998626708984
2016-12-14,47.529998779296875
2016-12-15,47.41999816894531
