,EDSA
2014-07-30,424.20001220703125
2014-07-31,394.79998779296875
2014-08-01,386.3999938964844
2014-08-04,394.79998779296875
2014-08-05,386.3999938964844
2014-08-06,378.0
2014-08-07,361.20001220703125
2014-08-08,386.3999938964844
2014-08-11,428.3999938964844
2014-08-12,558.5999755859375
2014-08-13,588.0
2014-08-14,642.5999755859375
2014-08-15,617.4000244140625
2014-08-18,659.4000244140625
2014-08-19,630.0
2014-08-20,651.0
2014-08-21,693.0
2014-08-22,722.4000244140625
2014-08-25,814.7999877929688
2014-08-26,903.0
2014-08-27,961.7999877929688
2014-08-28,798.0
2014-08-29,667.7999877929688
2014-09-02,609.0
2014-09-03,726.5999755859375
2014-09-04,764.4000244140625
2014-09-05,764.4000244140625
2014-09-08,726.5999755859375
2014-09-09,781.2000122070312
2014-09-10,793.7999877929688
2014-09-11,751.7999877929688
2014-09-12,772.7999877929688
2014-09-15,751.7999877929688
2014-09-16,718.2000122070312
2014-09-17,722.4000244140625
2014-09-18,705.5999755859375
2014-09-19,701.4000244140625
2014-09-22,684.5999755859375
2014-09-23,571.2000122070312
2014-09-24,525.0
2014-09-25,487.20001220703125
2014-09-26,495.6000061035156
2014-09-29,508.20001220703125
2014-09-30,499.79998779296875
2014-10-01,499.79998779296875
2014-10-02,508.20001220703125
2014-10-03,533.4000244140625
2014-10-06,516.5999755859375
2014-10-07,508.20001220703125
2014-10-08,495.6000061035156
2014-10-09,504.0
2014-10-10,474.6000061035156
2014-10-13,453.6000061035156
2014-10-14,432.6000061035156
2014-10-15,436.79998779296875
2014-10-16,432.6000061035156
2014-10-17,533.4000244140625
2014-10-20,571.2000122070312
2014-10-21,592.2000122070312
2014-10-22,525.0
2014-10-23,592.2000122070312
2014-10-24,646.7999877929688
2014-10-27,625.7999877929688
2014-10-28,567.0
2014-10-29,520.7999877929688
2014-10-30,525.0
2014-10-31,520.7999877929688
2014-11-03,546.0
2014-11-04,512.4000244140625
2014-11-05,520.7999877929688
2014-11-06,537.5999755859375
2014-11-07,588.0
2014-11-10,546.0
2014-11-11,583.7999877929688
2014-11-12,558.5999755859375
2014-11-13,571.2000122070312
2014-11-14,600.5999755859375
2014-11-17,630.0
2014-11-18,625.7999877929688
2014-11-19,617.4000244140625
2014-11-20,592.2000122070312
2014-11-21,571.2000122070312
2014-11-24,567.0
2014-11-25,554.4000244140625
2014-11-26,562.7999877929688
2014-11-28,546.0
2014-12-01,529.2000122070312
2014-12-02,508.20001220703125
