,FCRD
2017-04-10,9.970000267028809
2017-04-11,10.010000228881836
2017-04-12,10.010000228881836
2017-04-13,9.960000038146973
2017-04-17,10.010000228881836
2017-04-18,10.039999961853027
2017-04-19,10.029999732971191
2017-04-20,10.010000228881836
2017-04-21,10.010000228881836
2017-04-24,10.0
2017-04-25,10.039999961853027
2017-04-26,10.010000228881836
2017-04-27,10.010000228881836
2017-04-28,10.039999961853027
2017-05-01,9.949999809265137
2017-05-02,9.989999771118164
2017-05-03,9.800000190734863
2017-05-04,9.680000305175781
2017-05-05,9.779999732971191
2017-05-08,10.100000381469727
2017-05-09,9.960000038146973
2017-05-10,9.930000305175781
2017-05-11,9.850000381469727
2017-05-12,9.800000190734863
2017-05-15,9.960000038146973
2017-05-16,9.890000343322754
2017-05-17,9.75
2017-05-18,9.680000305175781
2017-05-19,9.649999618530273
2017-05-22,9.880000114440918
2017-05-23,9.949999809265137
2017-05-24,9.90999984741211
2017-05-25,9.789999961853027
2017-05-26,9.920000076293945
2017-05-30,10.010000228881836
2017-05-31,9.960000038146973
2017-06-01,10.0
2017-06-02,10.0600004196167
2017-06-05,10.020000457763672
2017-06-06,10.010000228881836
2017-06-07,10.010000228881836
2017-06-08,10.0
2017-06-09,10.039999961853027
2017-06-12,9.979999542236328
2017-06-13,9.9399995803833
2017-06-14,9.859999656677246
2017-06-15,9.880000114440918
2017-06-16,9.859999656677246
2017-06-19,9.84000015258789
2017-06-20,9.640000343322754
2017-06-21,9.59000015258789
2017-06-22,9.529999732971191
2017-06-23,9.520000457763672
2017-06-26,9.800000190734863
2017-06-27,9.710000038146973
2017-06-28,9.90999984741211
2017-06-29,10.010000228881836
2017-06-30,9.949999809265137
2017-07-03,10.020000457763672
2017-07-05,10.039999961853027
2017-07-06,9.890000343322754
2017-07-07,9.880000114440918
2017-07-10,9.9399995803833
2017-07-11,10.069999694824219
2017-07-12,10.0600004196167
2017-07-13,10.039999961853027
2017-07-14,10.130000114440918
2017-07-17,10.130000114440918
2017-07-18,10.149999618530273
2017-07-19,10.130000114440918
2017-07-20,10.130000114440918
2017-07-21,10.130000114440918
2017-07-24,10.229999542236328
2017-07-25,10.149999618530273
2017-07-26,10.020000457763672
2017-07-27,10.050000190734863
2017-07-28,10.020000457763672
2017-07-31,9.989999771118164
2017-08-01,10.180000305175781
2017-08-02,10.069999694824219
2017-08-03,10.079999923706055
2017-08-04,9.970000267028809
2017-08-07,9.869999885559082
2017-08-08,9.649999618530273
2017-08-09,9.680000305175781
2017-08-10,9.699999809265137
2017-08-11,9.680000305175781
2017-08-14,9.699999809265137
2017-08-15,9.680000305175781
2017-08-16,9.600000381469727
2017-08-17,9.5
2017-08-18,9.399999618530273
2017-08-21,9.350000381469727
2017-08-22,9.460000038146973
2017-08-23,9.489999771118164
2017-08-24,9.390000343322754
2017-08-25,9.329999923706055
2017-08-28,9.319999694824219
2017-08-29,9.25
2017-08-30,9.319999694824219
2017-08-31,9.199999809265137
2017-09-01,9.319999694824219
2017-09-05,9.3100004196167
2017-09-06,9.319999694824219
2017-09-07,9.329999923706055
2017-09-08,9.270000457763672
2017-09-11,9.380000114440918
2017-09-12,9.380000114440918
2017-09-13,9.399999618530273
2017-09-14,9.15999984741211
2017-09-15,9.100000381469727
2017-09-18,9.079999923706055
2017-09-19,9.100000381469727
2017-09-20,9.130000114440918
2017-09-21,9.100000381469727
2017-09-22,9.1899995803833
2017-09-25,9.180000305175781
2017-09-26,9.140000343322754
2017-09-27,9.199999809265137
2017-09-28,9.210000038146973
2017-09-29,9.329999923706055
2017-10-02,9.460000038146973
2017-10-03,9.359999656677246
2017-10-04,9.399999618530273
2017-10-05,9.390000343322754
2017-10-06,9.289999961853027
2017-10-09,9.300000190734863
2017-10-10,9.25
2017-10-11,9.270000457763672
2017-10-12,9.210000038146973
2017-10-13,9.180000305175781
2017-10-16,9.180000305175781
2017-10-17,9.140000343322754
2017-10-18,9.130000114440918
2017-10-19,9.15999984741211
2017-10-20,9.1899995803833
2017-10-23,9.15999984741211
2017-10-24,9.15999984741211
2017-10-25,9.050000190734863
2017-10-26,9.100000381469727
2017-10-27,9.079999923706055
2017-10-30,9.100000381469727
2017-10-31,9.050000190734863
2017-11-01,9.039999961853027
2017-11-02,9.0
2017-11-03,9.039999961853027
2017-11-06,8.930000305175781
2017-11-07,8.9399995803833
2017-11-08,9.050000190734863
2017-11-09,9.010000228881836
2017-11-10,9.449999809265137
2017-11-13,9.350000381469727
2017-11-14,9.329999923706055
2017-11-15,9.25
2017-11-16,9.380000114440918
2017-11-17,9.4399995803833
2017-11-20,9.369999885559082
2017-11-21,9.399999618530273
2017-11-22,9.529999732971191
2017-11-24,9.609999656677246
2017-11-27,9.460000038146973
2017-11-28,9.470000267028809
2017-11-29,9.4399995803833
2017-11-30,9.399999618530273
2017-12-01,9.5
2017-12-04,9.420000076293945
2017-12-05,9.40999984741211
2017-12-06,9.520000457763672
2017-12-07,9.489999771118164
2017-12-08,9.550000190734863
2017-12-11,9.449999809265137
2017-12-12,9.40999984741211
2017-12-13,9.390000343322754
2017-12-14,9.15999984741211
2017-12-15,9.239999771118164
2017-12-18,9.119999885559082
2017-12-19,9.180000305175781
2017-12-20,9.100000381469727
2017-12-21,9.180000305175781
2017-12-22,9.170000076293945
2017-12-26,9.149999618530273
2017-12-27,9.15999984741211
2017-12-28,9.109999656677246
2017-12-29,9.050000190734863
2018-01-02,9.25
2018-01-03,9.1899995803833
2018-01-04,9.140000343322754
2018-01-05,9.119999885559082
2018-01-08,9.15999984741211
2018-01-09,9.119999885559082
2018-01-10,9.130000114440918
2018-01-11,9.180000305175781
2018-01-12,9.170000076293945
2018-01-16,9.15999984741211
2018-01-17,9.140000343322754
2018-01-18,9.100000381469727
2018-01-19,9.0600004196167
2018-01-22,9.050000190734863
2018-01-23,9.020000457763672
2018-01-24,8.970000267028809
2018-01-25,8.960000038146973
2018-01-26,8.949999809265137
2018-01-29,8.859999656677246
2018-01-30,8.739999771118164
