,AOSL
2016-04-20,13.289999961853027
2016-04-21,13.1899995803833
2016-04-22,13.34000015258789
2016-04-25,13.329999923706055
2016-04-26,13.649999618530273
2016-04-27,13.779999732971191
2016-04-28,13.430000305175781
2016-04-29,12.989999771118164
2016-05-02,13.0
2016-05-03,12.770000457763672
2016-05-04,12.569999694824219
2016-05-05,13.819999694824219
2016-05-06,13.890000343322754
2016-05-09,13.760000228881836
2016-05-10,13.680000305175781
2016-05-11,13.649999618530273
2016-05-12,13.239999771118164
2016-05-13,13.319999694824219
2016-05-16,13.4399995803833
2016-05-17,12.84000015258789
2016-05-18,12.899999618530273
2016-05-19,12.600000381469727
2016-05-20,12.90999984741211
2016-05-23,13.390000343322754
2016-05-24,13.760000228881836
2016-05-25,13.760000228881836
2016-05-26,13.739999771118164
2016-05-27,13.789999961853027
2016-05-31,13.6899995803833
2016-06-01,13.75
2016-06-02,13.770000457763672
2016-06-03,13.779999732971191
2016-06-06,13.880000114440918
2016-06-07,13.850000381469727
2016-06-08,13.800000190734863
2016-06-09,13.760000228881836
2016-06-10,13.630000114440918
2016-06-13,13.800000190734863
2016-06-14,14.329999923706055
2016-06-15,14.300000190734863
2016-06-16,14.489999771118164
2016-06-17,14.170000076293945
2016-06-20,14.1899995803833
2016-06-21,14.420000076293945
2016-06-22,14.680000305175781
2016-06-23,14.760000228881836
2016-06-24,14.359999656677246
2016-06-27,13.5600004196167
2016-06-28,13.699999809265137
2016-06-29,13.600000381469727
2016-06-30,13.930000305175781
2016-07-01,13.770000457763672
2016-07-05,13.529999732971191
2016-07-06,13.4399995803833
2016-07-07,13.569999694824219
2016-07-08,13.920000076293945
2016-07-11,14.25
2016-07-12,14.3100004196167
2016-07-13,14.470000267028809
2016-07-14,14.15999984741211
2016-07-15,14.149999618530273
2016-07-18,14.100000381469727
2016-07-19,14.229999542236328
2016-07-20,14.630000114440918
2016-07-21,14.270000457763672
2016-07-22,14.390000343322754
2016-07-25,14.40999984741211
2016-07-26,14.779999732971191
2016-07-27,14.760000228881836
2016-07-28,14.609999656677246
2016-07-29,14.289999961853027
2016-08-01,14.260000228881836
2016-08-02,14.170000076293945
2016-08-03,14.449999809265137
2016-08-04,14.229999542236328
2016-08-05,14.470000267028809
2016-08-08,14.630000114440918
2016-08-09,14.869999885559082
2016-08-10,14.890000343322754
2016-08-11,19.040000915527344
2016-08-12,19.6299991607666
2016-08-15,19.329999923706055
2016-08-16,19.06999969482422
2016-08-17,19.639999389648438
2016-08-18,20.09000015258789
2016-08-19,20.3799991607666
2016-08-22,20.1299991607666
2016-08-23,19.969999313354492
2016-08-24,19.950000762939453
2016-08-25,19.989999771118164
2016-08-26,20.6299991607666
2016-08-29,20.719999313354492
2016-08-30,21.239999771118164
2016-08-31,21.06999969482422
2016-09-01,21.3700008392334
2016-09-02,21.59000015258789
2016-09-06,22.149999618530273
2016-09-07,22.110000610351562
2016-09-08,23.030000686645508
2016-09-09,21.860000610351562
2016-09-12,22.0
2016-09-13,20.760000228881836
2016-09-14,20.469999313354492
2016-09-15,20.90999984741211
2016-09-16,21.440000534057617
2016-09-19,20.989999771118164
2016-09-20,20.790000915527344
2016-09-21,20.809999465942383
2016-09-22,20.920000076293945
2016-09-23,20.65999984741211
2016-09-26,20.389999389648438
2016-09-27,21.09000015258789
2016-09-28,21.8700008392334
2016-09-29,21.860000610351562
2016-09-30,21.719999313354492
2016-10-03,21.75
2016-10-04,21.850000381469727
2016-10-05,22.459999084472656
2016-10-06,22.899999618530273
2016-10-07,22.81999969482422
2016-10-10,22.40999984741211
2016-10-11,21.860000610351562
2016-10-12,22.059999465942383
2016-10-13,21.34000015258789
2016-10-14,21.270000457763672
2016-10-17,21.15999984741211
2016-10-18,21.149999618530273
2016-10-19,21.479999542236328
2016-10-20,21.6200008392334
2016-10-21,21.670000076293945
2016-10-24,21.860000610351562
2016-10-25,21.610000610351562
2016-10-26,21.559999465942383
2016-10-27,21.15999984741211
2016-10-28,20.43000030517578
2016-10-31,21.1299991607666
2016-11-01,20.520000457763672
2016-11-02,19.81999969482422
2016-11-03,20.399999618530273
2016-11-04,18.399999618530273
2016-11-07,20.020000457763672
2016-11-08,20.31999969482422
2016-11-09,20.59000015258789
2016-11-10,20.049999237060547
2016-11-11,21.0
2016-11-14,21.260000228881836
2016-11-15,21.34000015258789
2016-11-16,21.389999389648438
2016-11-17,21.959999084472656
2016-11-18,22.649999618530273
2016-11-21,22.450000762939453
2016-11-22,22.899999618530273
2016-11-23,22.56999969482422
2016-11-25,22.899999618530273
2016-11-28,23.43000030517578
