,SDP
2009-12-31,492.0
2010-01-04,492.239990234375
2010-01-05,501.8399963378906
2010-01-06,496.32000732421875
2010-01-07,501.1199951171875
2010-01-08,501.3599853515625
2010-01-11,490.79998779296875
2010-01-12,494.6400146484375
2010-01-13,484.55999755859375
2010-01-14,486.239990234375
2010-01-15,497.760009765625
2010-01-19,481.20001220703125
2010-01-20,490.0799865722656
2010-01-21,504.4800109863281
2010-01-22,523.2000122070312
2010-01-25,518.4000244140625
2010-01-26,514.7999877929688
2010-01-27,522.47998046875
2010-01-28,530.6400146484375
2010-01-29,537.8400268554688
2010-02-01,532.5599975585938
2010-02-02,524.4000244140625
2010-02-03,528.719970703125
2010-02-04,555.5999755859375
2010-02-05,562.0800170898438
2010-02-08,563.760009765625
2010-02-09,559.4400024414062
2010-02-10,563.280029296875
2010-02-11,556.7999877929688
2010-02-12,560.8800048828125
2010-02-16,540.9600219726562
2010-02-17,542.1599731445312
2010-02-18,535.2000122070312
2010-02-19,519.3599853515625
2010-02-22,526.0800170898438
2010-02-23,534.239990234375
2010-02-24,532.5599975585938
2010-02-25,537.3599853515625
2010-02-26,541.6799926757812
2010-03-01,530.4000244140625
2010-03-02,524.6400146484375
2010-03-03,524.6400146484375
2010-03-04,528.0
2010-03-05,513.1199951171875
2010-03-08,512.1599731445312
2010-03-09,514.0800170898438
2010-03-10,512.4000244140625
2010-03-11,509.2799987792969
2010-03-12,513.5999755859375
2010-03-15,513.3599853515625
2010-03-16,505.20001220703125
2010-03-17,498.0
2010-03-18,500.3999938964844
2010-03-19,507.6000061035156
2010-03-22,505.9200134277344
2010-03-23,505.9200134277344
2010-03-24,513.8400268554688
2010-03-25,521.280029296875
2010-03-26,518.4000244140625
2010-03-29,506.3999938964844
2010-03-30,506.3999938964844
2010-03-31,506.6400146484375
2010-04-01,500.1600036621094
2010-04-05,492.0
2010-04-06,482.1600036621094
2010-04-07,491.5199890136719
2010-04-08,497.5199890136719
2010-04-09,495.3599853515625
2010-04-12,486.9599914550781
2010-04-13,490.55999755859375
2010-04-14,492.4800109863281
2010-04-15,489.8399963378906
2010-04-16,500.3999938964844
2010-04-19,498.9599914550781
2010-04-20,487.67999267578125
2010-04-21,487.20001220703125
2010-04-22,481.9200134277344
2010-04-23,474.7200012207031
2010-04-26,476.1600036621094
2010-04-27,493.67999267578125
2010-04-28,485.0400085449219
2010-04-29,481.44000244140625
2010-04-30,474.7200012207031
2010-05-03,465.6000061035156
2010-05-04,482.3999938964844
2010-05-05,489.8399963378906
2010-05-06,517.6799926757812
2010-05-07,525.3599853515625
2010-05-10,499.44000244140625
2010-05-11,487.67999267578125
2010-05-12,478.32000732421875
2010-05-13,479.0400085449219
2010-05-14,494.1600036621094
2010-05-17,493.20001220703125
2010-05-18,501.1199951171875
2010-05-19,510.4800109863281
2010-05-20,541.2000122070312
2010-05-21,540.719970703125
2010-05-24,547.9199829101562
2010-05-25,556.7999877929688
2010-05-26,552.239990234375
2010-05-27,536.6400146484375
2010-05-28,527.280029296875
2010-06-01,552.719970703125
2010-06-02,538.5599975585938
2010-06-03,521.52001953125
2010-06-04,555.5999755859375
2010-06-07,549.3599853515625
2010-06-08,535.4400024414062
2010-06-09,541.2000122070312
2010-06-10,519.3599853515625
2010-06-11,514.7999877929688
2010-06-14,508.55999755859375
2010-06-15,487.67999267578125
2010-06-16,481.20001220703125
2010-06-17,473.5199890136719
2010-06-18,470.8800048828125
2010-06-21,475.67999267578125
2010-06-22,502.79998779296875
2010-06-23,510.9599914550781
2010-06-24,516.47998046875
2010-06-25,515.52001953125
2010-06-28,502.55999755859375
2010-06-29,528.719970703125
2010-06-30,532.5599975585938
2010-07-01,536.1599731445312
2010-07-02,535.9199829101562
2010-07-06,534.0
2010-07-07,492.7200012207031
2010-07-08,484.32000732421875
2010-07-09,477.3599853515625
2010-07-12,475.44000244140625
2010-07-13,470.6400146484375
2010-07-14,474.0
2010-07-15,464.6400146484375
2010-07-16,481.9200134277344
2010-07-19,469.67999267578125
2010-07-20,460.55999755859375
2010-07-21,474.4800109863281
2010-07-22,456.4800109863281
2010-07-23,456.7200012207031
2010-07-26,447.3599853515625
2010-07-27,437.0400085449219
2010-07-28,441.6000061035156
2010-07-29,453.6000061035156
2010-07-30,458.8800048828125
2010-08-02,442.0799865722656
2010-08-03,444.239990234375
2010-08-04,440.8800048828125
2010-08-05,442.79998779296875
2010-08-06,439.44000244140625
2010-08-09,436.0799865722656
2010-08-10,432.4800109863281
2010-08-11,450.9599914550781
2010-08-12,453.1199951171875
2010-08-13,448.0799865722656
2010-08-16,449.5199890136719
2010-08-17,435.3599853515625
2010-08-18,443.0400085449219
2010-08-19,456.0
