,DGE
2007-06-19,517.0800170898438
2007-06-20,509.8399963378906
2007-06-21,511.1000061035156
2007-06-22,504.3599853515625
2007-06-25,504.6099853515625
2007-06-26,508.4599914550781
2007-06-27,512.22998046875
2007-06-28,511.4700012207031
2007-06-29,510.8500061035156
2007-07-02,515.1300048828125
2007-07-03,515.4600219726562
2007-07-05,514.8800048828125
2007-07-06,514.280029296875
2007-07-09,512.3400268554688
2007-07-10,508.04998779296875
2007-07-11,514.1500244140625
2007-07-12,524.3200073242188
2007-07-13,524.27001953125
2007-07-16,522.5800170898438
2007-07-17,517.6599731445312
2007-07-18,513.8499755859375
2007-07-19,513.8599853515625
2007-07-20,508.3900146484375
2007-07-23,515.219970703125
2007-07-24,506.4800109863281
2007-07-25,508.1199951171875
2007-07-26,494.79998779296875
2007-07-27,483.1099853515625
2007-07-30,485.32000732421875
2007-07-31,483.05999755859375
2007-08-01,485.92999267578125
2007-08-02,487.5799865722656
2007-08-03,479.3399963378906
2007-08-06,488.3500061035156
2007-08-07,488.07000732421875
2007-08-08,492.5799865722656
2007-08-09,479.1400146484375
2007-08-10,479.760009765625
2007-08-13,481.30999755859375
2007-08-14,474.3800048828125
2007-08-15,469.57000732421875
2007-08-16,465.75
2007-08-17,471.2799987792969
2007-08-20,472.1499938964844
2007-08-21,471.6600036621094
2007-08-22,477.0199890136719
2007-08-23,478.6099853515625
2007-08-24,483.70001220703125
2007-08-27,480.8900146484375
2007-08-28,472.5899963378906
2007-08-29,480.0400085449219
2007-08-30,477.67999267578125
2007-08-31,481.7099914550781
2007-09-04,485.8699951171875
2007-09-05,486.3599853515625
2007-09-06,487.3699951171875
2007-09-07,478.760009765625
2007-09-10,477.260009765625
2007-09-11,480.5899963378906
2007-09-12,481.4800109863281
2007-09-13,481.9200134277344
2007-09-14,481.2699890136719
2007-09-17,476.760009765625
2007-09-18,485.75
2007-09-19,488.95001220703125
2007-09-20,486.1199951171875
2007-09-21,487.9700012207031
2007-09-24,485.4599914550781
2007-09-25,484.94000244140625
2007-09-26,488.20001220703125
2007-09-27,489.20001220703125
2007-09-28,487.3699951171875
2007-10-01,492.7699890136719
2007-10-02,493.1300048828125
2007-10-03,494.239990234375
2007-10-04,496.4100036621094
2007-10-05,499.2200012207031
2007-10-08,496.7799987792969
2007-10-09,497.6300048828125
2007-10-10,495.3900146484375
2007-10-11,493.7300109863281
2007-10-12,494.9200134277344
2007-10-15,493.8800048828125
2007-10-16,488.82000732421875
2007-10-17,488.80999755859375
2007-10-18,490.0799865722656
2007-10-19,484.6600036621094
2007-10-22,479.7799987792969
2007-10-23,486.25
2007-10-24,484.3800048828125
2007-10-25,484.260009765625
2007-10-26,486.4800109863281
2007-10-29,488.1199951171875
2007-10-30,488.989990234375
2007-10-31,492.0299987792969
2007-11-01,483.260009765625
2007-11-02,482.6600036621094
2007-11-05,481.3800048828125
2007-11-06,484.1600036621094
2007-11-07,476.07000732421875
2007-11-08,480.8299865722656
2007-11-09,475.7900085449219
2007-11-12,474.8699951171875
2007-11-13,482.9100036621094
2007-11-14,480.3999938964844
2007-11-15,476.3599853515625
2007-11-16,478.3800048828125
2007-11-19,471.67999267578125
2007-11-20,472.92999267578125
2007-11-21,465.20001220703125
2007-11-23,478.4599914550781
2007-11-26,471.1199951171875
2007-11-27,479.6600036621094
2007-11-28,488.6400146484375
