,EQRR
2018-09-27,49.849998474121094
2018-09-28,49.7599983215332
2018-10-01,49.689998626708984
2018-10-02,49.66999816894531
2018-10-03,50.290000915527344
2018-10-04,50.10599899291992
2018-10-05,49.54999923706055
2018-10-08,49.582000732421875
2018-10-09,49.165000915527344
2018-10-10,49.5
2018-10-11,46.70000076293945
2018-10-12,46.5
2018-10-15,46.11000061035156
2018-10-16,46.59000015258789
2018-10-17,46.439998626708984
2018-10-18,45.36600112915039
2018-10-19,45.130001068115234
2018-10-22,44.5099983215332
2018-10-23,43.91999816894531
2018-10-24,42.404998779296875
2018-10-25,42.95000076293945
2018-10-26,42.63999938964844
2018-10-29,43.029998779296875
2018-10-30,42.7599983215332
2018-10-31,44.310001373291016
2018-11-01,44.59000015258789
2018-11-02,44.68000030517578
2018-11-05,44.68000030517578
2018-11-06,45.17100143432617
2018-11-07,45.56999969482422
2018-11-08,45.5629997253418
2018-11-09,45.5629997253418
2018-11-12,44.56999969482422
2018-11-13,44.369998931884766
2018-11-14,43.61600112915039
2018-11-15,44.02000045776367
2018-11-16,44.150001525878906
2018-11-19,43.749000549316406
2018-11-20,42.38399887084961
2018-11-21,43.249000549316406
2018-11-23,42.400001525878906
2018-11-26,43.06999969482422
2018-11-27,42.87300109863281
2018-11-28,42.52000045776367
2018-11-29,43.59199905395508
2018-11-30,43.529998779296875
2018-12-03,44.2239990234375
2018-12-04,42.27000045776367
2018-12-06,41.56399917602539
2018-12-07,40.68000030517578
2018-12-10,39.49800109863281
2018-12-11,39.840999603271484
2018-12-12,40.119998931884766
2018-12-13,39.560001373291016
2018-12-14,38.691001892089844
2018-12-17,38.54999923706055
2018-12-18,38.20000076293945
2018-12-19,37.41999816894531
2018-12-20,36.986000061035156
2018-12-21,37.08000183105469
2018-12-24,35.959999084472656
2018-12-26,36.4900016784668
2018-12-27,36.20399856567383
2018-12-28,37.130001068115234
2018-12-31,37.21900177001953
2019-01-02,37.900001525878906
2019-01-03,37.16699981689453
2019-01-04,38.65999984741211
2019-01-07,39.15999984741211
2019-01-08,39.446998596191406
2019-01-09,40.05699920654297
2019-01-10,39.779998779296875
2019-01-11,40.32600021362305
2019-01-14,40.09000015258789
2019-01-15,40.38999938964844
2019-01-16,40.7400016784668
2019-01-17,40.790000915527344
2019-01-18,42.029998779296875
2019-01-22,41.266998291015625
2019-01-23,40.97999954223633
2019-01-24,41.29999923706055
2019-01-25,42.099998474121094
2019-01-28,41.439998626708984
2019-01-29,41.86800003051758
2019-01-30,41.96200180053711
2019-01-31,41.900001525878906
2019-02-01,42.244998931884766
2019-02-04,42.29999923706055
2019-02-05,42.279998779296875
2019-02-06,42.290000915527344
2019-02-07,41.5629997253418
2019-02-08,40.9640007019043
2019-02-11,41.459999084472656
2019-02-12,42.185001373291016
2019-02-13,42.41299819946289
2019-02-14,42.582000732421875
2019-02-15,43.051998138427734
2019-02-19,43.400001525878906
2019-02-20,43.59000015258789
2019-02-21,43.43000030517578
2019-02-22,43.2400016784668
2019-02-25,43.31999969482422
2019-02-26,43.189998626708984
2019-02-27,42.900001525878906
2019-02-28,42.70000076293945
2019-03-01,42.880001068115234
2019-03-04,42.130001068115234
2019-03-05,42.52000045776367
2019-03-06,42.52000045776367
2019-03-07,41.349998474121094
2019-03-08,40.7400016784668
2019-03-11,40.7400016784668
2019-03-12,42.099998474121094
2019-03-13,42.49399948120117
2019-03-14,42.387001037597656
