,BNDX
2017-11-09,54.90999984741211
2017-11-10,54.810001373291016
2017-11-13,54.81999969482422
2017-11-14,54.88999938964844
2017-11-15,54.970001220703125
2017-11-16,54.959999084472656
2017-11-17,54.970001220703125
2017-11-20,55.0
2017-11-21,55.04999923706055
2017-11-22,55.130001068115234
2017-11-24,55.08000183105469
2017-11-27,55.130001068115234
2017-11-28,55.0
2017-11-29,54.91999816894531
2017-11-30,54.959999084472656
2017-12-01,55.08000183105469
2017-12-04,55.11000061035156
2017-12-05,55.150001525878906
2017-12-06,55.20000076293945
2017-12-07,55.15999984741211
2017-12-08,55.18000030517578
2017-12-11,55.20000076293945
2017-12-12,55.13999938964844
2017-12-13,55.20000076293945
2017-12-14,55.209999084472656
2017-12-15,55.2599983215332
2017-12-18,55.2400016784668
2017-12-19,55.04999923706055
2017-12-20,55.029998779296875
2017-12-21,54.97999954223633
2017-12-22,54.9900016784668
2017-12-26,54.310001373291016
2017-12-27,54.40999984741211
2017-12-28,54.33000183105469
2017-12-29,54.369998931884766
2018-01-02,54.25
2018-01-03,54.290000915527344
2018-01-04,54.29999923706055
2018-01-05,54.29999923706055
2018-01-08,54.310001373291016
2018-01-09,54.279998779296875
2018-01-10,54.220001220703125
2018-01-11,54.220001220703125
2018-01-12,54.189998626708984
2018-01-16,54.2400016784668
2018-01-17,54.20000076293945
2018-01-18,54.18000030517578
2018-01-19,54.20000076293945
2018-01-22,54.2400016784668
2018-01-23,54.279998779296875
2018-01-24,54.209999084472656
2018-01-25,54.20000076293945
2018-01-26,54.189998626708984
2018-01-29,54.09000015258789
2018-01-30,54.08000183105469
2018-01-31,54.060001373291016
2018-02-01,53.97999954223633
2018-02-02,53.88999938964844
2018-02-05,54.060001373291016
2018-02-06,54.040000915527344
2018-02-07,53.970001220703125
2018-02-08,53.939998626708984
2018-02-09,53.9900016784668
2018-02-12,53.939998626708984
2018-02-13,53.959999084472656
2018-02-14,53.900001525878906
2018-02-15,53.880001068115234
2018-02-16,54.029998779296875
2018-02-20,53.95000076293945
2018-02-21,53.959999084472656
2018-02-22,54.0099983215332
2018-02-23,54.099998474121094
2018-02-26,54.11000061035156
2018-02-27,54.099998474121094
2018-02-28,54.150001525878906
2018-03-01,54.20000076293945
2018-03-02,54.130001068115234
2018-03-05,54.16999816894531
2018-03-06,54.11000061035156
2018-03-07,54.20000076293945
2018-03-08,54.22999954223633
2018-03-09,54.20000076293945
2018-03-12,54.2400016784668
2018-03-13,54.27000045776367
2018-03-14,54.38999938964844
2018-03-15,54.400001525878906
2018-03-16,54.43000030517578
2018-03-19,54.43000030517578
2018-03-20,54.459999084472656
2018-03-21,54.40999984741211
2018-03-22,54.58000183105469
2018-03-23,54.560001373291016
2018-03-26,54.56999969482422
2018-03-27,54.66999816894531
2018-03-28,54.66999816894531
2018-03-29,54.72999954223633
2018-04-02,54.70000076293945
2018-04-03,54.70000076293945
2018-04-04,54.70000076293945
2018-04-05,54.560001373291016
2018-04-06,54.68000030517578
2018-04-09,54.689998626708984
2018-04-10,54.63999938964844
2018-04-11,54.650001525878906
2018-04-12,54.61000061035156
2018-04-13,54.650001525878906
2018-04-16,54.63999938964844
2018-04-17,54.709999084472656
2018-04-18,54.689998626708984
2018-04-19,54.540000915527344
2018-04-20,54.52000045776367
2018-04-23,54.459999084472656
2018-04-24,54.47999954223633
2018-04-25,54.43000030517578
2018-04-26,54.540000915527344
2018-04-27,54.599998474121094
2018-04-30,54.599998474121094
2018-05-01,54.58000183105469
2018-05-02,54.540000915527344
2018-05-03,54.63999938964844
2018-05-04,54.61000061035156
2018-05-07,54.650001525878906
2018-05-08,54.540000915527344
2018-05-09,54.560001373291016
2018-05-10,54.54999923706055
2018-05-11,54.54999923706055
2018-05-14,54.470001220703125
2018-05-15,54.36000061035156
2018-05-16,54.36000061035156
2018-05-17,54.310001373291016
2018-05-18,54.34000015258789
2018-05-21,54.36000061035156
2018-05-22,54.31999969482422
2018-05-23,54.43000030517578
2018-05-24,54.43000030517578
2018-05-25,54.470001220703125
2018-05-29,54.349998474121094
2018-05-30,54.439998626708984
2018-05-31,54.43000030517578
2018-06-01,54.369998931884766
2018-06-04,54.38999938964844
2018-06-05,54.369998931884766
2018-06-06,54.11000061035156
2018-06-07,54.119998931884766
2018-06-08,54.11000061035156
2018-06-11,54.099998474121094
2018-06-12,54.15999984741211
2018-06-13,54.220001220703125
2018-06-14,54.38999938964844
2018-06-15,54.5099983215332
2018-06-18,54.5
2018-06-19,54.70000076293945
2018-06-20,54.709999084472656
2018-06-21,54.72999954223633
2018-06-22,54.7400016784668
2018-06-25,54.650001525878906
2018-06-26,54.650001525878906
2018-06-27,54.7599983215332
2018-06-28,54.63999938964844
2018-06-29,54.709999084472656
2018-07-02,54.720001220703125
2018-07-03,54.72999954223633
2018-07-05,54.79999923706055
2018-07-06,54.79999923706055
2018-07-09,54.84000015258789
2018-07-10,54.810001373291016
2018-07-11,54.849998474121094
2018-07-12,54.88999938964844
2018-07-13,54.90999984741211
2018-07-16,54.88999938964844
2018-07-17,54.93000030517578
2018-07-18,54.91999816894531
2018-07-19,54.9900016784668
2018-07-20,54.88999938964844
2018-07-23,54.72999954223633
2018-07-24,54.75
2018-07-25,54.75
2018-07-26,54.66999816894531
2018-07-27,54.709999084472656
2018-07-30,54.66999816894531
2018-07-31,54.7400016784668
2018-08-01,54.54999923706055
2018-08-02,54.47999954223633
2018-08-03,54.56999969482422
2018-08-06,54.61000061035156
2018-08-07,54.630001068115234
2018-08-08,54.619998931884766
2018-08-09,54.68000030517578
2018-08-10,54.72999954223633
2018-08-13,54.72999954223633
2018-08-14,54.7400016784668
2018-08-15,54.720001220703125
2018-08-16,54.75
2018-08-17,54.75
2018-08-20,54.779998779296875
2018-08-21,54.79999923706055
2018-08-22,54.790000915527344
2018-08-23,54.81999969482422
2018-08-24,54.7400016784668
2018-08-27,54.689998626708984
2018-08-28,54.689998626708984
2018-08-29,54.65999984741211
2018-08-30,54.70000076293945
2018-08-31,54.720001220703125
