,CREE
1996-02-27,3.875
1996-02-28,3.875
1996-02-29,3.78125
1996-03-01,3.78125
1996-03-04,3.8125
1996-03-05,3.71875
1996-03-06,3.75
1996-03-07,3.6875
1996-03-08,3.46875
1996-03-11,3.75
1996-03-12,3.875
1996-03-13,3.8125
1996-03-14,3.8125
1996-03-15,3.75
1996-03-18,3.84375
1996-03-19,3.71875
1996-03-20,3.75
1996-03-21,3.6875
1996-03-22,3.625
1996-03-25,3.5625
1996-03-26,3.5625
1996-03-27,3.5
1996-03-28,3.4375
1996-03-29,3.8125
1996-04-01,3.625
1996-04-02,3.875
1996-04-03,3.78125
1996-04-04,3.6875
1996-04-08,3.75
1996-04-09,4.0
1996-04-10,4.0625
1996-04-11,4.0
1996-04-12,4.125
1996-04-15,4.484375
1996-04-16,5.03125
1996-04-17,5.15625
1996-04-18,4.375
1996-04-19,4.375
1996-04-22,4.4375
1996-04-23,4.4375
1996-04-24,4.78125
1996-04-25,4.78125
1996-04-26,4.9375
1996-04-29,4.8125
1996-04-30,4.5625
1996-05-01,4.5625
1996-05-02,4.5
1996-05-03,4.59375
1996-05-06,4.8125
1996-05-07,4.625
1996-05-08,4.6875
1996-05-09,4.671875
1996-05-10,5.03125
1996-05-13,5.03125
1996-05-14,4.9375
1996-05-15,5.03125
1996-05-16,4.96875
1996-05-17,5.0
1996-05-20,4.8125
1996-05-21,4.75
1996-05-22,4.8125
1996-05-23,4.6875
1996-05-24,4.5
1996-05-28,4.453125
1996-05-29,4.15625
1996-05-30,4.25
1996-05-31,4.1875
1996-06-03,4.25
1996-06-04,4.25
1996-06-05,4.109375
1996-06-06,4.125
1996-06-07,4.125
1996-06-10,4.1875
1996-06-11,4.25
1996-06-12,4.0
1996-06-13,3.8125
1996-06-14,4.0
1996-06-17,4.0
1996-06-18,3.6875
1996-06-19,3.65625
1996-06-20,3.75
1996-06-21,3.75
1996-06-24,3.8125
1996-06-25,3.6875
1996-06-26,3.65625
1996-06-27,3.53125
1996-06-28,3.75
1996-07-01,3.9375
1996-07-02,3.3125
1996-07-03,3.4375
1996-07-05,3.1875
1996-07-08,2.9375
1996-07-09,2.96875
1996-07-10,2.78125
1996-07-11,2.6875
1996-07-12,2.53125
1996-07-15,2.53125
1996-07-16,2.53125
1996-07-17,2.4375
1996-07-18,2.375
1996-07-19,2.46875
1996-07-22,2.46875
1996-07-23,2.3125
1996-07-24,2.125
1996-07-25,2.21875
1996-07-26,2.5
1996-07-29,2.75
1996-07-30,2.9375
1996-07-31,2.75
1996-08-01,2.8125
1996-08-02,2.8125
1996-08-05,2.75
1996-08-06,2.703125
1996-08-07,2.875
1996-08-08,2.875
1996-08-09,2.8125
1996-08-12,2.796875
1996-08-13,2.75
1996-08-14,2.75
1996-08-15,2.8125
1996-08-16,2.75
1996-08-19,2.6875
1996-08-20,2.671875
1996-08-21,2.984375
1996-08-22,2.875
1996-08-23,2.8125
1996-08-26,2.6875
1996-08-27,2.5625
1996-08-28,2.53125
1996-08-29,2.625
1996-08-30,2.5625
1996-09-03,2.625
1996-09-04,2.671875
1996-09-05,2.5625
1996-09-06,2.78125
1996-09-09,2.8125
1996-09-10,2.875
1996-09-11,2.71875
1996-09-12,2.65625
1996-09-13,2.875
1996-09-16,3.46875
1996-09-17,3.125
1996-09-18,3.25
1996-09-19,3.125
1996-09-20,3.25
1996-09-23,3.1875
1996-09-24,3.1875
1996-09-25,3.125
1996-09-26,3.125
1996-09-27,3.0625
1996-09-30,3.0625
1996-10-01,3.0625
1996-10-02,2.796875
1996-10-03,2.90625
1996-10-04,2.875
1996-10-07,2.84375
1996-10-08,3.0625
1996-10-09,3.21875
1996-10-10,3.1875
1996-10-11,3.125
1996-10-14,3.3125
1996-10-15,3.375
1996-10-16,3.25
1996-10-17,3.25
1996-10-18,3.1875
1996-10-21,3.125
1996-10-22,3.0625
1996-10-23,3.078125
1996-10-24,3.3125
1996-10-25,3.15625
1996-10-28,3.3125
1996-10-29,2.8125
1996-10-30,2.875
1996-10-31,2.875
1996-11-01,2.84375
1996-11-04,3.0
1996-11-05,2.9375
1996-11-06,2.6875
1996-11-07,2.5625
1996-11-08,2.5
1996-11-11,2.625
1996-11-12,2.90625
1996-11-13,3.0
1996-11-14,2.75
1996-11-15,2.6875
1996-11-18,2.625
1996-11-19,2.625
1996-11-20,2.625
1996-11-21,2.46875
1996-11-22,2.5625
1996-11-25,2.5
1996-11-26,2.484375
1996-11-27,2.4375
1996-11-29,2.5625
1996-12-02,2.375
1996-12-03,2.6875
