,BANX
2015-07-08,16.40999984741211
2015-07-09,16.799999237060547
2015-07-10,16.90999984741211
2015-07-13,16.6200008392334
2015-07-14,16.479999542236328
2015-07-15,16.5
2015-07-16,16.610000610351562
2015-07-17,16.610000610351562
2015-07-20,16.510000228881836
2015-07-21,16.579999923706055
2015-07-22,16.600000381469727
2015-07-23,16.739999771118164
2015-07-24,16.200000762939453
2015-07-27,16.200000762939453
2015-07-28,16.110000610351562
2015-07-29,16.059999465942383
2015-07-30,15.529999732971191
2015-07-31,15.5600004196167
2015-08-03,15.609999656677246
2015-08-04,15.699999809265137
2015-08-05,15.59000015258789
2015-08-06,15.680000305175781
2015-08-07,15.399999618530273
2015-08-10,15.529999732971191
2015-08-11,15.640000343322754
2015-08-12,15.600000381469727
2015-08-13,15.649999618530273
2015-08-14,16.6200008392334
2015-08-17,16.700000762939453
2015-08-18,17.110000610351562
2015-08-19,17.059999465942383
2015-08-20,17.100000381469727
2015-08-21,16.84000015258789
2015-08-24,16.950000762939453
2015-08-25,17.149999618530273
2015-08-26,17.110000610351562
2015-08-27,17.010000228881836
2015-08-28,16.959999084472656
2015-08-31,16.959999084472656
2015-09-01,16.90999984741211
2015-09-02,17.260000228881836
2015-09-03,17.649999618530273
2015-09-04,17.600000381469727
2015-09-08,17.75
2015-09-09,17.75
2015-09-10,17.75
2015-09-11,17.739999771118164
2015-09-14,17.5
2015-09-15,17.790000915527344
2015-09-16,17.799999237060547
2015-09-17,17.290000915527344
2015-09-18,17.15999984741211
2015-09-21,16.6200008392334
2015-09-22,16.530000686645508
2015-09-23,16.549999237060547
2015-09-24,16.959999084472656
2015-09-25,16.729999542236328
2015-09-28,16.290000915527344
2015-09-29,16.799999237060547
2015-09-30,16.81999969482422
2015-10-01,17.25
2015-10-02,16.670000076293945
2015-10-05,16.719999313354492
2015-10-06,16.790000915527344
2015-10-07,17.110000610351562
2015-10-08,17.010000228881836
2015-10-09,17.020000457763672
2015-10-12,16.829999923706055
2015-10-13,17.079999923706055
2015-10-14,17.170000076293945
2015-10-15,17.0
2015-10-16,17.270000457763672
2015-10-19,17.280000686645508
2015-10-20,17.229999542236328
2015-10-21,17.600000381469727
2015-10-22,17.459999084472656
2015-10-23,17.899999618530273
2015-10-26,17.809999465942383
2015-10-27,17.68000030517578
2015-10-28,17.649999618530273
2015-10-29,17.719999313354492
2015-10-30,17.75
2015-11-02,17.639999389648438
2015-11-03,17.540000915527344
2015-11-04,17.84000015258789
