,CHSCO
2018-11-09,27.270000457763672
2018-11-12,27.25
2018-11-13,27.280000686645508
2018-11-14,27.25
2018-11-15,27.06999969482422
2018-11-16,27.149999618530273
2018-11-19,26.899999618530273
2018-11-20,26.790000915527344
2018-11-21,26.8700008392334
2018-11-23,26.93000030517578
2018-11-26,27.0
2018-11-27,26.90999984741211
2018-11-28,27.110000610351562
2018-11-29,27.049999237060547
2018-11-30,26.860000610351562
2018-12-03,27.049999237060547
2018-12-04,26.770000457763672
2018-12-06,26.559999465942383
2018-12-07,26.389999389648438
2018-12-10,26.329999923706055
2018-12-11,26.209999084472656
2018-12-12,26.239999771118164
2018-12-13,26.299999237060547
2018-12-14,26.049999237060547
2018-12-17,25.649999618530273
2018-12-18,25.729999542236328
2018-12-19,25.399999618530273
2018-12-20,25.139999389648438
2018-12-21,25.149999618530273
2018-12-24,25.3799991607666
2018-12-26,25.450000762939453
2018-12-27,25.18000030517578
2018-12-28,25.43000030517578
2018-12-31,25.700000762939453
2019-01-02,26.260000228881836
2019-01-03,26.260000228881836
2019-01-04,26.540000915527344
2019-01-07,26.84000015258789
2019-01-08,26.549999237060547
2019-01-09,26.3799991607666
2019-01-10,26.709999084472656
2019-01-11,26.860000610351562
2019-01-14,27.049999237060547
2019-01-15,27.309999465942383
2019-01-16,27.459999084472656
2019-01-17,27.579999923706055
2019-01-18,27.959999084472656
2019-01-22,27.729999542236328
2019-01-23,27.729999542236328
2019-01-24,27.600000381469727
2019-01-25,27.610000610351562
2019-01-28,27.350000381469727
2019-01-29,27.399999618530273
2019-01-30,27.6200008392334
2019-01-31,27.520000457763672
2019-02-01,27.1200008392334
2019-02-04,27.34000015258789
2019-02-05,27.479999542236328
2019-02-06,27.450000762939453
2019-02-07,27.18000030517578
2019-02-08,27.290000915527344
2019-02-11,27.260000228881836
2019-02-12,27.360000610351562
2019-02-13,27.5
2019-02-14,27.450000762939453
