,BTEC
2018-12-28,27.118999481201172
2018-12-31,27.600000381469727
2019-01-02,27.600000381469727
2019-01-03,27.53499984741211
2019-01-04,28.530000686645508
2019-01-07,30.219999313354492
2019-01-08,30.31999969482422
2019-01-09,30.31999969482422
2019-01-10,30.31999969482422
2019-01-11,31.5
2019-01-14,31.305999755859375
2019-01-15,32.04499816894531
2019-01-16,32.0099983215332
2019-01-17,32.095001220703125
2019-01-18,32.25
2019-01-22,31.520000457763672
2019-01-23,31.200000762939453
2019-01-24,31.479999542236328
2019-01-25,31.479999542236328
2019-01-28,31.489999771118164
2019-01-29,31.349000930786133
2019-01-30,31.5
2019-01-31,32.66999816894531
2019-02-01,32.88100051879883
2019-02-04,33.0099983215332
2019-02-05,33.130001068115234
2019-02-06,33.040000915527344
2019-02-07,32.34600067138672
2019-02-08,32.400001525878906
2019-02-11,32.70000076293945
2019-02-12,33.06999969482422
2019-02-13,33.1349983215332
2019-02-14,33.209999084472656
2019-02-15,33.630001068115234
2019-02-19,33.65999984741211
2019-02-20,33.65999984741211
2019-02-21,32.83000183105469
2019-02-22,33.2400016784668
2019-02-25,34.41999816894531
2019-02-26,34.209999084472656
2019-02-27,34.939998626708984
2019-02-28,34.72999954223633
2019-03-01,35.439998626708984
2019-03-04,35.06999969482422
2019-03-05,35.0
2019-03-06,33.849998474121094
2019-03-07,33.599998474121094
2019-03-08,33.31999969482422
2019-03-11,34.310001373291016
2019-03-12,34.810001373291016
2019-03-13,35.26499938964844
2019-03-14,35.150001525878906
2019-03-15,35.323001861572266
2019-03-18,35.290000915527344
2019-03-19,35.459999084472656
2019-03-20,35.439998626708984
2019-03-21,35.939998626708984
2019-03-22,34.770999908447266
2019-03-25,34.229000091552734
2019-03-26,34.59600067138672
2019-03-27,33.79999923706055
2019-03-28,34.189998626708984
2019-03-29,34.8120002746582
2019-04-01,34.9900016784668
2019-04-02,35.152000427246094
2019-04-03,35.349998474121094
2019-04-04,35.08000183105469
2019-04-05,35.720001220703125
2019-04-08,35.638999938964844
2019-04-09,35.3380012512207
2019-04-10,35.3380012512207
2019-04-11,34.9900016784668
2019-04-12,34.40999984741211
2019-04-15,34.0
2019-04-16,34.237998962402344
2019-04-17,32.2599983215332
2019-04-18,32.08000183105469
2019-04-22,32.15999984741211
2019-04-23,33.189998626708984
2019-04-24,32.87200164794922
2019-04-25,32.85300064086914
2019-04-26,32.94599914550781
2019-04-29,33.41999816894531
2019-04-30,32.74100112915039
2019-05-01,32.90999984741211
2019-05-02,32.70100021362305
2019-05-03,33.220001220703125
2019-05-06,33.43000030517578
2019-05-07,32.641998291015625
2019-05-08,32.84299850463867
2019-05-09,32.680999755859375
2019-05-10,32.69499969482422
2019-05-13,31.270000457763672
2019-05-14,31.360000610351562
2019-05-15,31.959999084472656
2019-05-16,32.77000045776367
2019-05-17,32.77000045776367
2019-05-20,32.77000045776367
2019-05-21,32.152000427246094
2019-05-22,31.979999542236328
2019-05-23,31.979999542236328
2019-05-24,32.0
2019-05-28,31.889999389648438
2019-05-29,31.889999389648438
2019-05-30,31.229999542236328
2019-05-31,31.257999420166016
2019-06-03,31.010000228881836
2019-06-04,31.889999389648438
2019-06-05,31.84000015258789
2019-06-06,31.57900047302246
2019-06-07,32.0
2019-06-10,32.36000061035156
2019-06-11,31.93000030517578
2019-06-12,31.940000534057617
2019-06-13,32.11000061035156
2019-06-14,31.989999771118164
2019-06-17,32.9900016784668
2019-06-18,33.779998779296875
2019-06-19,33.869998931884766
2019-06-20,33.95000076293945
2019-06-21,33.70000076293945
2019-06-24,33.391998291015625
2019-06-25,32.90999984741211
2019-06-26,32.82899856567383
2019-06-27,33.5099983215332
2019-06-28,34.150001525878906
2019-07-01,34.433998107910156
2019-07-02,34.1870002746582
2019-07-03,34.1870002746582
2019-07-05,34.27899932861328
2019-07-08,33.50699996948242
2019-07-09,33.92599868774414
2019-07-10,34.16999816894531
2019-07-11,34.16999816894531
2019-07-12,33.70000076293945
2019-07-15,34.04999923706055
2019-07-16,33.75
2019-07-17,33.75
2019-07-18,34.457000732421875
2019-07-19,34.189998626708984
2019-07-22,34.27000045776367
2019-07-23,33.83700180053711
2019-07-24,33.89799880981445
2019-07-25,33.810001373291016
2019-07-26,33.77000045776367
2019-07-29,33.470001220703125
2019-07-30,34.310001373291016
2019-07-31,34.439998626708984
2019-08-01,34.43000030517578
2019-08-02,32.849998474121094
2019-08-05,32.0
2019-08-06,33.0099983215332
2019-08-07,33.150001525878906
2019-08-08,34.03099822998047
2019-08-09,33.52000045776367
2019-08-12,32.869998931884766
2019-08-13,33.19900131225586
2019-08-14,32.75
2019-08-15,32.84000015258789
2019-08-16,32.84000015258789
2019-08-19,32.84000015258789
2019-08-20,33.51100158691406
2019-08-21,33.750999450683594
2019-08-22,33.310001373291016
2019-08-23,33.310001373291016
2019-08-26,33.310001373291016
2019-08-27,32.0099983215332
2019-08-28,32.439998626708984
2019-08-29,32.867000579833984
2019-08-30,32.47999954223633
2019-09-03,31.940000534057617
2019-09-04,31.6299991607666
2019-09-05,32.11000061035156
2019-09-06,31.989999771118164
2019-09-09,31.6299991607666
2019-09-10,31.482999801635742
2019-09-11,32.957000732421875
2019-09-12,32.957000732421875
2019-09-13,32.957000732421875
2019-09-16,33.13600158691406
2019-09-17,33.29999923706055
2019-09-18,33.29999923706055
2019-09-19,33.29999923706055
2019-09-20,33.11199951171875
2019-09-23,33.060001373291016
2019-09-24,33.060001373291016
2019-09-25,31.84000015258789
2019-09-26,30.969999313354492
2019-09-27,31.219999313354492
2019-09-30,31.219999313354492
2019-10-01,29.823999404907227
2019-10-02,29.621999740600586
2019-10-03,30.3799991607666
2019-10-04,30.3799991607666
2019-10-07,30.3799991607666
2019-10-08,30.3799991607666
2019-10-09,29.600000381469727
2019-10-10,30.069000244140625
2019-10-11,30.649999618530273
2019-10-14,30.61199951171875
2019-10-15,30.61199951171875
2019-10-16,31.395999908447266
2019-10-17,31.395999908447266
2019-10-18,31.635000228881836
2019-10-21,32.09000015258789
2019-10-22,32.09000015258789
2019-10-23,31.959999084472656
2019-10-24,31.959999084472656
2019-10-25,32.15399932861328
2019-10-28,32.709999084472656
2019-10-29,32.779998779296875
2019-10-30,32.5
2019-10-31,32.5
2019-11-01,33.02000045776367
2019-11-04,33.02000045776367
2019-11-05,33.02000045776367
