,FFWM
2016-12-08,14.649999618530273
2016-12-09,14.649999618530273
2016-12-12,14.625
2016-12-13,14.625
2016-12-14,14.574999809265137
2016-12-15,14.899999618530273
2016-12-16,14.505000114440918
2016-12-19,14.5
2016-12-20,14.449999809265137
2016-12-21,14.34000015258789
2016-12-22,14.385000228881836
2016-12-23,14.494999885559082
2016-12-27,14.399999618530273
2016-12-28,14.34000015258789
2016-12-29,14.300000190734863
2016-12-30,14.25
2017-01-03,14.164999961853027
2017-01-04,14.220000267028809
2017-01-05,14.114999771118164
2017-01-06,14.225000381469727
2017-01-09,14.135000228881836
2017-01-10,14.375
2017-01-11,14.390000343322754
2017-01-12,14.125
2017-01-13,14.255000114440918
2017-01-17,13.829999923706055
2017-01-18,13.854999542236328
2017-01-19,13.829999923706055
2017-01-20,13.859999656677246
2017-01-23,14.069999694824219
2017-01-24,14.1899995803833
2017-01-25,14.390000343322754
2017-01-26,14.40999984741211
2017-01-27,14.40999984741211
2017-01-30,14.399999618530273
2017-01-31,14.5
2017-02-01,14.649999618530273
2017-02-02,14.640000343322754
2017-02-03,15.079999923706055
2017-02-06,15.0
2017-02-07,15.779999732971191
2017-02-08,15.710000038146973
2017-02-09,15.75
2017-02-10,16.139999389648438
2017-02-13,16.280000686645508
2017-02-14,16.450000762939453
2017-02-15,16.920000076293945
2017-02-16,16.6299991607666
2017-02-17,16.559999465942383
2017-02-21,17.020000457763672
2017-02-22,16.93000030517578
2017-02-23,16.920000076293945
2017-02-24,16.6299991607666
2017-02-27,16.610000610351562
2017-02-28,16.399999618530273
2017-03-01,16.760000228881836
2017-03-02,16.040000915527344
2017-03-03,16.0
2017-03-06,15.899999618530273
2017-03-07,15.779999732971191
2017-03-08,15.699999809265137
2017-03-09,15.600000381469727
2017-03-10,15.6899995803833
2017-03-13,15.550000190734863
2017-03-14,15.470000267028809
2017-03-15,15.34000015258789
2017-03-16,15.899999618530273
2017-03-17,15.90999984741211
2017-03-20,15.600000381469727
2017-03-21,14.970000267028809
2017-03-22,14.739999771118164
2017-03-23,15.119999885559082
2017-03-24,15.260000228881836
2017-03-27,15.449999809265137
2017-03-28,15.4399995803833
2017-03-29,15.34000015258789
2017-03-30,15.739999771118164
2017-03-31,15.510000228881836
2017-04-03,15.5
2017-04-04,15.470000267028809
2017-04-05,15.3100004196167
2017-04-06,15.380000114440918
2017-04-07,15.5
2017-04-10,15.279999732971191
2017-04-11,15.479999542236328
2017-04-12,15.5
2017-04-13,15.319999694824219
2017-04-17,15.359999656677246
2017-04-18,15.350000381469727
2017-04-19,15.609999656677246
2017-04-20,15.739999771118164
2017-04-21,15.710000038146973
2017-04-24,16.0
2017-04-25,16.0
2017-04-26,16.030000686645508
2017-04-27,15.720000267028809
2017-04-28,15.699999809265137
2017-05-01,16.020000457763672
2017-05-02,16.139999389648438
2017-05-03,16.260000228881836
2017-05-04,16.329999923706055
2017-05-05,16.350000381469727
2017-05-08,16.360000610351562
2017-05-09,16.459999084472656
2017-05-10,16.459999084472656
2017-05-11,16.06999969482422
2017-05-12,15.670000076293945
2017-05-15,15.850000381469727
2017-05-16,16.459999084472656
2017-05-17,15.869999885559082
2017-05-18,15.90999984741211
2017-05-19,15.9399995803833
2017-05-22,16.200000762939453
2017-05-23,16.299999237060547
2017-05-24,15.869999885559082
2017-05-25,15.819999694824219
2017-05-26,15.8100004196167
2017-05-30,15.600000381469727
2017-05-31,15.329999923706055
2017-06-01,15.670000076293945
2017-06-02,15.989999771118164
2017-06-05,15.569999694824219
2017-06-06,15.670000076293945
2017-06-07,15.670000076293945
2017-06-08,15.949999809265137
2017-06-09,16.09000015258789
2017-06-12,16.149999618530273
2017-06-13,16.56999969482422
2017-06-14,16.6200008392334
2017-06-15,16.270000457763672
2017-06-16,16.290000915527344
2017-06-19,16.170000076293945
2017-06-20,16.020000457763672
2017-06-21,16.040000915527344
2017-06-22,16.1299991607666
2017-06-23,16.309999465942383
2017-06-26,16.239999771118164
2017-06-27,16.25
2017-06-28,16.40999984741211
2017-06-29,16.510000228881836
2017-06-30,16.43000030517578
2017-07-03,16.59000015258789
2017-07-05,16.540000915527344
2017-07-06,16.510000228881836
2017-07-07,16.559999465942383
2017-07-10,16.5
2017-07-11,16.450000762939453
2017-07-12,16.489999771118164
2017-07-13,16.540000915527344
2017-07-14,16.6299991607666
2017-07-17,16.649999618530273
2017-07-18,16.6200008392334
2017-07-19,16.709999084472656
2017-07-20,16.75
2017-07-21,16.610000610351562
2017-07-24,16.700000762939453
2017-07-25,16.940000534057617
2017-07-26,17.579999923706055
2017-07-27,17.59000015258789
2017-07-28,17.3799991607666
2017-07-31,17.34000015258789
2017-08-01,17.420000076293945
2017-08-02,17.360000610351562
2017-08-03,17.100000381469727
2017-08-04,17.309999465942383
2017-08-07,17.350000381469727
2017-08-08,17.459999084472656
2017-08-09,17.360000610351562
2017-08-10,17.100000381469727
2017-08-11,16.90999984741211
2017-08-14,17.329999923706055
2017-08-15,17.25
2017-08-16,17.1200008392334
2017-08-17,16.540000915527344
2017-08-18,16.6200008392334
2017-08-21,16.8700008392334
2017-08-22,16.75
2017-08-23,16.770000457763672
2017-08-24,16.770000457763672
2017-08-25,16.90999984741211
2017-08-28,16.709999084472656
2017-08-29,16.600000381469727
2017-08-30,16.649999618530273
2017-08-31,16.950000762939453
2017-09-01,17.040000915527344
2017-09-05,16.690000534057617
2017-09-06,16.790000915527344
2017-09-07,16.170000076293945
2017-09-08,16.209999084472656
2017-09-11,16.559999465942383
2017-09-12,16.860000610351562
2017-09-13,17.040000915527344
2017-09-14,17.010000228881836
2017-09-15,16.969999313354492
2017-09-18,17.06999969482422
2017-09-19,17.09000015258789
2017-09-20,17.229999542236328
2017-09-21,17.200000762939453
2017-09-22,17.239999771118164
2017-09-25,17.209999084472656
2017-09-26,17.290000915527344
2017-09-27,17.65999984741211
2017-09-28,17.920000076293945
2017-09-29,17.889999389648438
2017-10-02,18.09000015258789
2017-10-03,18.229999542236328
2017-10-04,18.049999237060547
2017-10-05,18.079999923706055
2017-10-06,18.209999084472656
2017-10-09,18.149999618530273
2017-10-10,18.5
2017-10-11,18.459999084472656
2017-10-12,18.399999618530273
2017-10-13,18.239999771118164
2017-10-16,18.229999542236328
2017-10-17,18.200000762939453
2017-10-18,18.34000015258789
2017-10-19,18.34000015258789
2017-10-20,18.6200008392334
2017-10-23,18.469999313354492
2017-10-24,18.6299991607666
2017-10-25,19.270000457763672
2017-10-26,18.959999084472656
2017-10-27,18.75
2017-10-30,18.299999237060547
2017-10-31,18.510000228881836
2017-11-01,18.520000457763672
2017-11-02,19.020000457763672
2017-11-03,18.639999389648438
2017-11-06,18.440000534057617
2017-11-07,17.799999237060547
2017-11-08,17.399999618530273
2017-11-09,17.5
2017-11-10,17.549999237060547
2017-11-13,17.649999618530273
2017-11-14,17.8700008392334
2017-11-15,17.719999313354492
2017-11-16,18.0
2017-11-17,18.1299991607666
2017-11-20,18.229999542236328
2017-11-21,18.329999923706055
2017-11-22,18.479999542236328
