,BSCR
2019-12-11,21.010000228881836
2019-12-12,20.90999984741211
2019-12-13,21.010000228881836
2019-12-16,20.96500015258789
2019-12-17,20.954999923706055
2019-12-18,20.950000762939453
2019-12-19,20.94499969482422
2019-12-20,20.959999084472656
2019-12-23,20.899999618530273
2019-12-24,20.920000076293945
2019-12-26,20.950000762939453
2019-12-27,21.0
2019-12-30,20.9950008392334
2019-12-31,20.9950008392334
2020-01-02,20.975000381469727
2020-01-03,21.049999237060547
2020-01-06,21.040000915527344
2020-01-07,20.9950008392334
2020-01-08,20.989999771118164
2020-01-09,20.99799919128418
2020-01-10,21.052000045776367
2020-01-13,21.030000686645508
2020-01-14,21.059999465942383
2020-01-15,21.1200008392334
2020-01-16,21.079999923706055
2020-01-17,21.049999237060547
2020-01-21,21.075000762939453
2020-01-22,21.075000762939453
2020-01-23,21.094999313354492
2020-01-24,21.135000228881836
2020-01-27,21.18000030517578
2020-01-28,21.155000686645508
2020-01-29,21.219999313354492
2020-01-30,21.2549991607666
2020-01-31,21.290000915527344
2020-02-03,21.309999465942383
2020-02-04,21.25
2020-02-05,21.21500015258789
2020-02-06,21.219999313354492
2020-02-07,21.270000457763672
2020-02-10,21.31399917602539
2020-02-11,21.30500030517578
2020-02-12,21.270000457763672
2020-02-13,21.270000457763672
2020-02-14,21.31999969482422
2020-02-18,21.329999923706055
2020-02-19,21.32699966430664
2020-02-20,21.350000381469727
2020-02-21,21.399999618530273
2020-02-24,21.375
2020-02-25,21.389999389648438
2020-02-26,21.389999389648438
2020-02-27,21.31999969482422
2020-02-28,21.441999435424805
2020-03-02,21.413000106811523
2020-03-03,21.614999771118164
2020-03-04,21.674999237060547
2020-03-05,21.665000915527344
2020-03-06,21.649999618530273
2020-03-09,21.34600067138672
2020-03-10,21.038000106811523
2020-03-11,20.5
2020-03-12,19.871000289916992
2020-03-13,20.323999404907227
2020-03-16,20.142000198364258
2020-03-17,19.618999481201172
2020-03-18,18.716999053955078
2020-03-19,18.104999542236328
2020-03-20,17.93400001525879
2020-03-23,18.780000686645508
2020-03-24,18.913000106811523
2020-03-25,19.399999618530273
2020-03-26,19.600000381469727
2020-03-27,19.530000686645508
2020-03-30,19.67799949645996
2020-03-31,19.809999465942383
2020-04-01,19.56999969482422
2020-04-02,19.670000076293945
2020-04-03,19.582000732421875
2020-04-06,19.780000686645508
2020-04-07,19.88599967956543
2020-04-08,20.104999542236328
2020-04-09,20.641000747680664
2020-04-13,20.71500015258789
2020-04-14,20.84000015258789
2020-04-15,20.920000076293945
2020-04-16,20.920000076293945
2020-04-17,20.860000610351562
2020-04-20,20.84000015258789
2020-04-21,20.649999618530273
2020-04-22,20.677000045776367
2020-04-23,20.860000610351562
2020-04-24,20.8700008392334
2020-04-27,20.790000915527344
2020-04-28,20.84000015258789
2020-04-29,20.868999481201172
2020-04-30,20.959999084472656
2020-05-01,20.75
2020-05-04,20.860000610351562
2020-05-05,20.864999771118164
2020-05-06,20.809999465942383
2020-05-07,20.825000762939453
2020-05-08,20.799999237060547
2020-05-11,20.75200080871582
2020-05-12,20.8700008392334
2020-05-13,20.950000762939453
2020-05-14,20.930999755859375
2020-05-15,20.90399932861328
2020-05-18,20.959999084472656
2020-05-19,20.9950008392334
2020-05-20,21.15999984741211
2020-05-21,21.270000457763672
2020-05-22,21.274999618530273
2020-05-26,21.315000534057617
2020-05-27,21.385000228881836
2020-05-28,21.385000228881836
2020-05-29,21.4950008392334
2020-06-01,21.450000762939453
2020-06-02,21.518999099731445
2020-06-03,21.584999084472656
2020-06-04,21.600000381469727
2020-06-05,21.639999389648438
2020-06-08,21.655000686645508
2020-06-09,21.670000076293945
2020-06-10,21.725000381469727
2020-06-11,21.56800079345703
2020-06-12,21.68000030517578
2020-06-15,21.809999465942383
2020-06-16,21.93000030517578
2020-06-17,21.926000595092773
2020-06-18,21.8799991607666
2020-06-19,21.889999389648438
2020-06-22,21.812999725341797
2020-06-23,21.780000686645508
2020-06-24,21.75
2020-06-25,21.735000610351562
2020-06-26,21.68000030517578
2020-06-29,21.790000915527344
2020-06-30,21.780000686645508
2020-07-01,21.80500030517578
2020-07-02,21.8799991607666
2020-07-06,21.905000686645508
2020-07-07,21.93199920654297
2020-07-08,21.9060001373291
2020-07-09,21.94099998474121
2020-07-10,21.934999465942383
2020-07-13,21.905000686645508
2020-07-14,21.979000091552734
2020-07-15,21.989999771118164
2020-07-16,22.024999618530273
2020-07-17,22.059999465942383
2020-07-20,22.07699966430664
2020-07-21,22.030000686645508
2020-07-22,22.121999740600586
2020-07-23,22.1299991607666
2020-07-24,22.09000015258789
2020-07-27,22.059999465942383
2020-07-28,22.079999923706055
2020-07-29,22.15999984741211
2020-07-30,22.155000686645508
2020-07-31,22.180999755859375
2020-08-03,22.219999313354492
2020-08-04,22.24799919128418
2020-08-05,22.261999130249023
2020-08-06,22.299999237060547
2020-08-07,22.270000457763672
2020-08-10,22.23200035095215
2020-08-11,22.165000915527344
2020-08-12,22.125
2020-08-13,22.03499984741211
2020-08-14,22.030000686645508
2020-08-17,22.059999465942383
2020-08-18,22.06999969482422
2020-08-19,22.049999237060547
2020-08-20,22.090999603271484
2020-08-21,22.1299991607666
2020-08-24,22.079999923706055
2020-08-25,22.030000686645508
2020-08-26,22.030000686645508
2020-08-27,21.972000122070312
2020-08-28,22.0049991607666
2020-08-31,22.06999969482422
2020-09-01,22.139999389648438
2020-09-02,22.201000213623047
2020-09-03,22.165000915527344
2020-09-04,22.065000534057617
2020-09-08,22.042999267578125
2020-09-09,22.06999969482422
2020-09-10,22.045000076293945
2020-09-11,22.079999923706055
2020-09-14,22.084999084472656
2020-09-15,22.1299991607666
2020-09-16,22.121999740600586
2020-09-17,22.1299991607666
2020-09-18,22.125
2020-09-21,22.055999755859375
2020-09-22,22.024999618530273
2020-09-23,21.969999313354492
2020-09-24,21.908000946044922
2020-09-25,21.899999618530273
2020-09-28,21.94700050354004
2020-09-29,22.0
2020-09-30,21.979999542236328
2020-10-01,22.030000686645508
2020-10-02,22.020000457763672
2020-10-05,21.979999542236328
2020-10-06,21.9950008392334
2020-10-07,21.969999313354492
2020-10-08,22.030000686645508
2020-10-09,22.024999618530273
2020-10-12,22.084999084472656
2020-10-13,22.075000762939453
2020-10-14,22.100000381469727
2020-10-15,22.06999969482422
2020-10-16,22.05500030517578
2020-10-19,22.010000228881836
2020-10-20,21.985000610351562
2020-10-21,21.969999313354492
2020-10-22,21.954999923706055
2020-10-23,21.989999771118164
2020-10-26,22.016000747680664
2020-10-27,22.06999969482422
2020-10-28,22.010000228881836
2020-10-29,21.954999923706055
2020-10-30,21.920000076293945
2020-11-02,21.899999618530273
2020-11-03,21.940000534057617
2020-11-04,22.1299991607666
2020-11-05,22.145000457763672
2020-11-06,22.139999389648438
2020-11-09,22.06999969482422
2020-11-10,21.979999542236328
2020-11-11,22.030000686645508
2020-11-12,22.079999923706055
2020-11-13,22.06999969482422
2020-11-16,22.15999984741211
2020-11-17,22.1299991607666
2020-11-18,22.200000762939453
2020-11-19,22.239999771118164
2020-11-20,22.211000442504883
2020-11-23,22.200000762939453
2020-11-24,22.190000534057617
2020-11-25,22.219999313354492
2020-11-27,22.260000228881836
2020-11-30,22.290000915527344
2020-12-01,22.22599983215332
2020-12-02,22.25
2020-12-03,22.280000686645508
2020-12-04,22.21500015258789
2020-12-07,22.2450008392334
2020-12-08,22.25
2020-12-09,22.170000076293945
2020-12-10,22.25
2020-12-11,22.270000457763672
2020-12-14,22.270000457763672
2020-12-15,22.30500030517578
2020-12-16,22.290000915527344
2020-12-17,22.31999969482422
2020-12-18,22.309999465942383
2020-12-21,22.25
2020-12-22,22.290000915527344
2020-12-23,22.299999237060547
2020-12-24,22.34000015258789
2020-12-28,22.344999313354492
2020-12-29,22.360000610351562
2020-12-30,22.399999618530273
2020-12-31,22.389999389648438
2021-01-04,22.389999389648438
2021-01-05,22.3799991607666
2021-01-06,22.329999923706055
2021-01-07,22.31999969482422
2021-01-08,22.299999237060547
2021-01-11,22.25
2021-01-12,22.280000686645508
2021-01-13,22.350000381469727
2021-01-14,22.333999633789062
2021-01-15,22.354999542236328
2021-01-19,22.31999969482422
2021-01-20,22.31399917602539
2021-01-21,22.31999969482422
2021-01-22,22.295000076293945
2021-01-25,22.329999923706055
2021-01-26,22.329999923706055
2021-01-27,22.309999465942383
2021-01-28,22.280000686645508
2021-01-29,22.290000915527344
2021-02-01,22.31999969482422
2021-02-02,22.295000076293945
2021-02-03,22.30500030517578
2021-02-04,22.315000534057617
2021-02-05,22.329999923706055
2021-02-08,22.34000015258789
2021-02-09,22.31999969482422
2021-02-10,22.354999542236328
2021-02-11,22.334999084472656
2021-02-12,22.315000534057617
2021-02-16,22.21500015258789
2021-02-17,22.2549991607666
2021-02-18,22.25
2021-02-19,22.174999237060547
2021-02-22,22.094999313354492
2021-02-23,22.135000228881836
2021-02-24,22.139999389648438
2021-02-25,21.81999969482422
2021-02-26,21.920000076293945
2021-03-01,22.010000228881836
2021-03-02,22.0049991607666
2021-03-03,21.905000686645508
2021-03-04,21.799999237060547
2021-03-05,21.75
2021-03-08,21.594999313354492
2021-03-09,21.65999984741211
2021-03-10,21.729999542236328
2021-03-11,21.75
2021-03-12,21.649999618530273
2021-03-15,21.684999465942383
2021-03-16,21.700000762939453
2021-03-17,21.7450008392334
2021-03-18,21.656999588012695
2021-03-19,21.6299991607666
2021-03-22,21.6200008392334
2021-03-23,21.649999618530273
2021-03-24,21.649999618530273
2021-03-25,21.665000915527344
2021-03-26,21.649999618530273
2021-03-29,21.6200008392334
2021-03-30,21.6200008392334
2021-03-31,21.610000610351562
2021-04-01,21.670000076293945
2021-04-05,21.600000381469727
2021-04-06,21.719999313354492
2021-04-07,21.719999313354492
2021-04-08,21.764999389648438
2021-04-09,21.73699951171875
2021-04-12,21.71500015258789
2021-04-13,21.774999618530273
2021-04-14,21.780000686645508
2021-04-15,21.829999923706055
2021-04-16,21.766000747680664
2021-04-19,21.725000381469727
2021-04-20,21.764999389648438
2021-04-21,21.799999237060547
2021-04-22,21.790000915527344
2021-04-23,21.795000076293945
2021-04-26,21.78499984741211
2021-04-27,21.7549991607666
2021-04-28,21.774999618530273
2021-04-29,21.774999618530273
2021-04-30,21.80900001525879
2021-05-03,21.834999084472656
2021-05-04,21.829999923706055
2021-05-05,21.850000381469727
2021-05-06,21.8799991607666
2021-05-07,21.895000457763672
2021-05-10,21.875
2021-05-11,21.854999542236328
2021-05-12,21.78499984741211
2021-05-13,21.84000015258789
2021-05-14,21.8700008392334
