,EQ
2021-01-19,5.510000228881836
2021-01-20,5.489999771118164
2021-01-21,5.71999979019165
2021-01-22,6.010000228881836
2021-01-25,6.800000190734863
2021-01-26,6.380000114440918
2021-01-27,5.900000095367432
2021-01-28,6.110000133514404
2021-01-29,5.730000019073486
2021-02-01,6.110000133514404
2021-02-02,6.110000133514404
2021-02-03,6.619999885559082
2021-02-04,7.789999961853027
2021-02-05,8.489999771118164
2021-02-08,9.329999923706055
2021-02-09,8.859999656677246
2021-02-10,9.609999656677246
2021-02-11,10.420000076293945
2021-02-12,10.5
2021-02-16,9.819999694824219
2021-02-17,9.260000228881836
2021-02-18,9.239999771118164
2021-02-19,9.260000228881836
2021-02-22,9.279999732971191
2021-02-23,8.229999542236328
2021-02-24,7.860000133514404
2021-02-25,7.590000152587891
2021-02-26,7.050000190734863
2021-03-01,7.46999979019165
2021-03-02,7.199999809265137
2021-03-03,7.190000057220459
2021-03-04,6.690000057220459
2021-03-05,6.75
2021-03-08,6.739999771118164
2021-03-09,7.659999847412109
2021-03-10,7.510000228881836
2021-03-11,7.880000114440918
2021-03-12,7.909999847412109
2021-03-15,8.300000190734863
2021-03-16,7.78000020980835
2021-03-17,8.119999885559082
2021-03-18,7.829999923706055
2021-03-19,7.800000190734863
2021-03-22,8.239999771118164
2021-03-23,7.5
2021-03-24,6.889999866485596
2021-03-25,6.860000133514404
2021-03-26,7.159999847412109
2021-03-29,6.550000190734863
2021-03-30,6.610000133514404
2021-03-31,7.150000095367432
2021-04-01,7.239999771118164
2021-04-05,6.989999771118164
2021-04-06,6.860000133514404
2021-04-07,6.900000095367432
2021-04-08,7.079999923706055
2021-04-09,6.989999771118164
2021-04-12,6.579999923706055
2021-04-13,6.559999942779541
2021-04-14,6.71999979019165
2021-04-15,6.590000152587891
2021-04-16,6.639999866485596
2021-04-19,6.739999771118164
2021-04-20,5.78000020980835
2021-04-21,5.909999847412109
2021-04-22,5.889999866485596
2021-04-23,6.070000171661377
2021-04-26,6.139999866485596
2021-04-27,6.150000095367432
2021-04-28,6.71999979019165
2021-04-29,6.53000020980835
2021-04-30,6.480000019073486
2021-05-03,6.380000114440918
2021-05-04,6.0
2021-05-05,5.940000057220459
2021-05-06,5.960000038146973
2021-05-07,6.03000020980835
2021-05-10,5.449999809265137
2021-05-11,5.289999961853027
2021-05-12,5.110000133514404
2021-05-13,5.25
2021-05-14,5.420000076293945
