,CCLP
2015-09-24,12.180000305175781
2015-09-25,12.789999961853027
2015-09-28,12.739999771118164
2015-09-29,12.15999984741211
2015-09-30,12.510000228881836
2015-10-01,13.229999542236328
2015-10-02,12.819999694824219
2015-10-05,12.880000114440918
2015-10-06,13.449999809265137
2015-10-07,14.510000228881836
2015-10-08,14.460000038146973
2015-10-09,14.470000267028809
2015-10-12,13.960000038146973
2015-10-13,14.010000228881836
2015-10-14,14.149999618530273
2015-10-15,14.050000190734863
2015-10-16,14.4399995803833
2015-10-19,14.0600004196167
2015-10-20,14.350000381469727
2015-10-21,14.25
2015-10-22,14.350000381469727
2015-10-23,14.210000038146973
2015-10-26,14.430000305175781
2015-10-27,14.420000076293945
2015-10-28,14.149999618530273
2015-10-29,14.329999923706055
2015-10-30,14.210000038146973
2015-11-02,14.399999618530273
2015-11-03,14.699999809265137
2015-11-04,14.5
2015-11-05,14.350000381469727
2015-11-06,14.119999885559082
2015-11-09,14.170000076293945
2015-11-10,14.5
2015-11-11,14.40999984741211
2015-11-12,14.220000267028809
2015-11-13,14.270000457763672
2015-11-16,14.1899995803833
2015-11-17,14.5
2015-11-18,14.470000267028809
2015-11-19,14.109999656677246
2015-11-20,13.670000076293945
2015-11-23,13.40999984741211
2015-11-24,13.729999542236328
2015-11-25,13.579999923706055
2015-11-27,13.569999694824219
2015-11-30,14.0
2015-12-01,14.0
2015-12-02,13.579999923706055
2015-12-03,13.850000381469727
2015-12-04,13.539999961853027
2015-12-07,12.850000381469727
2015-12-08,12.300000190734863
2015-12-09,12.609999656677246
2015-12-10,12.5600004196167
2015-12-11,12.149999618530273
2015-12-14,11.180000305175781
2015-12-15,10.65999984741211
2015-12-16,11.09000015258789
2015-12-17,10.850000381469727
2015-12-18,10.630000114440918
2015-12-21,10.4399995803833
2015-12-22,10.899999618530273
2015-12-23,11.020000457763672
2015-12-24,11.050000190734863
2015-12-28,10.880000114440918
2015-12-29,10.5600004196167
2015-12-30,10.649999618530273
2015-12-31,11.399999618530273
2016-01-04,11.510000228881836
2016-01-05,11.630000114440918
2016-01-06,9.850000381469727
2016-01-07,9.479999542236328
2016-01-08,9.430000305175781
2016-01-11,9.170000076293945
2016-01-12,8.779999732971191
2016-01-13,8.600000381469727
2016-01-14,8.949999809265137
2016-01-15,8.449999809265137
2016-01-19,7.139999866485596
2016-01-20,6.559999942779541
2016-01-21,7.119999885559082
2016-01-22,6.590000152587891
2016-01-25,6.449999809265137
2016-01-26,6.980000019073486
2016-01-27,6.340000152587891
2016-01-28,6.360000133514404
2016-01-29,6.150000095367432
2016-02-01,5.380000114440918
2016-02-02,5.099999904632568
2016-02-03,5.46999979019165
2016-02-04,5.210000038146973
2016-02-05,5.039999961853027
2016-02-08,4.869999885559082
2016-02-09,4.059999942779541
2016-02-10,4.260000228881836
2016-02-11,4.0
2016-02-12,4.199999809265137
2016-02-16,4.239999771118164
2016-02-17,4.090000152587891
2016-02-18,4.199999809265137
2016-02-19,3.9800000190734863
2016-02-22,4.510000228881836
2016-02-23,4.079999923706055
2016-02-24,4.349999904632568
2016-02-25,4.739999771118164
2016-02-26,4.78000020980835
2016-02-29,5.21999979019165
2016-03-01,5.840000152587891
2016-03-02,5.489999771118164
2016-03-03,5.909999847412109
2016-03-04,6.21999979019165
2016-03-07,6.050000190734863
2016-03-08,5.539999961853027
2016-03-09,5.389999866485596
2016-03-10,5.130000114440918
2016-03-11,5.179999828338623
2016-03-14,5.159999847412109
2016-03-15,5.039999961853027
2016-03-16,5.480000019073486
2016-03-17,5.900000095367432
